Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with Danny Green,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jacob Gilyard,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,26-211,MEM,NYK,1.0,33.36666666666667,4.0,11.0,0.364,4.0,9.0,0.444,0.0,0.0,,3.0,8.0,11.0,2.0,2.0,0.0,1.0,0.0,12.0,12.8,6.0,2.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,15.0,87.0,4.833333333333333,12.799999999999995,86.8,4.822222222222222,10.8,3.5,0.5,-1.9,2.4,0.0379680817774069,0.542,0.553,0.113,0.9,1.0,W (+3),W (+3)
2.0,2.0,2022-10-21,26-213,MEM,HOU,1.0,30.25,7.0,11.0,0.636,3.0,6.0,0.5,0.0,0.0,,2.0,3.0,5.0,0.0,3.0,1.0,0.0,1.0,17.0,17.7,13.0,5.0,4.0,0.8,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,15.0,73.0,4.055555555555555,17.7,88.10000000000001,4.894444444444445,10.8,3.5,0.5,-1.9,2.4,0.0379680817774069,0.542,0.553,0.113,0.9,1.0,W (+7),W (+7)
3.0,3.0,2022-10-22,26-214,MEM,DAL,1.0,20.433333333333334,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,2.2,-27.0,1.0,1.0,1.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,2.0,40.0,2.2222222222222223,2.2,44.9,2.4944444444444445,10.8,3.5,0.5,-1.9,2.4,0.0379680817774069,0.542,0.553,0.113,0.9,1.0,L (-41),L (-41)
4.0,4.0,2022-10-24,26-216,MEM,BRK,0.0,26.2,2.0,3.0,0.667,2.0,3.0,0.667,1.0,2.0,0.5,1.0,3.0,4.0,0.0,2.0,0.0,0.0,1.0,7.0,8.5,-4.0,0.0,0.0,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,8.0,76.0,4.222222222222222,8.1,100.2,5.566666666666666,10.8,3.5,0.5,-1.9,2.4,0.0379680817774069,0.542,0.553,0.113,0.9,1.0,W (+10),W (+10)
5.0,,2022-10-27,26-219,MEM,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,,103.0,5.722222222222222,0.0,102.5,5.694444444444445,10.8,3.5,0.5,-1.9,2.4,0.0379680817774069,0.542,0.553,0.113,0.9,1.0,W (+15),W (+15)
6.0,5.0,2022-10-29,26-221,MEM,UTA,0.0,27.98333333333333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,6.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,1.3,4.0,1.0,0.0,0.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,6.0,94.0,5.222222222222222,1.3,97.5,5.416666666666667,10.8,3.5,0.5,-1.9,2.4,0.0379680817774069,0.542,0.553,0.113,0.9,1.0,L (-1),L (-1)
7.0,6.0,2022-10-31,26-223,MEM,UTA,1.0,25.766666666666666,2.0,8.0,0.25,0.0,4.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,3.0,1.0,1.0,4.0,4.0,1.6,-12.0,4.0,2.0,0.5,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,2.0,35.0,1.9444444444444444,1.5999999999999992,63.19999999999999,3.51111111111111,10.8,3.5,0.5,-1.9,2.4,0.0379680817774069,0.542,0.553,0.113,0.9,1.0,L (-16),L (-16)
8.0,7.0,2022-11-02,26-225,MEM,POR,0.0,22.08333333333333,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,,2.0,3.0,5.0,4.0,1.0,0.0,1.0,2.0,10.0,11.7,13.0,2.0,2.0,1.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,13.0,75.0,4.166666666666667,11.7,78.4,4.355555555555556,10.8,3.5,0.5,-1.9,2.4,0.0379680817774069,0.542,0.553,0.113,0.9,1.0,W (+5),W (+5)
9.0,8.0,2022-11-04,26-227,MEM,CHO,0.0,20.883333333333333,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,,1.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,8.0,9.0,17.0,1.0,1.0,1.0,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,10.0,100.0,5.555555555555555,8.999999999999998,102.8,5.711111111111111,10.8,3.5,0.5,-1.9,2.4,0.0379680817774069,0.542,0.553,0.113,0.9,1.0,W (+31),W (+31)
10.0,9.0,2022-11-06,26-229,MEM,WAS,0.0,15.133333333333333,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,2.2,-1.0,2.0,1.0,0.5,48,2,61,52,64,52,1,29,56,31,22,67,38,71,14,52,31,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.8571428571428571,0.1818181818181818,0.8714285714285714,0.896551724137931,0.8767123287671232,0.8524590163934426,1.0,0.8285714285714286,0.8888888888888888,0.8611111111111112,0.9166666666666666,0.8701298701298701,0.9047619047619048,0.8875,0.9333333333333332,0.8524590163934426,0.8378378378378378,20,59.0,73.0,0.3389830508474576,0.0,18,4.0,58.0,3.2222222222222223,2.2,71.1,3.95,10.8,3.5,0.5,-1.9,2.4,0.0379680817774069,0.542,0.553,0.113,0.9,1.0,W (+6),W (+6)
