,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,19.0,SAC,NBA,PF,62.0,4.0,25.3,5.7,11.4,0.504,0.5,1.5,0.313,5.3,9.8,0.534,0.525,2.9,4.2,0.691,2.6,5.0,7.6,1.0,0.5,1.0,1.6,1.9,14.9
1,2019-20,20.0,SAC,NBA,C,13.0,6.0,25.7,6.0,12.8,0.467,0.3,1.7,0.182,5.7,11.2,0.51,0.479,1.9,2.4,0.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2
2,2020-21,21.0,SAC,NBA,PF,43.0,42.0,25.9,5.7,11.4,0.504,0.9,2.5,0.343,4.9,8.9,0.55,0.542,1.8,3.1,0.575,2.5,4.9,7.4,1.0,0.5,0.5,1.4,2.3,14.1
3,2021-22,22.0,TOT,NBA,PF,48.0,25.0,24.0,4.7,9.3,0.504,0.5,2.0,0.237,4.2,7.3,0.579,0.53,1.4,2.1,0.663,2.2,4.9,7.0,0.8,0.5,0.4,0.8,1.9,11.3
4,2021-22,22.0,SAC,NBA,PF,30.0,17.0,22.1,3.8,8.2,0.463,0.5,2.1,0.242,3.3,6.1,0.538,0.494,1.2,1.6,0.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3
5,2021-22,22.0,DET,NBA,PF,18.0,8.0,27.2,6.2,11.1,0.555,0.4,1.9,0.229,5.7,9.2,0.624,0.575,1.8,3.0,0.593,2.1,4.7,6.8,1.1,0.7,0.4,1.0,2.4,14.6
6,2022-23,23.0,DET,NBA,C,42.0,25.0,23.6,4.8,9.1,0.529,0.5,1.6,0.288,4.4,7.5,0.579,0.554,1.9,2.6,0.75,2.2,4.2,6.4,0.9,0.5,0.7,1.1,1.9,12.0
7,2023-24,24.0,DET,NBA,C,1.0,0.0,16.0,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,8.0,3.0,0.0,1.0,1.0,1.0,8.0
8,Career,,,NBA,,209.0,102.0,24.7,5.3,10.5,0.506,0.5,1.9,0.29,4.8,8.6,0.553,0.532,2.1,3.1,0.679,2.4,4.8,7.2,0.9,0.5,0.7,1.2,2.1,13.2
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4 seasons,,SAC,NBA,,148.0,69.0,24.8,5.4,10.9,0.494,0.6,1.9,0.299,4.8,8.9,0.537,0.521,2.1,3.2,0.671,2.5,5.0,7.4,0.9,0.5,0.7,1.3,2.1,13.5
11,3 seasons,,DET,NBA,,61.0,33.0,24.5,5.2,9.6,0.54,0.4,1.7,0.267,4.7,7.9,0.597,0.563,1.9,2.7,0.701,2.2,4.4,6.6,1.0,0.5,0.6,1.1,2.0,12.7
