,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,22.0,DAL,NBA,PG,73.0,38.0,21.8,3.6,7.7,0.467,0.9,2.5,0.348,2.8,5.3,0.523,0.523,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
1,2019-20,23.0,DAL,NBA,PG,57.0,16.0,17.9,3.2,6.8,0.466,0.8,2.1,0.358,2.4,4.7,0.515,0.522,1.1,1.3,0.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2
2,2020-21,24.0,DAL,NBA,PG,68.0,12.0,25.0,4.8,9.2,0.523,1.2,2.9,0.405,3.6,6.3,0.578,0.588,1.8,2.2,0.795,0.4,3.0,3.4,3.5,0.5,0.0,1.2,1.6,12.6
3,2021-22,25.0,DAL,NBA,SG,79.0,61.0,31.9,6.4,12.8,0.502,1.2,3.2,0.373,5.2,9.6,0.545,0.549,2.3,2.7,0.84,0.5,3.4,3.9,4.8,0.8,0.0,1.6,1.9,16.3
4,2022-23,26.0,NYK,NBA,PG,68.0,68.0,35.0,8.6,17.6,0.491,2.0,4.7,0.416,6.7,12.8,0.519,0.547,4.8,5.8,0.829,0.6,3.0,3.5,6.2,0.9,0.2,2.1,2.2,24.0
5,2023-24,27.0,NYK,NBA,PG,1.0,1.0,33.0,6.0,21.0,0.286,3.0,8.0,0.375,3.0,13.0,0.231,0.357,0.0,1.0,0.0,1.0,2.0,3.0,6.0,3.0,0.0,2.0,3.0,15.0
6,Career,,,NBA,,346.0,196.0,26.7,5.4,11.0,0.492,1.2,3.1,0.386,4.2,7.9,0.534,0.547,2.2,2.8,0.811,0.5,2.7,3.1,4.2,0.6,0.1,1.5,1.8,14.3
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,DAL,NBA,,277.0,127.0,24.7,4.6,9.3,0.494,1.0,2.7,0.373,3.6,6.6,0.544,0.548,1.6,2.0,0.8,0.4,2.6,3.0,3.7,0.6,0.0,1.3,1.7,11.9
9,2 seasons,,NYK,NBA,,69.0,69.0,35.0,8.6,17.6,0.488,2.0,4.8,0.415,6.6,12.8,0.515,0.544,4.7,5.7,0.827,0.6,2.9,3.5,6.2,0.9,0.2,2.1,2.2,23.9
