,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2020-21,21.0,DET,NBA,SF,70.0,53.0,27.3,4.0,9.9,0.404,2.5,6.6,0.38,1.5,3.3,0.45,0.53,1.8,2.1,0.844,0.6,3.9,4.5,1.4,0.7,0.2,0.9,1.6,12.2
1,2021-22,22.0,DET,NBA,SF,82.0,82.0,33.0,5.5,13.9,0.396,2.6,7.4,0.346,2.9,6.4,0.454,0.489,2.6,3.1,0.827,1.3,4.1,5.4,2.8,0.9,0.2,1.2,1.6,16.1
2,2022-23,23.0,TOT,NBA,SF,77.0,37.0,27.6,4.6,10.9,0.422,2.0,5.4,0.361,2.6,5.4,0.483,0.513,2.7,3.1,0.861,1.3,3.4,4.7,1.5,0.9,0.2,0.9,1.6,13.8
3,2022-23,23.0,DET,NBA,SF,52.0,30.0,28.8,4.7,11.7,0.404,1.9,5.6,0.345,2.8,6.0,0.46,0.488,3.5,4.0,0.861,1.1,3.5,4.7,1.6,1.0,0.2,1.0,1.7,14.8
4,2022-23,23.0,ATL,NBA,SF,25.0,7.0,25.2,4.3,9.2,0.47,2.0,5.0,0.4,2.3,4.2,0.552,0.578,1.0,1.2,0.862,1.6,3.2,4.8,1.4,0.8,0.0,0.7,1.5,11.6
5,2023-24,24.0,ATL,NBA,SF,1.0,1.0,29.0,6.0,12.0,0.5,1.0,4.0,0.25,5.0,8.0,0.625,0.542,2.0,2.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,2.0,1.0,15.0
6,Career,,,NBA,,230.0,173.0,29.4,4.7,11.6,0.407,2.3,6.5,0.361,2.4,5.1,0.465,0.507,2.4,2.8,0.844,1.1,3.8,4.9,1.9,0.9,0.2,1.0,1.6,14.2
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,DET,NBA,,204.0,165.0,30.0,4.8,11.9,0.4,2.4,6.7,0.357,2.4,5.2,0.455,0.5,2.5,3.0,0.843,1.0,3.9,4.9,2.0,0.9,0.2,1.0,1.6,14.5
9,2 seasons,,ATL,NBA,,26.0,8.0,25.3,4.4,9.3,0.471,2.0,5.0,0.395,2.4,4.3,0.558,0.576,1.0,1.2,0.871,1.6,3.2,4.8,1.3,1.0,0.0,0.7,1.5,11.8
