,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2016-17,19.0,LAL,NBA,C,38.0,11.0,16.0,3.3,6.3,0.529,0.0,0.1,0.0,3.3,6.2,0.536,0.529,0.8,1.3,0.653,1.1,3.1,4.2,0.8,0.4,0.9,0.8,1.7,7.5
1,2017-18,20.0,LAL,NBA,C,43.0,0.0,9.5,1.4,2.8,0.5,0.0,0.0,0.0,1.4,2.8,0.504,0.5,0.9,1.2,0.765,1.0,1.8,2.9,0.6,0.2,0.3,0.6,1.1,3.7
2,2018-19,21.0,TOT,NBA,C,59.0,37.0,17.6,3.6,6.4,0.559,0.0,0.0,,3.6,6.4,0.559,0.559,1.7,2.1,0.802,1.9,4.2,6.1,1.1,0.2,0.9,1.2,2.3,8.9
3,2018-19,21.0,LAL,NBA,C,33.0,12.0,15.6,3.4,5.8,0.58,0.0,0.0,,3.4,5.8,0.58,0.58,1.7,2.0,0.864,1.6,3.3,4.9,0.8,0.1,0.8,1.0,2.2,8.5
4,2018-19,21.0,LAC,NBA,C,26.0,25.0,20.2,3.8,7.2,0.538,0.0,0.0,,3.8,7.2,0.538,0.538,1.7,2.3,0.733,2.3,5.3,7.7,1.5,0.4,0.9,1.4,2.5,9.4
5,2019-20,22.0,LAC,NBA,C,72.0,70.0,18.4,3.3,5.3,0.613,0.0,0.0,0.0,3.3,5.3,0.616,0.613,1.7,2.3,0.747,2.7,4.8,7.5,1.1,0.2,0.9,0.8,2.3,8.3
6,2020-21,23.0,LAC,NBA,C,72.0,33.0,22.3,3.6,5.5,0.652,0.0,0.1,0.25,3.6,5.4,0.656,0.654,1.9,2.4,0.789,2.6,4.6,7.2,1.3,0.3,0.9,1.1,2.6,9.0
7,2021-22,24.0,LAC,NBA,C,76.0,76.0,24.4,4.1,6.5,0.626,0.0,0.0,,4.1,6.5,0.626,0.626,2.2,3.0,0.727,2.9,5.6,8.5,1.6,0.5,1.0,1.5,2.7,10.3
8,2022-23,25.0,LAC,NBA,C,76.0,76.0,28.6,4.3,6.8,0.634,0.0,0.0,0.0,4.3,6.7,0.637,0.634,2.2,3.1,0.697,3.1,6.8,9.9,1.0,0.4,1.3,1.5,2.9,10.8
9,2023-24,26.0,LAC,NBA,C,1.0,1.0,26.0,8.0,10.0,0.8,0.0,0.0,,8.0,10.0,0.8,0.8,4.0,5.0,0.8,5.0,7.0,12.0,0.0,0.0,4.0,2.0,3.0,20.0
10,Career,,,NBA,,437.0,304.0,20.7,3.5,5.8,0.605,0.0,0.0,0.083,3.5,5.8,0.608,0.606,1.8,2.4,0.742,2.4,4.7,7.1,1.1,0.3,0.9,1.1,2.4,8.8
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6 seasons,,LAC,NBA,,323.0,281.0,23.2,3.8,6.1,0.623,0.0,0.0,0.125,3.8,6.1,0.626,0.624,2.0,2.7,0.736,2.8,5.5,8.3,1.3,0.4,1.0,1.3,2.6,9.6
13,3 seasons,,LAL,NBA,,114.0,23.0,13.5,2.6,4.9,0.541,0.0,0.0,0.0,2.6,4.8,0.545,0.541,1.1,1.5,0.771,1.2,2.7,3.9,0.7,0.2,0.7,0.8,1.6,6.4
