,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,22.0,DET,NBA,SG,74.0,56.0,19.6,1.7,4.2,0.398,0.3,1.3,0.258,1.4,3.0,0.457,0.436,0.6,0.8,0.75,0.6,1.9,2.5,1.2,0.5,0.5,0.6,2.4,4.3
1,2019-20,23.0,DET,NBA,PG,58.0,43.0,28.2,3.4,7.7,0.443,0.6,1.7,0.344,2.8,6.1,0.47,0.48,1.5,2.1,0.739,1.1,3.7,4.7,4.0,1.1,0.5,1.7,2.8,8.9
2,2020-21,24.0,BRK,NBA,PG,65.0,37.0,22.3,3.6,6.5,0.556,0.3,0.9,0.288,3.4,5.6,0.599,0.576,1.3,1.8,0.735,1.7,3.7,5.4,1.6,0.9,0.4,0.8,2.2,8.8
3,2021-22,25.0,BRK,NBA,SF,72.0,45.0,24.6,3.6,7.0,0.506,0.5,1.3,0.404,3.0,5.7,0.529,0.543,1.3,1.8,0.758,1.4,3.4,4.8,2.1,1.1,0.7,0.8,2.4,9.0
4,2022-23,26.0,DEN,NBA,SF,80.0,31.0,28.5,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,0.545,1.5,1.9,0.758,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5
5,2023-24,27.0,IND,NBA,PG,1.0,1.0,27.0,8.0,11.0,0.727,6.0,8.0,0.75,2.0,3.0,0.667,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,24.0
6,Career,,,NBA,,350.0,213.0,24.6,3.4,7.0,0.483,0.6,1.7,0.346,2.8,5.3,0.528,0.526,1.2,1.7,0.75,1.1,3.1,4.2,2.4,0.9,0.6,1.1,2.4,8.6
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,BRK,NBA,,137.0,82.0,23.5,3.6,6.8,0.529,0.4,1.1,0.359,3.2,5.7,0.562,0.558,1.3,1.8,0.747,1.5,3.5,5.1,1.8,1.0,0.6,0.8,2.3,8.9
9,2 seasons,,DET,NBA,,132.0,99.0,23.4,2.4,5.8,0.424,0.4,1.4,0.302,2.0,4.3,0.465,0.462,1.0,1.4,0.743,0.8,2.7,3.5,2.4,0.8,0.5,1.1,2.6,6.3
10,1 season,,DEN,NBA,,80.0,31.0,28.5,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,0.545,1.5,1.9,0.758,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5
11,1 season,,IND,NBA,,1.0,1.0,27.0,8.0,11.0,0.727,6.0,8.0,0.75,2.0,3.0,0.667,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,24.0
