,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2014-15,24.0,MIA,NBA,SF,62.0,3.0,17.0,1.6,4.0,0.409,0.5,1.5,0.326,1.1,2.5,0.461,0.47200000000000003,1.3,1.5,0.84,0.8,2.0,2.8,0.8,0.4,0.3,0.6,1.4,5.0
1,2015-16,25.0,TOT,NBA,SF,22.0,5.0,15.0,2.5,5.1,0.478,1.2,2.6,0.44799999999999995,1.3,2.5,0.509,0.593,1.1,1.5,0.735,1.0,1.0,1.9,1.0,0.7,0.2,0.9,1.3,7.2
2,2015-16,25.0,MIA,NBA,SF,3.0,0.0,2.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0
3,2015-16,25.0,MEM,NBA,SF,10.0,0.0,4.0,0.4,1.3,0.308,0.2,0.8,0.25,0.2,0.5,0.4,0.385,0.6,1.0,0.6,0.4,0.3,0.7,0.2,0.4,0.2,0.2,0.1,1.6
4,2015-16,25.0,NOP,NBA,SF,9.0,5.0,31.3,5.6,11.1,0.5,2.7,5.6,0.48,2.9,5.6,0.52,0.62,2.1,2.7,0.792,1.9,2.0,3.9,2.0,1.3,0.3,1.9,2.9,15.9
5,2016-17,26.0,MEM,NBA,SF,64.0,28.0,23.5,2.3,5.0,0.455,0.8,2.1,0.37200000000000005,1.5,2.9,0.516,0.534,1.3,1.7,0.782,1.1,3.0,4.0,1.0,0.7,0.3,0.9,2.6,6.7
6,2017-18,27.0,TOT,NBA,SF,72.0,22.0,22.3,2.5,5.3,0.474,0.7,2.1,0.33299999999999996,1.8,3.2,0.5670000000000001,0.54,1.3,1.6,0.836,1.0,2.1,3.1,1.0,0.7,0.3,0.8,1.9,7.1
7,2017-18,27.0,MEM,NBA,SF,45.0,14.0,23.4,2.4,4.9,0.486,0.7,1.9,0.35700000000000004,1.7,3.1,0.565,0.5539999999999999,1.4,1.6,0.877,1.2,2.3,3.5,1.1,0.7,0.3,0.8,1.8,6.9
8,2017-18,27.0,DET,NBA,SF,27.0,8.0,20.4,2.7,6.0,0.457,0.8,2.6,0.304,2.0,3.4,0.57,0.522,1.2,1.6,0.767,0.7,1.7,2.5,0.8,0.6,0.2,0.7,2.0,7.5
9,2018-19,28.0,TOT,NBA,SF,58.0,27.0,21.2,2.4,5.1,0.469,0.9,2.7,0.353,1.4,2.4,0.601,0.563,1.0,1.4,0.716,1.0,2.1,3.1,0.7,0.7,0.4,0.6,2.6,6.7
10,2018-19,28.0,HOU,NBA,SF,40.0,25.0,23.7,2.6,5.3,0.493,1.1,3.0,0.36700000000000005,1.5,2.3,0.659,0.597,1.1,1.5,0.7240000000000001,0.9,2.0,2.9,0.7,1.0,0.4,0.6,2.8,7.4
11,2018-19,28.0,PHI,NBA,SF,18.0,2.0,15.6,1.9,4.6,0.41,0.6,2.0,0.306,1.3,2.6,0.489,0.47600000000000003,0.9,1.3,0.696,1.3,2.3,3.6,0.8,0.2,0.4,0.6,2.2,5.3
12,2019-20,29.0,TOT,NBA,"SF,SG",69.0,18.0,18.3,2.3,5.2,0.446,0.8,2.4,0.325,1.5,2.8,0.5529999999999999,0.522,1.1,1.4,0.8059999999999999,1.0,2.5,3.6,0.9,0.5,0.3,0.8,2.0,6.6
13,2019-20,29.0,PHI,NBA,SF,49.0,0.0,15.8,2.0,4.6,0.442,0.8,2.2,0.349,1.3,2.4,0.525,0.524,1.0,1.2,0.787,1.0,2.1,3.1,0.8,0.5,0.3,0.6,1.7,5.8
14,2019-20,29.0,ORL,NBA,SG,20.0,18.0,24.5,3.0,6.7,0.451,0.9,3.2,0.28600000000000003,2.1,3.5,0.6,0.519,1.6,1.9,0.838,1.2,3.6,4.8,1.1,0.6,0.4,1.4,2.6,8.5
15,2020-21,30.0,ORL,NBA,SF,41.0,37.0,24.0,2.8,5.9,0.473,1.1,2.5,0.433,1.7,3.4,0.504,0.5660000000000001,1.7,2.1,0.805,1.0,3.0,4.0,1.5,0.8,0.2,0.9,2.0,8.4
16,2021-22,31.0,TOT,NBA,SF,7.0,0.0,8.0,1.6,3.4,0.45799999999999996,0.4,1.1,0.375,1.1,2.3,0.5,0.521,0.6,0.7,0.8,0.7,1.0,1.7,0.4,0.3,0.3,0.3,0.7,4.1
17,2021-22,31.0,BRK,NBA,SF,2.0,0.0,7.0,1.0,3.5,0.28600000000000003,0.5,1.0,0.5,0.5,2.5,0.2,0.35700000000000004,0.0,0.0,,1.0,1.5,2.5,0.0,0.5,0.5,0.0,0.0,2.5
18,2021-22,31.0,LAC,NBA,SF,2.0,0.0,14.0,3.5,5.5,0.636,1.0,2.0,0.5,2.5,3.5,0.7140000000000001,0.727,2.0,2.0,1.0,1.0,1.5,2.5,0.0,0.5,0.5,0.5,2.0,10.0
19,2021-22,31.0,DEN,NBA,SF,3.0,0.0,4.7,0.7,2.0,0.33299999999999996,0.0,0.7,0.0,0.7,1.3,0.5,0.33299999999999996,0.0,0.3,0.0,0.3,0.3,0.7,1.0,0.0,0.0,0.3,0.3,1.3
20,Career,,,NBA,,395.0,140.0,20.3,2.3,5.0,0.457,0.8,2.2,0.36,1.5,2.8,0.534,0.537,1.3,1.6,0.797,1.0,2.3,3.3,0.9,0.6,0.3,0.8,2.0,6.7
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3 seasons,,MEM,NBA,,119.0,42.0,21.8,2.2,4.7,0.46399999999999997,0.7,1.9,0.36200000000000004,1.5,2.7,0.535,0.539,1.3,1.6,0.8079999999999999,1.1,2.5,3.6,1.0,0.7,0.3,0.8,2.1,6.3
23,2 seasons,,PHI,NBA,,67.0,2.0,15.8,2.0,4.6,0.434,0.7,2.1,0.33799999999999997,1.3,2.5,0.515,0.511,1.0,1.3,0.762,1.1,2.1,3.2,0.8,0.4,0.3,0.6,1.9,5.7
24,2 seasons,,MIA,NBA,,65.0,3.0,16.3,1.6,3.8,0.409,0.5,1.5,0.326,1.1,2.3,0.461,0.47200000000000003,1.2,1.4,0.84,0.8,1.9,2.7,0.8,0.4,0.3,0.6,1.4,4.8
25,2 seasons,,ORL,NBA,,61.0,55.0,24.2,2.9,6.2,0.465,1.0,2.7,0.377,1.8,3.4,0.536,0.5489999999999999,1.7,2.0,0.815,1.1,3.2,4.3,1.4,0.7,0.2,1.0,2.2,8.4
26,1 season,,HOU,NBA,,40.0,25.0,23.7,2.6,5.3,0.493,1.1,3.0,0.36700000000000005,1.5,2.3,0.659,0.597,1.1,1.5,0.7240000000000001,0.9,2.0,2.9,0.7,1.0,0.4,0.6,2.8,7.4
27,1 season,,DET,NBA,,27.0,8.0,20.4,2.7,6.0,0.457,0.8,2.6,0.304,2.0,3.4,0.57,0.522,1.2,1.6,0.767,0.7,1.7,2.5,0.8,0.6,0.2,0.7,2.0,7.5
28,1 season,,NOP,NBA,,9.0,5.0,31.3,5.6,11.1,0.5,2.7,5.6,0.48,2.9,5.6,0.52,0.62,2.1,2.7,0.792,1.9,2.0,3.9,2.0,1.3,0.3,1.9,2.9,15.9
29,1 season,,DEN,NBA,,3.0,0.0,4.7,0.7,2.0,0.33299999999999996,0.0,0.7,0.0,0.7,1.3,0.5,0.33299999999999996,0.0,0.3,0.0,0.3,0.3,0.7,1.0,0.0,0.0,0.3,0.3,1.3
30,1 season,,LAC,NBA,,2.0,0.0,14.0,3.5,5.5,0.636,1.0,2.0,0.5,2.5,3.5,0.7140000000000001,0.727,2.0,2.0,1.0,1.0,1.5,2.5,0.0,0.5,0.5,0.5,2.0,10.0
31,1 season,,BRK,NBA,,2.0,0.0,7.0,1.0,3.5,0.28600000000000003,0.5,1.0,0.5,0.5,2.5,0.2,0.35700000000000004,0.0,0.0,,1.0,1.5,2.5,0.0,0.5,0.5,0.0,0.0,2.5
