,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2012-13,23.0,PHI,NBA,SG,9,0,15.8,1.8,5.3,.333,0.4,1.8,.250,1.3,3.6,.375,.375,0.7,0.9,.750,0.0,1.6,1.6,1.7,0.3,0.7,1.0,0.8,4.7
1,2013-14,24.0,Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary),Did Not Play (other pro league—Hungary)
2,2014-15,25.0,GSW,NBA,SG,59,4,11.1,1.5,4.0,.387,0.6,1.8,.321,0.9,2.1,.444,.462,0.6,0.8,.822,0.2,1.0,1.2,0.8,0.7,0.2,0.5,0.9,4.3
3,2015-16,26.0,TOT,NBA,SG,53,5,14.6,1.7,4.3,.386,0.7,2.0,.343,1.0,2.3,.423,.465,0.5,0.7,.730,0.2,1.5,1.7,1.1,0.6,0.4,0.7,1.2,4.5
4,2015-16,26.0,ATL,NBA,SG,26,1,10.1,0.9,2.8,.329,0.4,1.7,.222,0.5,1.1,.500,.397,0.2,0.4,.500,0.2,0.9,1.0,0.4,0.5,0.2,0.5,0.8,2.4
5,2015-16,26.0,CHI,NBA,SG,27,4,18.9,2.4,5.7,.413,1.0,2.2,.433,1.4,3.5,.400,.497,0.8,1.0,.815,0.3,2.0,2.3,1.7,0.7,0.6,1.0,1.5,6.5
6,2016-17,27.0,NYK,NBA,SG,82,4,20.0,2.8,6.6,.433,1.2,3.3,.355,1.7,3.2,.513,.523,0.8,1.0,.825,0.3,2.4,2.7,1.2,0.8,0.4,0.8,1.3,7.7
7,2017-18,28.0,CHI,NBA,SG,72,72,31.5,4.0,10.9,.371,2.2,6.2,.359,1.8,4.6,.387,.474,1.9,2.3,.823,0.4,3.6,4.0,2.1,1.1,0.4,1.3,1.9,12.2
8,2018-19,29.0,TOT,NBA,SG,82,77,31.8,3.7,9.5,.386,2.0,5.7,.348,1.7,3.8,.442,.490,1.2,1.3,.896,0.6,3.4,3.9,1.8,1.5,0.4,1.3,2.0,10.5
9,2018-19,29.0,CHI,NBA,SG,38,38,34.9,4.0,10.4,.383,2.6,7.1,.359,1.4,3.3,.435,.506,1.1,1.2,.891,0.5,3.9,4.4,2.2,1.8,0.6,1.2,2.1,11.6
