Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,24-190,NOP,@,BRK,W (+22),0,15:43,3.0,6.0,.500,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,7.0,5.2,+3,4.0,2.0,0.5,27,54,5,52,39,19,45,35,60,15,49,56,58,30,28,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,1.0,0.7123287671232876,0.6610169491525424,0.76,0.6818181818181818,0.7446808510638298,0.759493670886076,0.6,0.7538461538461538,0.7272727272727273,0.7341772151898734,0.7894736842105263,0.9655172413793104,6,63.0,65.0,0.0,0.0923076923076923,16,5.0,95.0,5.9375,5.2,100.7,6.29375
1,2,2,2022-10-21,24-192,NOP,@,CHO,W (+12),0,14:38,2.0,4.0,.500,1.0,3.0,.333,1,2.0,.500,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,6.0,3.9,-4,1.0,1.0,1.0,27,54,5,52,39,19,45,35,60,15,49,56,58,30,28,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,1.0,0.7123287671232876,0.6610169491525424,0.76,0.6818181818181818,0.7446808510638298,0.759493670886076,0.6,0.7538461538461538,0.7272727272727273,0.7341772151898734,0.7894736842105263,0.9655172413793104,6,63.0,65.0,0.0,0.0923076923076923,16,2.0,90.0,5.625,3.4999999999999982,106.90000000000002,6.681250000000001
2,3,3,2022-10-23,24-194,NOP,,UTA,L (-1),0,24:10,3.0,6.0,.500,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,4.0,1.0,1.0,3.0,1.0,7.0,6.0,-5,3.0,2.0,0.6666666666666666,27,54,5,52,39,19,45,35,60,15,49,56,58,30,28,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,1.0,0.7123287671232876,0.6610169491525424,0.76,0.6818181818181818,0.7446808510638298,0.759493670886076,0.6,0.7538461538461538,0.7272727272727273,0.7341772151898734,0.7894736842105263,0.9655172413793104,6,63.0,65.0,0.0,0.0923076923076923,16,7.0,62.0,3.875,5.999999999999998,83.99999999999999,5.249999999999999
3,4,4,2022-10-25,24-196,NOP,,DAL,W (+2),1,25:59,6.0,8.0,.750,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,3.0,2.0,0.0,2.0,1.0,13.0,12.4,+12,5.0,5.0,1.0,27,54,5,52,39,19,45,35,60,15,49,56,58,30,28,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,1.0,0.7123287671232876,0.6610169491525424,0.76,0.6818181818181818,0.7446808510638298,0.759493670886076,0.6,0.7538461538461538,0.7272727272727273,0.7341772151898734,0.7894736842105263,0.9655172413793104,6,63.0,65.0,0.0,0.0923076923076923,16,11.0,67.0,4.1875,12.4,70.69999999999999,4.418749999999999
4,5,5,2022-10-28,24-199,NOP,@,PHO,L (-13),1,29:19,4.0,12.0,.333,4.0,7.0,.571,2,2.0,1.000,0.0,1.0,1.0,3.0,1.0,0.0,3.0,4.0,14.0,6.0,-7,5.0,0.0,0.0,27,54,5,52,39,19,45,35,60,15,49,56,58,30,28,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,1.0,0.7123287671232876,0.6610169491525424,0.76,0.6818181818181818,0.7446808510638298,0.759493670886076,0.6,0.7538461538461538,0.7272727272727273,0.7341772151898734,0.7894736842105263,0.9655172413793104,6,63.0,65.0,0.0,0.0923076923076923,16,2.0,79.0,4.9375,5.200000000000001,80.10000000000001,5.0062500000000005
5,6,6,2022-10-30,24-201,NOP,@,LAC,W (+21),0,18:32,0.0,5.0,.000,0.0,4.0,.000,0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.8,+3,1.0,0.0,0.0,27,54,5,52,39,19,45,35,60,15,49,56,58,30,28,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,1.0,0.7123287671232876,0.6610169491525424,0.76,0.6818181818181818,0.7446808510638298,0.759493670886076,0.6,0.7538461538461538,0.7272727272727273,0.7341772151898734,0.7894736842105263,0.9655172413793104,6,63.0,65.0,0.0,0.0923076923076923,16,-2.0,98.0,6.125,-1.8000000000000005,97.5,6.09375
6,7,7,2022-11-02,24-204,NOP,@,LAL,L (-3),0,17:32,6.0,8.0,.750,3.0,4.0,.750,0,0.0,,0.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,15.0,14.4,+10,4.0,3.0,0.75,27,54,5,52,39,19,45,35,60,15,49,56,58,30,28,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,1.0,0.7123287671232876,0.6610169491525424,0.76,0.6818181818181818,0.7446808510638298,0.759493670886076,0.6,0.7538461538461538,0.7272727272727273,0.7341772151898734,0.7894736842105263,0.9655172413793104,6,63.0,65.0,0.0,0.0923076923076923,16,13.0,82.0,5.125,14.400000000000002,77.29999999999998,4.831249999999999
7,8,8,2022-11-04,24-206,NOP,,GSW,W (+9),0,18:00,3.0,6.0,.500,3.0,4.0,.750,1,2.0,.500,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,10.0,7.9,+15,2.0,0.0,0.0,27,54,5,52,39,19,45,35,60,15,49,56,58,30,28,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,1.0,0.7123287671232876,0.6610169491525424,0.76,0.6818181818181818,0.7446808510638298,0.759493670886076,0.6,0.7538461538461538,0.7272727272727273,0.7341772151898734,0.7894736842105263,0.9655172413793104,6,63.0,65.0,0.0,0.0923076923076923,16,5.0,64.0,4.0,7.499999999999998,75.8,4.7375
8,9,9,2022-11-05,24-207,NOP,@,ATL,L (-3),0,15:39,2.0,5.0,.400,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,5.0,4.3,+5,3.0,1.0,0.3333333333333333,27,54,5,52,39,19,45,35,60,15,49,56,58,30,28,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,1.0,0.7123287671232876,0.6610169491525424,0.76,0.6818181818181818,0.7446808510638298,0.759493670886076,0.6,0.7538461538461538,0.7272727272727273,0.7341772151898734,0.7894736842105263,0.9655172413793104,6,63.0,65.0,0.0,0.0923076923076923,16,5.0,55.0,3.4375,4.299999999999998,75.69999999999999,4.731249999999999
9,10,10,2022-11-07,24-209,NOP,@,IND,L (-7),0,14:16,0.0,5.0,.000,0.0,3.0,.000,1,2.0,.500,1.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,-0.6,0,2.0,0.0,0.0,27,54,5,52,39,19,45,35,60,15,49,56,58,30,28,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,25.0,65.0,77.0,79.0,38.0,29.0,0.6,0.72,1.0,0.7123287671232876,0.6610169491525424,0.76,0.6818181818181818,0.7446808510638298,0.759493670886076,0.6,0.7538461538461538,0.7272727272727273,0.7341772151898734,0.7894736842105263,0.9655172413793104,6,63.0,65.0,0.0,0.0923076923076923,16,-1.0,101.0,6.3125,-1.0000000000000004,94.4,5.9
