Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,31-030,NOP,@,BRK,W (+22),1,31:03,7.0,16.0,.438,3.0,9.0,.333,4,5.0,.800,1.0,3.0,4.0,6.0,3.0,0.0,1.0,2.0,21.0,19.2,+23,7.0,4.0,0.5714285714285714,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,12.0,88.0,5.5,17.599999999999994,88.30000000000001,5.518750000000001
1,2,2,2022-10-21,31-032,NOP,@,CHO,W (+12),1,31:33,9.0,17.0,.529,2.0,6.0,.333,1,1.0,1.000,2.0,4.0,6.0,2.0,1.0,0.0,3.0,3.0,21.0,13.5,+15,11.0,7.0,0.6363636363636364,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,9.0,83.0,5.1875,13.1,97.3,6.08125
2,3,3,2022-10-23,31-034,NOP,,UTA,L (-1),1,40:43,12.0,25.0,.480,2.0,8.0,.250,2,2.0,1.000,0.0,4.0,4.0,12.0,1.0,0.0,2.0,2.0,28.0,23.1,+9,17.0,10.0,0.5882352941176471,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,16.0,53.0,3.3125,22.3,67.69999999999999,4.231249999999999
3,4,4,2022-10-25,31-036,NOP,,DAL,W (+2),1,35:31,6.0,20.0,.300,1.0,5.0,.200,1,1.0,1.000,0.0,0.0,0.0,11.0,1.0,1.0,3.0,1.0,14.0,8.4,+10,15.0,5.0,0.3333333333333333,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,3.0,75.0,4.6875,7.9999999999999964,75.1,4.69375
4,5,5,2022-10-28,31-039,NOP,@,PHO,L (-13),1,34:31,6.0,19.0,.316,0.0,5.0,.000,5,6.0,.833,0.0,2.0,2.0,9.0,1.0,0.0,1.0,2.0,17.0,11.8,0,14.0,6.0,0.4285714285714285,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,3.0,78.0,4.875,9.8,75.5,4.71875
5,6,6,2022-10-30,31-041,NOP,@,LAC,W (+21),1,31:41,9.0,19.0,.474,4.0,8.0,.500,0,0.0,,0.0,5.0,5.0,3.0,1.0,0.0,0.0,2.0,22.0,16.1,+13,11.0,5.0,0.4545454545454545,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,12.0,84.0,5.25,16.100000000000005,79.60000000000001,4.9750000000000005
6,7,7,2022-11-02,31-044,NOP,@,LAL,L (-3),1,40:49,10.0,27.0,.370,1.0,6.0,.167,1,1.0,1.000,1.0,8.0,9.0,8.0,1.0,2.0,1.0,2.0,22.0,16.4,-3,21.0,9.0,0.4285714285714285,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,13.0,82.0,5.125,15.999999999999996,75.69999999999999,4.731249999999999
7,8,8,2022-11-04,31-046,NOP,,GSW,W (+9),1,34:26,7.0,17.0,.412,3.0,6.0,.500,3,4.0,.750,2.0,6.0,8.0,5.0,2.0,0.0,3.0,1.0,20.0,15.8,-5,11.0,4.0,0.3636363636363636,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,11.0,58.0,3.625,14.6,68.7,4.29375
8,9,9,2022-11-05,31-047,NOP,@,ATL,L (-3),1,41:19,12.0,23.0,.522,4.0,9.0,.444,1,1.0,1.000,2.0,8.0,10.0,0.0,1.0,1.0,2.0,4.0,29.0,19.6,0,14.0,8.0,0.5714285714285714,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,15.0,45.0,2.8125,19.2,60.79999999999998,3.799999999999999
9,10,10,2022-11-07,31-049,NOP,@,IND,L (-7),1,35:49,3.0,11.0,.273,2.0,5.0,.400,1,2.0,.500,2.0,3.0,5.0,7.0,1.0,0.0,3.0,3.0,9.0,6.1,-11,6.0,1.0,0.1666666666666666,42,5,47,54,20,59,41,72,54,22,60,72,73,33,25,45.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9333333333333332,1.0,0.6438356164383562,0.9152542372881356,0.8,0.8939393939393939,0.8723404255319149,0.9113924050632912,0.8852459016393442,0.88,0.9230769230769232,0.935064935064935,0.9240506329113924,0.868421052631579,0.8620689655172413,22,63.0,65.0,0.0,0.3384615384615385,16,6.0,94.0,5.875,5.699999999999999,87.7,5.48125
