,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Tom Gugliotta,26.0,78,78.0,2835,473,1004,0.471,26,86,0.302,447,918,0.487,0.484,289,374,0.773,176,514,690,238,139,96,234,265,1261
1,2.0,Isaiah Rider,24.0,75,68.0,2594,560,1206,0.464,102,275,0.371,458,931,0.492,0.507,248,296,0.838,99,210,309,213,48,23,201,204,1470
2,3.0,Kevin Garnett,19.0,80,43.0,2293,361,735,0.491,8,28,0.286,353,707,0.499,0.497,105,149,0.705,175,326,501,145,86,131,110,189,835
3,4.0,Sam Mitchell,32.0,78,42.0,2145,303,618,0.49,1,18,0.056,302,600,0.503,0.491,237,291,0.814,107,232,339,74,49,26,87,220,844
4,5.0,Terry Porter,32.0,82,40.0,2072,269,608,0.442,71,226,0.314,198,382,0.518,0.501,164,209,0.785,36,176,212,452,89,15,173,154,773
5,6.0,Doug West,28.0,73,16.0,1639,175,393,0.445,1,13,0.077,174,380,0.458,0.447,114,144,0.792,48,113,161,119,30,17,81,228,465
6,7.0,Christian Laettner,26.0,44,44.0,1518,283,582,0.486,9,31,0.29,274,551,0.497,0.494,217,266,0.816,98,204,302,129,40,43,112,157,792
7,8.0,Sean Rooks,26.0,49,7.0,902,112,227,0.493,1,6,0.167,111,221,0.502,0.496,106,159,0.667,60,144,204,38,19,28,49,106,331
8,9.0,Darrick Martin,24.0,35,16.0,747,88,231,0.381,15,47,0.319,73,184,0.397,0.413,63,74,0.851,3,41,44,156,26,2,70,76,254
9,10.0,Spud Webb,32.0,26,21.0,645,82,208,0.394,29,72,0.403,53,136,0.39,0.464,51,58,0.879,7,33,40,154,25,5,59,41,244
10,11.0,Mark Davis,22.0,57,0.0,571,55,149,0.369,4,13,0.308,51,136,0.375,0.383,74,116,0.638,56,69,125,47,40,22,68,92,188
11,12.0,Andrew Lang,29.0,20,18.0,550,72,171,0.421,1,2,0.5,71,169,0.42,0.424,30,38,0.789,42,79,121,3,7,41,30,63,175
12,13.0,Marques Bragg,25.0,53,0.0,369,54,120,0.45,0,0,,54,120,0.45,0.45,23,41,0.561,38,41,79,8,17,8,26,71,131
13,14.0,Jerome Allen,23.0,41,0.0,362,36,105,0.343,10,33,0.303,26,72,0.361,0.39,26,36,0.722,5,20,25,49,21,5,34,42,108
14,15.0,Eric Riley,25.0,25,10.0,310,35,74,0.473,0,1,0.0,35,73,0.479,0.473,22,28,0.786,32,44,76,5,8,16,17,42,92
15,16.0,Micheal Williams,29.0,9,7.0,189,13,40,0.325,1,3,0.333,12,37,0.324,0.338,28,33,0.848,3,20,23,31,5,3,23,37,55
16,17.0,Charles Smith,28.0,8,0.0,39,3,10,0.3,0,3,0.0,3,7,0.429,0.3,0,2,0.0,0,5,5,6,1,0,5,7,6
17,,,,82,,19780,2974,6481,0.459,279,857,0.326,2695,5624,0.479,0.48,1797,2314,0.777,985,2271,3256,1867,650,481,1426,1994,8024
