,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Erick Dampier,22.0,82,82.0,2656,352,791,0.445,0,2,0.0,352,789,0.446,0.445,267,399,0.669,272,443,715,94,39,139,175,281,971
1,2.0,Donyell Marshall,24.0,73,73.0,2611,451,1090,0.414,63,201,0.313,388,889,0.436,0.443,158,216,0.731,210,418,628,159,95,73,147,226,1123
2,3.0,Tony Delk,24.0,74,9.0,1647,311,794,0.392,41,156,0.263,270,638,0.423,0.418,110,149,0.738,38,132,170,169,73,12,105,88,773
3,4.0,Joe Smith,22.0,49,49.0,1645,343,800,0.429,0,7,0.0,343,793,0.433,0.429,160,208,0.769,141,197,338,67,44,38,106,169,846
4,5.0,Muggsy Bogues,33.0,59,31.0,1554,139,318,0.437,4,16,0.25,135,302,0.447,0.443,59,66,0.894,30,101,131,327,65,3,104,56,341
5,6.0,Bimbo Coles,29.0,53,44.0,1471,166,438,0.379,13,57,0.228,153,381,0.402,0.394,78,88,0.886,17,106,123,248,51,13,89,135,423
6,7.0,Jim Jackson,27.0,31,31.0,1258,230,572,0.402,22,79,0.278,208,493,0.422,0.421,103,128,0.805,61,112,173,158,38,2,118,74,585
7,8.0,Clarence Weatherspoon,27.0,31,31.0,1035,127,277,0.458,0,0,,127,277,0.458,0.458,77,103,0.748,89,169,258,49,42,22,50,86,331
8,9.0,Brian Shaw,31.0,39,32.0,1028,103,307,0.336,21,67,0.313,82,240,0.342,0.37,24,33,0.727,20,131,151,173,35,14,75,93,251
9,10.0,Felton Spencer,30.0,68,0.0,813,59,129,0.457,0,0,,59,129,0.457,0.457,44,79,0.557,93,133,226,17,23,37,49,175,162
10,11.0,Jason Caffey,24.0,29,6.0,713,126,267,0.472,0,1,0.0,126,266,0.474,0.472,63,97,0.649,84,87,171,31,12,3,57,89,315
11,12.0,Adonal Foyle,22.0,55,1.0,656,69,170,0.406,0,1,0.0,69,169,0.408,0.406,27,62,0.435,73,111,184,14,13,52,50,94,165
12,13.0,Todd Fuller,23.0,57,1.0,613,86,205,0.42,0,4,0.0,86,201,0.428,0.42,55,80,0.688,61,135,196,10,6,16,37,89,227
13,14.0,Latrell Sprewell,27.0,14,13.0,547,110,277,0.397,9,48,0.188,101,229,0.441,0.413,70,94,0.745,7,44,51,68,19,5,44,26,299
14,15.0,Duane Ferrell,32.0,50,5.0,461,41,111,0.369,0,6,0.0,41,105,0.39,0.369,12,22,0.545,25,22,47,26,21,6,18,50,94
15,16.0,David Vaughn,24.0,22,0.0,322,46,114,0.404,0,1,0.0,46,113,0.407,0.404,22,34,0.647,34,68,102,18,10,6,31,48,114
16,17.0,Gerald Madkins,28.0,19,0.0,243,13,34,0.382,6,15,0.4,7,19,0.368,0.471,5,7,0.714,2,13,15,45,13,1,13,18,37
17,18.0,Dickey Simpkins,25.0,19,0.0,196,22,48,0.458,0,1,0.0,22,47,0.468,0.458,10,26,0.385,19,27,46,16,5,2,19,19,54
18,19.0,Brandon Williams,22.0,9,2.0,140,16,50,0.32,3,9,0.333,13,41,0.317,0.35,2,4,0.5,4,11,15,3,6,3,9,18,37
19,20.0,Carl Thomas,28.0,10,0.0,139,25,65,0.385,5,21,0.238,20,44,0.455,0.423,7,10,0.7,4,6,10,9,5,1,6,12,62
20,21.0,B.J. Armstrong,30.0,4,0.0,59,6,19,0.316,0,1,0.0,6,18,0.333,0.316,5,7,0.714,4,3,7,6,4,0,7,6,17
21,22.0,Jeff Grayer,32.0,4,0.0,23,4,7,0.571,2,3,0.667,2,4,0.5,0.714,0,0,,0,4,4,1,2,0,2,7,10
22,,,,82,,19830,2845,6883,0.413,189,696,0.272,2656,6187,0.429,0.427,1358,1912,0.71,1288,2473,3761,1708,621,448,1369,1859,7237
