,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Kevin Durant,30.0,78,78.0,2702,721,1383,0.521,137,388,0.353,584,995,0.587,0.571,448,506,0.885,33,464,497,457,58,84,225,155,2027
1,2.0,Klay Thompson,28.0,78,78.0,2652,655,1402,0.467,241,599,0.402,414,803,0.516,0.553,129,158,0.816,37,262,299,186,84,47,115,157,1680
2,3.0,Stephen Curry,30.0,69,69.0,2331,632,1340,0.472,354,810,0.437,278,530,0.525,0.604,263,287,0.916,45,324,369,361,92,25,192,166,1881
3,4.0,Draymond Green,28.0,66,66.0,2065,188,422,0.445,47,165,0.285,141,257,0.549,0.501,63,91,0.692,60,421,481,454,95,70,169,197,486
4,5.0,Andre Iguodala,35.0,68,13.0,1578,151,302,0.5,48,144,0.333,103,158,0.652,0.579,39,67,0.582,48,204,252,216,61,51,52,95,389
5,6.0,Kevon Looney,22.0,80,24.0,1481,217,347,0.625,1,10,0.1,216,337,0.641,0.627,65,105,0.619,194,223,417,123,46,53,51,211,500
6,7.0,Jonas Jerebko,31.0,73,6.0,1218,163,355,0.459,69,188,0.367,94,167,0.563,0.556,64,80,0.8,72,216,288,96,27,18,43,137,459
7,8.0,Quinn Cook,25.0,74,10.0,1059,204,439,0.465,81,200,0.405,123,239,0.515,0.557,20,26,0.769,22,135,157,116,20,3,50,92,509
8,9.0,Alfonzo McKinnie,26.0,72,5.0,1003,134,275,0.487,42,118,0.356,92,157,0.586,0.564,27,48,0.563,81,166,247,31,18,15,30,134,337
9,10.0,Shaun Livingston,33.0,64,0.0,967,109,210,0.519,0,2,0.0,109,208,0.524,0.519,40,51,0.784,42,75,117,114,31,27,38,74,258
10,11.0,Jordan Bell,24.0,68,3.0,788,99,192,0.516,0,2,0.0,99,190,0.521,0.516,25,41,0.61,55,129,184,76,20,51,42,80,223
11,12.0,DeMarcus Cousins,28.0,30,30.0,771,178,371,0.48,26,95,0.274,152,276,0.551,0.515,106,144,0.736,43,204,247,107,40,44,72,109,488
12,13.0,Damian Jones,23.0,24,22.0,410,53,74,0.716,0,0,,53,74,0.716,0.716,24,37,0.649,31,44,75,28,12,25,16,63,130
13,14.0,Damion Lee,26.0,32,0.0,375,56,127,0.441,27,68,0.397,29,59,0.492,0.547,19,22,0.864,8,56,64,13,13,0,11,28,158
14,15.0,Jacob Evans,21.0,30,1.0,204,18,53,0.34,4,15,0.267,14,38,0.368,0.377,0,1,0.0,6,19,25,23,5,3,11,28,40
15,16.0,Andrew Bogut,34.0,11,5.0,134,18,36,0.5,0,0,,18,36,0.5,0.5,3,3,1.0,12,43,55,11,3,8,8,22,39
16,17.0,Marcus Derrickson,22.0,11,0.0,67,16,33,0.485,10,20,0.5,6,13,0.462,0.636,4,5,0.8,8,5,13,1,0,1,3,9,46
17,,,,82,,19805,3612,7361,0.491,1087,2824,0.385,2525,4537,0.557,0.565,1339,1672,0.801,797,2990,3787,2413,625,525,1169,1757,9650
