Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,20-248,HOU,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,26,21,1,33,32,56,13,51,44,57,43,57,3,19,54,75.0,31.0,39.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.68,0.8387096774193549,0.5384615384615384,0.25,0.4782608695652174,0.5925925925925926,0.7088607594936709,0.4193548387096774,0.6710526315789473,0.6875,0.6951219512195121,0.7288135593220338,0.6951219512195121,0.6,0.6129032258064516,0.72,,7,20,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,,43.0,2.388888888888889,0.0,50.5,2.805555555555556,5.3,-1.2,-6.5,-5.0,-1.5,0.0248871269683955,0.447,0.591,0.152,-1.0,-1.5,L (-10),L (-10)
2.0,,2022-10-21,20-250,HOU,MEM,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,51,26,21,1,33,32,56,13,51,44,57,43,57,3,19,54,75.0,31.0,39.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.68,0.8387096774193549,0.5384615384615384,0.25,0.4782608695652174,0.5925925925925926,0.7088607594936709,0.4193548387096774,0.6710526315789473,0.6875,0.6951219512195121,0.7288135593220338,0.6951219512195121,0.6,0.6129032258064516,0.72,,7,20,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,,47.0,2.611111111111111,0.0,65.0,3.611111111111111,5.3,-1.2,-6.5,-5.0,-1.5,0.0248871269683955,0.447,0.591,0.152,-1.0,-1.5,L (-7),L (-7)
3.0,1.0,2022-10-22,20-251,HOU,MIL,0,14.266666666666667,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,-0.5,-11,1.0,1.0,1.0,51,26,21,1,33,32,56,13,51,44,57,43,57,3,19,54,75.0,31.0,39.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.68,0.8387096774193549,0.5384615384615384,0.25,0.4782608695652174,0.5925925925925926,0.7088607594936709,0.4193548387096774,0.6710526315789473,0.6875,0.6951219512195121,0.7288135593220338,0.6951219512195121,0.6,0.6129032258064516,0.72,,7,20,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,0.0,67.0,3.7222222222222223,-0.5000000000000002,73.99999999999999,4.111111111111111,5.3,-1.2,-6.5,-5.0,-1.5,0.0248871269683955,0.447,0.591,0.152,-1.0,-1.5,L (-20),L (-20)
4.0,2.0,2022-10-24,20-253,HOU,UTA,0,21.58333333333333,2.0,3.0,.667,0.0,0.0,,3,4.0,.750,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,7.0,7.7,+5,3.0,2.0,0.6666666666666666,51,26,21,1,33,32,56,13,51,44,57,43,57,3,19,54,75.0,31.0,39.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.68,0.8387096774193549,0.5384615384615384,0.25,0.4782608695652174,0.5925925925925926,0.7088607594936709,0.4193548387096774,0.6710526315789473,0.6875,0.6951219512195121,0.7288135593220338,0.6951219512195121,0.6,0.6129032258064516,0.72,,7,20,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,4.0,51.0,2.833333333333333,6.5,60.7,3.3722222222222222,5.3,-1.2,-6.5,-5.0,-1.5,0.0248871269683955,0.447,0.591,0.152,-1.0,-1.5,W (+6),W (+6)
5.0,3.0,2022-10-26,20-255,HOU,UTA,0,11.516666666666667,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,-4.0,-1,1.0,0.0,0.0,51,26,21,1,33,32,56,13,51,44,57,43,57,3,19,54,75.0,31.0,39.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.68,0.8387096774193549,0.5384615384615384,0.25,0.4782608695652174,0.5925925925925926,0.7088607594936709,0.4193548387096774,0.6710526315789473,0.6875,0.6951219512195121,0.7288135593220338,0.6951219512195121,0.6,0.6129032258064516,0.72,,7,20,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,-4.0,44.0,2.4444444444444446,-4.0,34.99999999999999,1.944444444444444,5.3,-1.2,-6.5,-5.0,-1.5,0.0248871269683955,0.447,0.591,0.152,-1.0,-1.5,L (-8),L (-8)
6.0,4.0,2022-10-28,20-257,HOU,POR,0,13.466666666666669,3.0,4.0,.750,3.0,4.0,.750,0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,9.8,-4,0.0,0.0,,51,26,21,1,33,32,56,13,51,44,57,43,57,3,19,54,75.0,31.0,39.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.68,0.8387096774193549,0.5384615384615384,0.25,0.4782608695652174,0.5925925925925926,0.7088607594936709,0.4193548387096774,0.6710526315789473,0.6875,0.6951219512195121,0.7288135593220338,0.6951219512195121,0.6,0.6129032258064516,0.72,,7,20,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,8.0,45.0,2.5,9.8,53.0,2.9444444444444446,5.3,-1.2,-6.5,-5.0,-1.5,0.0248871269683955,0.447,0.591,0.152,-1.0,-1.5,L (-14),L (-14)
7.0,5.0,2022-10-30,20-259,HOU,PHO,0,12.116666666666667,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,-2.7,-6,1.0,0.0,0.0,51,26,21,1,33,32,56,13,51,44,57,43,57,3,19,54,75.0,31.0,39.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.68,0.8387096774193549,0.5384615384615384,0.25,0.4782608695652174,0.5925925925925926,0.7088607594936709,0.4193548387096774,0.6710526315789473,0.6875,0.6951219512195121,0.7288135593220338,0.6951219512195121,0.6,0.6129032258064516,0.72,,7,20,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,-2.0,58.0,3.2222222222222223,-2.7,71.49999999999999,3.972222222222221,5.3,-1.2,-6.5,-5.0,-1.5,0.0248871269683955,0.447,0.591,0.152,-1.0,-1.5,L (-15),L (-15)
8.0,6.0,2022-10-31,20-260,HOU,LAC,0,9.283333333333331,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,4.7,+14,1.0,0.0,0.0,51,26,21,1,33,32,56,13,51,44,57,43,57,3,19,54,75.0,31.0,39.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.68,0.8387096774193549,0.5384615384615384,0.25,0.4782608695652174,0.5925925925925926,0.7088607594936709,0.4193548387096774,0.6710526315789473,0.6875,0.6951219512195121,0.7288135593220338,0.6951219512195121,0.6,0.6129032258064516,0.72,,7,20,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,5.0,33.0,1.8333333333333333,4.699999999999999,42.7,2.3722222222222222,5.3,-1.2,-6.5,-5.0,-1.5,0.0248871269683955,0.447,0.591,0.152,-1.0,-1.5,L (-2),L (-2)
9.0,7.0,2022-11-02,20-262,HOU,LAC,0,20.883333333333333,4.0,8.0,.500,4.0,6.0,.667,0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,12.0,9.2,-2,2.0,0.0,0.0,51,26,21,1,33,32,56,13,51,44,57,43,57,3,19,54,75.0,31.0,39.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.68,0.8387096774193549,0.5384615384615384,0.25,0.4782608695652174,0.5925925925925926,0.7088607594936709,0.4193548387096774,0.6710526315789473,0.6875,0.6951219512195121,0.7288135593220338,0.6951219512195121,0.6,0.6129032258064516,0.72,,7,20,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,8.0,53.0,2.9444444444444446,9.2,53.7,2.9833333333333334,5.3,-1.2,-6.5,-5.0,-1.5,0.0248871269683955,0.447,0.591,0.152,-1.0,-1.5,L (-8),L (-8)
10.0,8.0,2022-11-05,20-265,HOU,MIN,0,18.8,0.0,4.0,.000,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,6.0,3.0,0.0,4.0,1.0,0.0,0.6,+4,2.0,0.0,0.0,51,26,21,1,33,32,56,13,51,44,57,43,57,3,19,54,75.0,31.0,39.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.68,0.8387096774193549,0.5384615384615384,0.25,0.4782608695652174,0.5925925925925926,0.7088607594936709,0.4193548387096774,0.6710526315789473,0.6875,0.6951219512195121,0.7288135593220338,0.6951219512195121,0.6,0.6129032258064516,0.72,,7,20,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,3.0,41.0,2.2777777777777777,0.5999999999999988,61.59999999999999,3.4222222222222216,5.3,-1.2,-6.5,-5.0,-1.5,0.0248871269683955,0.447,0.591,0.152,-1.0,-1.5,L (-12),L (-12)
