Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Eric Gordon,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with Jarrett Culver,co_inf with John Wall,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,22-364,HOU,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,2,1,1,1,4,4,3,4,4,4,3,4,4,75.0,31.0,39.0,57.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0533333333333333,0.064516129032258,0.0256410256410256,0.0175438596491228,0.0144927536231884,0.0,0.050632911392405,0.1290322580645161,0.0394736842105263,0.0625,0.048780487804878,0.0,0.048780487804878,0.6,0.1290322580645161,0.0533333333333333,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,15,,43.0,2.8666666666666667,0.0,33.79999999999999,2.2533333333333325,0.0016518004625041,L (-10),L (-10)
2.0,,2022-10-21,23-001,HOU,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,2,1,1,1,4,4,3,4,4,4,3,4,4,75.0,31.0,39.0,57.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0533333333333333,0.064516129032258,0.0256410256410256,0.0175438596491228,0.0144927536231884,0.0,0.050632911392405,0.1290322580645161,0.0394736842105263,0.0625,0.048780487804878,0.0,0.048780487804878,0.6,0.1290322580645161,0.0533333333333333,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,15,,47.0,3.1333333333333333,0.0,56.89999999999999,3.793333333333333,0.0016518004625041,L (-7),L (-7)
3.0,,2022-10-22,23-002,HOU,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,2,1,1,1,4,4,3,4,4,4,3,4,4,75.0,31.0,39.0,57.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0533333333333333,0.064516129032258,0.0256410256410256,0.0175438596491228,0.0144927536231884,0.0,0.050632911392405,0.1290322580645161,0.0394736842105263,0.0625,0.048780487804878,0.0,0.048780487804878,0.6,0.1290322580645161,0.0533333333333333,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,15,,67.0,4.466666666666667,0.0,61.19999999999999,4.079999999999999,0.0016518004625041,L (-20),L (-20)
4.0,,2022-10-24,23-004,HOU,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,2,1,1,1,4,4,3,4,4,4,3,4,4,75.0,31.0,39.0,57.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0533333333333333,0.064516129032258,0.0256410256410256,0.0175438596491228,0.0144927536231884,0.0,0.050632911392405,0.1290322580645161,0.0394736842105263,0.0625,0.048780487804878,0.0,0.048780487804878,0.6,0.1290322580645161,0.0533333333333333,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,15,,55.0,3.6666666666666665,0.0,50.4,3.36,0.0016518004625041,W (+6),W (+6)
5.0,,2022-10-26,23-006,HOU,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,2,1,1,1,4,4,3,4,4,4,3,4,4,75.0,31.0,39.0,57.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0533333333333333,0.064516129032258,0.0256410256410256,0.0175438596491228,0.0144927536231884,0.0,0.050632911392405,0.1290322580645161,0.0394736842105263,0.0625,0.048780487804878,0.0,0.048780487804878,0.6,0.1290322580645161,0.0533333333333333,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,15,,40.0,2.6666666666666665,0.0,19.5,1.3,0.0016518004625041,L (-8),L (-8)
6.0,,2022-10-28,23-008,HOU,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,2,1,1,1,4,4,3,4,4,4,3,4,4,75.0,31.0,39.0,57.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0533333333333333,0.064516129032258,0.0256410256410256,0.0175438596491228,0.0144927536231884,0.0,0.050632911392405,0.1290322580645161,0.0394736842105263,0.0625,0.048780487804878,0.0,0.048780487804878,0.6,0.1290322580645161,0.0533333333333333,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,15,,53.0,3.533333333333333,0.0,51.70000000000001,3.446666666666667,0.0016518004625041,L (-14),L (-14)
7.0,,2022-10-30,23-010,HOU,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,2,1,1,1,4,4,3,4,4,4,3,4,4,75.0,31.0,39.0,57.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0533333333333333,0.064516129032258,0.0256410256410256,0.0175438596491228,0.0144927536231884,0.0,0.050632911392405,0.1290322580645161,0.0394736842105263,0.0625,0.048780487804878,0.0,0.048780487804878,0.6,0.1290322580645161,0.0533333333333333,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,15,,56.0,3.733333333333333,0.0,51.69999999999999,3.446666666666666,0.0016518004625041,L (-15),L (-15)
8.0,,2022-10-31,23-011,HOU,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,2,1,1,1,4,4,3,4,4,4,3,4,4,75.0,31.0,39.0,57.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0533333333333333,0.064516129032258,0.0256410256410256,0.0175438596491228,0.0144927536231884,0.0,0.050632911392405,0.1290322580645161,0.0394736842105263,0.0625,0.048780487804878,0.0,0.048780487804878,0.6,0.1290322580645161,0.0533333333333333,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,15,,38.0,2.533333333333333,0.0,38.5,2.566666666666667,0.0016518004625041,L (-2),L (-2)
9.0,,2022-11-02,23-013,HOU,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,2,1,1,1,4,4,3,4,4,4,3,4,4,75.0,31.0,39.0,57.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0533333333333333,0.064516129032258,0.0256410256410256,0.0175438596491228,0.0144927536231884,0.0,0.050632911392405,0.1290322580645161,0.0394736842105263,0.0625,0.048780487804878,0.0,0.048780487804878,0.6,0.1290322580645161,0.0533333333333333,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,15,,61.0,4.066666666666666,0.0,51.8,3.453333333333333,0.0016518004625041,L (-8),L (-8)
10.0,,2022-11-05,23-016,HOU,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,2,1,1,1,4,4,3,4,4,4,3,4,4,75.0,31.0,39.0,57.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0533333333333333,0.064516129032258,0.0256410256410256,0.0175438596491228,0.0144927536231884,0.0,0.050632911392405,0.1290322580645161,0.0394736842105263,0.0625,0.048780487804878,0.0,0.048780487804878,0.6,0.1290322580645161,0.0533333333333333,,2,36.0,10.0,34.0,0.0555555555555555,0.0,0.0,15,,44.0,2.933333333333333,0.0,59.7,3.98,0.0016518004625041,L (-12),L (-12)
