Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,26-169,SAC,,POR,L (-7),1,33:07,5.0,10.0,.500,0.0,1.0,.000,3,6.0,.500,1.0,3.0,4.0,5.0,1.0,1.0,3.0,6.0,13.0,8.2,+7,9.0,5.0,0.5555555555555556,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,5.0,70.0,3.888888888888889,6.9999999999999964,72.69999999999999,4.038888888888888
1,2,2,2022-10-22,26-172,SAC,,LAC,L (-2),1,34:39,4.0,12.0,.333,0.0,3.0,.000,3,6.0,.500,3.0,7.0,10.0,7.0,2.0,2.0,1.0,4.0,11.0,12.9,+7,9.0,4.0,0.4444444444444444,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,13.0,49.0,2.7222222222222223,11.7,67.30000000000001,3.7388888888888894
2,3,3,2022-10-23,26-173,SAC,@,GSW,L (-5),1,22:21,6.0,10.0,.600,0.0,1.0,.000,7,8.0,.875,3.0,11.0,14.0,4.0,0.0,1.0,1.0,2.0,19.0,21.1,-25,9.0,6.0,0.6666666666666666,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,19.0,59.0,3.2777777777777777,18.3,71.5,3.9722222222222223
3,4,4,2022-10-27,26-177,SAC,,MEM,L (-15),1,30:52,4.0,6.0,.667,0.0,1.0,.000,3,4.0,.750,3.0,8.0,11.0,9.0,1.0,0.0,4.0,4.0,11.0,14.2,+7,5.0,4.0,0.8,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,18.0,48.0,2.6666666666666665,12.999999999999996,66.7,3.7055555555555557
4,5,5,2022-10-29,26-179,SAC,,MIA,W (+6),1,22:44,8.0,9.0,.889,0.0,0.0,,2,2.0,1.000,2.0,5.0,7.0,3.0,0.0,1.0,2.0,6.0,18.0,16.2,+6,9.0,8.0,0.8888888888888888,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,16.0,54.0,3.0,15.399999999999991,63.39999999999999,3.5222222222222217
5,6,6,2022-10-31,26-181,SAC,@,CHO,W (+7),1,31:14,3.0,9.0,.333,0.0,1.0,.000,3,5.0,.600,4.0,12.0,16.0,7.0,1.0,0.0,3.0,6.0,9.0,10.0,+12,8.0,3.0,0.375,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,16.0,47.0,2.611111111111111,8.799999999999999,69.3,3.8499999999999996
6,7,7,2022-11-02,26-183,SAC,@,MIA,L (-3),1,37:12,8.0,15.0,.533,1.0,1.0,1.000,5,7.0,.714,0.0,12.0,12.0,8.0,1.0,0.0,2.0,2.0,22.0,21.3,-5,14.0,7.0,0.5,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,19.0,51.0,2.833333333333333,19.3,58.8,3.2666666666666666
7,8,8,2022-11-05,26-186,SAC,@,ORL,W (+3),1,37:49,10.0,14.0,.714,0.0,1.0,.000,5,12.0,.417,2.0,9.0,11.0,6.0,1.0,1.0,2.0,4.0,25.0,22.8,+4,13.0,10.0,0.7692307692307693,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,16.0,50.0,2.7777777777777777,20.8,68.30000000000001,3.794444444444445
8,9,9,2022-11-07,26-188,SAC,@,GSW,L (-3),1,33:13,6.0,15.0,.400,0.0,2.0,.000,7,8.0,.875,4.0,10.0,14.0,6.0,0.0,0.0,3.0,4.0,19.0,15.9,-16,13.0,6.0,0.4615384615384615,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,13.0,46.0,2.555555555555556,13.099999999999998,63.69999999999998,3.538888888888888
9,10,10,2022-11-09,26-190,SAC,,CLE,W (+7),1,35:09,5.0,8.0,.625,0.0,1.0,.000,11,12.0,.917,1.0,4.0,5.0,6.0,3.0,0.0,1.0,3.0,21.0,23.9,+15,7.0,5.0,0.7142857142857143,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,14.0,63.0,3.5,19.5,83.09999999999998,4.616666666666665
