Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,Shared Games with A.J. Green,Shared Games with A.J. Lawson,Shared Games with Aaron Gordon,Shared Games with Aaron Holiday,Shared Games with Aaron Nesmith,Shared Games with Aaron Wiggins,Shared Games with Admiral Schofield,Shared Games with AJ Griffin,Shared Games with Al Horford,Shared Games with Alec Burks,Shared Games with Aleksej Pokusevski,Shared Games with Alex Len,Shared Games with Alize Johnson,Shared Games with Alperen Şengün,Shared Games with Amir Coffey,Shared Games with Andre Drummond,Shared Games with Andrew Nembhard,Shared Games with Andrew Wiggins,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Taj Gibson,co_inf with A.J. Green,co_inf with A.J. Lawson,co_inf with Aaron Gordon,co_inf with Aaron Holiday,co_inf with Aaron Nesmith,co_inf with Aaron Wiggins,co_inf with Admiral Schofield,co_inf with AJ Griffin,co_inf with Al Horford,co_inf with Alec Burks,co_inf with Aleksej Pokusevski,co_inf with Alex Caruso,co_inf with Alex Len,co_inf with Alize Johnson,co_inf with Alondes Williams,co_inf with Alperen Şengün,co_inf with Amir Coffey,co_inf with Andre Drummond,co_inf with Andrew Nembhard,co_inf with Andrew Wiggins,co_inf with Anfernee Simons,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,37-117,WAS,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,11.0,56.0,10.0,61.0,49.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.0,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,36,,152.0,4.222222222222222,0.0,162.79999999999995,4.522222222222221,7.3,0.1,-2.5,-4.3,1.7,0.0017430534194606,0.521,0.6,0.2,0.0,0.0,W (+7),W (+7)
2.0,,2022-10-21,37-119,WAS,CHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,11.0,56.0,10.0,61.0,49.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.0,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,36,,156.0,4.333333333333333,0.0,160.0,4.444444444444445,7.3,0.1,-2.5,-4.3,1.7,0.0017430534194606,0.521,0.6,0.2,0.0,0.0,W (+2),W (+2)
3.0,,2022-10-23,37-121,WAS,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,11.0,56.0,10.0,61.0,49.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.0,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,36,,131.0,3.638888888888889,0.0,149.00000000000003,4.138888888888889,7.3,0.1,-2.5,-4.3,1.7,0.0017430534194606,0.521,0.6,0.2,0.0,0.0,L (-10),L (-10)
4.0,1.0,2022-10-25,37-123,WAS,DET,0,2.9,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,+1,0.0,0.0,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,11.0,56.0,10.0,61.0,49.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.0,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,36,-1.0,197.0,5.472222222222222,-0.7,198.0,5.5,7.3,0.1,-2.5,-4.3,1.7,0.0017430534194606,0.521,0.6,0.2,0.0,0.0,W (+21),W (+21)
5.0,,2022-10-28,37-126,WAS,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,11.0,56.0,10.0,61.0,49.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.0,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,36,,128.0,3.555555555555556,0.0,157.4,4.372222222222223,7.3,0.1,-2.5,-4.3,1.7,0.0017430534194606,0.521,0.6,0.2,0.0,0.0,L (-10),L (-10)
6.0,2.0,2022-10-30,37-128,WAS,BOS,0,5.216666666666667,3.0,4.0,.750,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.7,+4,2.0,2.0,1.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,11.0,56.0,10.0,61.0,49.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.0,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,36,4.0,114.0,3.1666666666666665,5.7,110.20000000000002,3.061111111111112,7.3,0.1,-2.5,-4.3,1.7,0.0017430534194606,0.521,0.6,0.2,0.0,0.0,L (-18),L (-18)
7.0,3.0,2022-10-31,37-129,WAS,PHI,0,2.6833333333333336,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,-3,0.0,0.0,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,11.0,56.0,10.0,61.0,49.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.0,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,36,0.0,141.0,3.9166666666666665,0.7999999999999999,156.4,4.344444444444445,7.3,0.1,-2.5,-4.3,1.7,0.0017430534194606,0.521,0.6,0.2,0.0,0.0,L (-7),L (-7)
8.0,,2022-11-02,37-131,WAS,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,11.0,56.0,10.0,61.0,49.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.0,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,36,,179.0,4.972222222222222,0.0,199.8,5.550000000000001,7.3,0.1,-2.5,-4.3,1.7,0.0017430534194606,0.521,0.6,0.2,0.0,0.0,W (+10),W (+10)
9.0,4.0,2022-11-04,37-133,WAS,BRK,0,7.716666666666667,1.0,3.0,.333,0.0,0.0,,2,2.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,2.8,-5,3.0,1.0,0.3333333333333333,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,11.0,56.0,10.0,61.0,49.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.0,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,36,2.0,84.0,2.333333333333333,2.0000000000000013,86.6,2.4055555555555554,7.3,0.1,-2.5,-4.3,1.7,0.0017430534194606,0.521,0.6,0.2,0.0,0.0,L (-42),L (-42)
10.0,5.0,2022-11-06,37-135,WAS,MEM,0,3.55,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.4,-11,1.0,1.0,1.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,11.0,56.0,10.0,61.0,49.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.0,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,36,2.0,170.0,4.722222222222222,2.4,145.0,4.027777777777778,7.3,0.1,-2.5,-4.3,1.7,0.0017430534194606,0.521,0.6,0.2,0.0,0.0,L (-6),L (-6)
