Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,Shared Games with A.J. Green,Shared Games with A.J. Lawson,Shared Games with Aaron Gordon,Shared Games with Aaron Holiday,Shared Games with Aaron Nesmith,Shared Games with Aaron Wiggins,Shared Games with AJ Griffin,Shared Games with Al Horford,Shared Games with Alec Burks,Shared Games with Aleksej Pokusevski,Shared Games with Alex Len,Shared Games with Alize Johnson,Shared Games with Alperen Şengün,Shared Games with Andre Drummond,Shared Games with Andre Iguodala,Shared Games with Andrew Nembhard,Shared Games with Andrew Wiggins,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Devon Dotson,Marcus Smart,co_inf with A.J. Green,co_inf with A.J. Lawson,co_inf with Aaron Gordon,co_inf with Aaron Holiday,co_inf with Aaron Nesmith,co_inf with Aaron Wiggins,co_inf with AJ Griffin,co_inf with Al Horford,co_inf with Alec Burks,co_inf with Aleksej Pokusevski,co_inf with Alex Caruso,co_inf with Alex Len,co_inf with Alize Johnson,co_inf with Alondes Williams,co_inf with Alperen Şengün,co_inf with Amir Coffey,co_inf with Andre Drummond,co_inf with Andre Iguodala,co_inf with Andrew Nembhard,co_inf with Andrew Wiggins,co_inf with Anfernee Simons,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-11-20,23-110,WAS,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,6.0,61.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,34,,152.0,4.470588235294118,0.0,162.79999999999995,4.788235294117646,10.1,0.8,-2.9,-2.2,-0.7,0.0169658493870402,0.587,0.607,0.189,-0.1,0.5,W (+4),W (+4)
2.0,,2022-11-23,23-113,WAS,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,6.0,61.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,34,,156.0,4.588235294117647,0.0,157.39999999999998,4.629411764705882,10.1,0.8,-2.9,-2.2,-0.7,0.0169658493870402,0.587,0.607,0.189,-0.1,0.5,L (-8),L (-8)
3.0,,2022-11-25,23-115,WAS,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,6.0,61.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,34,,131.0,3.852941176470588,0.0,142.20000000000002,4.182352941176471,10.1,0.8,-2.9,-2.2,-0.7,0.0169658493870402,0.587,0.607,0.189,-0.1,0.5,L (-3),L (-3)
4.0,1.0,2022-11-27,23-117,WAS,BOS,0,17.883333333333333,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,3.0,1.0,4.0,2.0,1.0,0.0,0.0,3.0,0.0,2.2,+13,1.0,0.0,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,6.0,61.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,34,5.0,185.0,5.441176470588236,2.199999999999999,192.2,5.652941176470588,10.1,0.8,-2.9,-2.2,-0.7,0.0169658493870402,0.587,0.607,0.189,-0.1,0.5,L (-9),L (-9)
5.0,2.0,2022-11-28,23-118,WAS,MIN,0,3.1,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-11,1.0,0.0,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,6.0,61.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,34,-1.0,130.0,3.823529411764706,-0.7,158.8,4.670588235294118,10.1,0.8,-2.9,-2.2,-0.7,0.0169658493870402,0.587,0.607,0.189,-0.1,0.5,W (+15),W (+15)
6.0,,2022-11-30,23-120,WAS,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,6.0,61.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,34,,122.0,3.588235294117647,0.0,121.60000000000002,3.5764705882352947,10.1,0.8,-2.9,-2.2,-0.7,0.0169658493870402,0.587,0.607,0.189,-0.1,0.5,L (-6),L (-6)
7.0,,2022-12-02,23-122,WAS,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,6.0,61.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,34,,141.0,4.147058823529412,0.0,158.00000000000003,4.647058823529413,10.1,0.8,-2.9,-2.2,-0.7,0.0169658493870402,0.587,0.607,0.189,-0.1,0.5,L (-1),L (-1)
8.0,,2022-12-04,23-124,WAS,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,6.0,61.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,34,,179.0,5.264705882352941,0.0,199.8,5.876470588235295,10.1,0.8,-2.9,-2.2,-0.7,0.0169658493870402,0.587,0.607,0.189,-0.1,0.5,L (-11),L (-11)
9.0,,2022-12-07,23-127,WAS,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,6.0,61.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,34,,88.0,2.588235294117647,0.0,90.6,2.664705882352941,10.1,0.8,-2.9,-2.2,-0.7,0.0169658493870402,0.587,0.607,0.189,-0.1,0.5,L (-4),L (-4)
10.0,,2022-12-09,23-129,WAS,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,5,3,4,6,1,6,2,2,3,5,5,6,5,5,3,2,6,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,6.0,61.0,0.0847457627118644,0.06,0.054054054054054,0.0769230769230769,0.02,0.0789473684210526,0.3333333333333333,0.2857142857142857,0.1071428571428571,0.0806451612903225,0.0,0.0769230769230769,0.09375,0.0,0.0806451612903225,0.0,0.0793650793650793,0.0612244897959183,0.1818181818181818,0.1071428571428571,0.0,34,,174.0,5.117647058823529,0.0,149.79999999999998,4.405882352941176,10.1,0.8,-2.9,-2.2,-0.7,0.0169658493870402,0.587,0.607,0.189,-0.1,0.5,L (-10),L (-10)
