Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,23-030,TOR,,CLE,W (+3),0,17:56,4.0,11.0,.364,1.0,4.0,.250,1,2.0,.500,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,10.0,5.0,-4,7.0,3.0,0.4285714285714285,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,2.0,63.0,3.5,4.599999999999999,80.39999999999999,4.466666666666666
1,2,2,2022-10-21,23-032,TOR,@,BRK,L (-4),0,17:29,1.0,6.0,.167,0.0,1.0,.000,2,3.0,.667,0.0,6.0,6.0,0.0,0.0,0.0,3.0,2.0,4.0,-2.2,-8,5.0,1.0,0.2,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,-2.0,78.0,4.333333333333333,-2.999999999999999,97.79999999999998,5.433333333333333
2,3,3,2022-10-22,23-033,TOR,@,MIA,L (-3),0,33:32,5.0,9.0,.556,2.0,5.0,.400,6,7.0,.857,3.0,8.0,11.0,1.0,0.0,0.0,1.0,1.0,18.0,17.1,+16,4.0,3.0,0.75,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,13.0,66.0,3.6666666666666665,14.699999999999998,79.1,4.394444444444444
3,4,4,2022-10-24,23-035,TOR,@,MIA,W (+8),0,33:43,5.0,12.0,.417,0.0,1.0,.000,0,1.0,.000,4.0,18.0,22.0,2.0,0.0,1.0,0.0,2.0,10.0,12.7,+10,11.0,5.0,0.4545454545454545,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,22.0,63.0,3.5,12.699999999999998,70.7,3.927777777777778
4,5,5,2022-10-26,23-037,TOR,,PHI,W (+10),0,21:18,3.0,7.0,.429,1.0,3.0,.333,0,0.0,,3.0,3.0,6.0,4.0,0.0,0.0,2.0,3.0,7.0,5.9,+14,4.0,2.0,0.5,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,8.0,108.0,6.0,5.900000000000001,111.5,6.194444444444445
5,6,6,2022-10-28,23-039,TOR,,PHI,L (-22),0,14:57,0.0,6.0,.000,0.0,3.0,.000,0,0.0,,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,-3.5,-10,3.0,0.0,0.0,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,-3.0,75.0,4.166666666666667,-3.5,80.49999999999999,4.472222222222221
6,7,7,2022-10-31,23-042,TOR,,ATL,W (+30),0,17:45,2.0,3.0,.667,0.0,1.0,.000,6,6.0,1.000,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,10.0,8.9,+11,2.0,2.0,1.0,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,4.0,107.0,5.944444444444445,6.5,117.79999999999998,6.544444444444443
7,8,8,2022-11-02,23-044,TOR,@,SAS,W (+43),0,21:00,4.0,9.0,.444,0.0,3.0,.000,4,4.0,1.000,0.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,12.0,10.1,+6,6.0,4.0,0.6666666666666666,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,7.0,116.0,6.444444444444445,8.499999999999996,121.6,6.7555555555555555
8,9,9,2022-11-04,23-046,TOR,@,DAL,L (-1),0,26:36,4.0,9.0,.444,1.0,3.0,.333,6,6.0,1.000,3.0,5.0,8.0,2.0,0.0,1.0,2.0,1.0,15.0,13.6,+2,6.0,3.0,0.5,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,9.0,55.0,3.055555555555556,11.2,68.2,3.788888888888889
9,10,10,2022-11-06,23-048,TOR,,CHI,W (+9),0,14:11,2.0,6.0,.333,0.0,2.0,.000,1,2.0,.500,3.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,5.0,4.5,-20,4.0,2.0,0.5,51,33,20,47,48,14,2,22,2,4,32,44,5,51,8,54,31,76.0,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,9.0,77.0,54.0,0.6710526315789473,0.5689655172413793,0.6451612903225806,0.6811594202898551,0.7272727272727273,0.56,0.2222222222222222,0.5238095238095238,0.4,0.2,0.6037735849056604,0.6567164179104478,0.625,0.7183098591549296,0.8888888888888888,0.7012987012987013,0.5740740740740741,23,72.0,69.0,0.3194444444444444,0.0,18,4.0,88.0,4.888888888888889,4.1,104.90000000000002,5.827777777777779
