Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Shared Games with Bismack Biyombo,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Darius Bazley,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Kevin Durant,Shared Games with Landry Shamet,Shared Games with T.J. Warren,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Payne,Chris Paul,Damion Lee,Darius Bazley,Deandre Ayton,Devin Booker,Ish Wainright,Jaylen Brown,Jock Landale,Josh Okogie,Kevin Durant,Landry Shamet,Saben Lee,T.J. Warren,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Darius Bazley,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Ish Wainright,co_inf with Jaylen Brown,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Kevin Durant,co_inf with Landry Shamet,co_inf with Saben Lee,co_inf with T.J. Warren,co_inf with Torrey Craig,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,31-256,ORL,DET,1,31.816666666666663,5.0,12.0,.417,3.0,8.0,.375,0,1.0,.000,1.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,13.0,8.7,+5,4.0,2.0,0.5,24,37,26,17,27,41,15,20,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701,19,16,17,21,13,6,17,21,17,17,21,6,8,14,21,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,25.0,42.0,79.0,0.2622950819672131,0.3541666666666667,0.3559322033898305,0.1756756756756756,0.1395348837209302,0.2537313432835821,0.3962264150943396,0.2833333333333333,0.0,0.2463768115942029,0.2916666666666667,0.1276595744680851,0.2,0.0,0.3333333333333333,0.2658227848101265,31,6.0,74.0,2.3870967741935485,8.699999999999998,79.79999999999998,2.5741935483870964,0.0201738383946775,L (-4),L (-4)
2.0,2.0,2022-10-21,31-258,ORL,ATL,1,35.3,4.0,8.0,.500,1.0,4.0,.250,2,2.0,1.000,1.0,3.0,4.0,2.0,0.0,1.0,1.0,4.0,11.0,8.1,-8,4.0,3.0,0.75,24,37,26,17,27,41,15,20,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701,19,16,17,21,13,6,17,21,17,17,21,6,8,14,21,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,25.0,42.0,79.0,0.2622950819672131,0.3541666666666667,0.3559322033898305,0.1756756756756756,0.1395348837209302,0.2537313432835821,0.3962264150943396,0.2833333333333333,0.0,0.2463768115942029,0.2916666666666667,0.1276595744680851,0.2,0.0,0.3333333333333333,0.2658227848101265,31,7.0,88.0,2.838709677419355,7.300000000000001,90.1,2.9064516129032256,0.0201738383946775,L (-10),L (-10)
3.0,3.0,2022-10-22,31-259,ORL,BOS,1,35.15,11.0,16.0,.688,5.0,8.0,.625,2,2.0,1.000,1.0,3.0,4.0,1.0,1.0,0.0,0.0,3.0,29.0,24.3,-3,8.0,6.0,0.75,24,37,26,17,27,41,15,20,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701,19,16,17,21,13,6,17,21,17,17,21,6,8,14,21,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,25.0,42.0,79.0,0.2622950819672131,0.3541666666666667,0.3559322033898305,0.1756756756756756,0.1395348837209302,0.2537313432835821,0.3962264150943396,0.2833333333333333,0.0,0.2463768115942029,0.2916666666666667,0.1276595744680851,0.2,0.0,0.3333333333333333,0.2658227848101265,31,17.0,86.0,2.774193548387097,23.500000000000004,98.6,3.1806451612903226,0.0201738383946775,L (-6),L (-6)
4.0,4.0,2022-10-24,31-261,ORL,NYK,1,32.583333333333336,3.0,7.0,.429,2.0,5.0,.400,0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,8.0,4.8,-7,2.0,1.0,0.5,24,37,26,17,27,41,15,20,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701,19,16,17,21,13,6,17,21,17,17,21,6,8,14,21,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,25.0,42.0,79.0,0.2622950819672131,0.3541666666666667,0.3559322033898305,0.1756756756756756,0.1395348837209302,0.2537313432835821,0.3962264150943396,0.2833333333333333,0.0,0.2463768115942029,0.2916666666666667,0.1276595744680851,0.2,0.0,0.3333333333333333,0.2658227848101265,31,4.0,80.0,2.5806451612903225,4.8,103.2,3.329032258064516,0.0201738383946775,L (-13),L (-13)
5.0,5.0,2022-10-26,31-263,ORL,CLE,1,31.9,3.0,10.0,.300,1.0,3.0,.333,0,0.0,,1.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,7.0,4.4,-17,7.0,2.0,0.2857142857142857,24,37,26,17,27,41,15,20,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701,19,16,17,21,13,6,17,21,17,17,21,6,8,14,21,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,25.0,42.0,79.0,0.2622950819672131,0.3541666666666667,0.3559322033898305,0.1756756756756756,0.1395348837209302,0.2537313432835821,0.3962264150943396,0.2833333333333333,0.0,0.2463768115942029,0.2916666666666667,0.1276595744680851,0.2,0.0,0.3333333333333333,0.2658227848101265,31,3.0,97.0,3.129032258064516,4.4,103.7,3.3451612903225807,0.0201738383946775,L (-11),L (-11)
6.0,6.0,2022-10-28,31-265,ORL,CHO,1,23.966666666666665,2.0,7.0,.286,1.0,5.0,.200,0,1.0,.000,0.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,5.0,2.3,+18,2.0,1.0,0.5,24,37,26,17,27,41,15,20,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701,19,16,17,21,13,6,17,21,17,17,21,6,8,14,21,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,25.0,42.0,79.0,0.2622950819672131,0.3541666666666667,0.3559322033898305,0.1756756756756756,0.1395348837209302,0.2537313432835821,0.3962264150943396,0.2833333333333333,0.0,0.2463768115942029,0.2916666666666667,0.1276595744680851,0.2,0.0,0.3333333333333333,0.2658227848101265,31,2.0,86.0,2.774193548387097,2.2999999999999994,103.9,3.351612903225807,0.0201738383946775,W (+20),W (+20)
7.0,7.0,2022-10-30,31-267,ORL,DAL,1,25.466666666666665,3.0,7.0,.429,2.0,4.0,.500,0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,8.0,4.8,+1,3.0,1.0,0.3333333333333333,24,37,26,17,27,41,15,20,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701,19,16,17,21,13,6,17,21,17,17,21,6,8,14,21,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,25.0,42.0,79.0,0.2622950819672131,0.3541666666666667,0.3559322033898305,0.1756756756756756,0.1395348837209302,0.2537313432835821,0.3962264150943396,0.2833333333333333,0.0,0.2463768115942029,0.2916666666666667,0.1276595744680851,0.2,0.0,0.3333333333333333,0.2658227848101265,31,5.0,73.0,2.3548387096774195,4.800000000000001,77.50000000000001,2.5000000000000004,0.0201738383946775,L (-9),L (-9)
8.0,8.0,2022-11-01,31-269,ORL,OKC,1,3.716666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,+1,0.0,0.0,,24,37,26,17,27,41,15,20,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701,19,16,17,21,13,6,17,21,17,17,21,6,8,14,21,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,25.0,42.0,79.0,0.2622950819672131,0.3541666666666667,0.3559322033898305,0.1756756756756756,0.1395348837209302,0.2537313432835821,0.3962264150943396,0.2833333333333333,0.0,0.2463768115942029,0.2916666666666667,0.1276595744680851,0.2,0.0,0.3333333333333333,0.2658227848101265,31,1.0,76.0,2.4516129032258065,0.7,90.6,2.92258064516129,0.0201738383946775,L (-8),L (-8)
9.0,,2022-11-03,31-271,ORL,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,37,26,17,27,41,15,20,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701,19,16,17,21,13,6,17,21,17,17,21,6,8,14,21,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,25.0,42.0,79.0,0.2622950819672131,0.3541666666666667,0.3559322033898305,0.1756756756756756,0.1395348837209302,0.2537313432835821,0.3962264150943396,0.2833333333333333,0.0,0.2463768115942029,0.2916666666666667,0.1276595744680851,0.2,0.0,0.3333333333333333,0.2658227848101265,31,,101.0,3.2580645161290325,0.0,94.4,3.045161290322581,0.0201738383946775,W (+1),W (+1)
10.0,9.0,2022-11-05,31-273,ORL,SAC,0,15.6,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,-1.8,-13,2.0,0.0,0.0,24,37,26,17,27,41,15,20,24,24,2,34,22,35,23,25,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,57.0,0.6486486486486487,0.5285714285714286,0.5098039215686274,0.6296296296296297,0.45,0.5125,0.3125,0.3773584905660377,0.0,0.0,0.7058823529411765,0.4,0.5,0.6938775510204082,0.3859649122807017,0.4861111111111111,0.4893617021276595,0.4385964912280701,19,16,17,21,13,6,17,21,17,17,21,6,8,14,21,61.0,48.0,59.0,74.0,43.0,67.0,53.0,60.0,67.0,69.0,72.0,47.0,40.0,25.0,42.0,79.0,0.2622950819672131,0.3541666666666667,0.3559322033898305,0.1756756756756756,0.1395348837209302,0.2537313432835821,0.3962264150943396,0.2833333333333333,0.0,0.2463768115942029,0.2916666666666667,0.1276595744680851,0.2,0.0,0.3333333333333333,0.2658227848101265,31,-1.0,61.0,1.967741935483871,-1.7999999999999998,70.5,2.274193548387097,0.0201738383946775,L (-3),L (-3)
