Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Torrey Craig,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Darius Bazley,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Landry Shamet,Shared Games with Terrence Ross,Bismack Biyombo,Cameron Payne,Chris Paul,Damion Lee,Darius Bazley,Deandre Ayton,Devin Booker,Ish Wainright,Jaylen Brown,Jock Landale,Josh Okogie,Landry Shamet,Saben Lee,Terrence Ross,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Ish Wainright,co_inf with Jaylen Brown,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Torrey Craig,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Darius Bazley,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Landry Shamet,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022/11/7,34-039,BRK,DAL,1,38.66666666666666,10.0,20.0,0.5,1.0,3.0,0.333,5,7.0,0.714,1.0,3.0,4.0,4.0,2.0,1.0,3.0,5.0,26.0,17.3,1,17.0,9.0,0.529411765,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,7.0,80.0,2.2222222222222223,15.299999999999994,81.69999999999999,2.269444444444444,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-2),L (-2)
12.0,12.0,2022/11/9,34-041,BRK,NYK,1,34.53333333333333,10.0,19.0,0.526,1.0,5.0,0.2,8,10.0,0.8,1.0,11.0,12.0,12.0,1.0,2.0,1.0,1.0,29.0,32.3,32,14.0,9.0,0.642857143,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,26.0,71.0,1.9722222222222223,29.1,60.09999999999999,1.669444444444444,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+27),W (+27)
13.0,13.0,2022/11/12,34-044,BRK,LAC,1,34.53333333333333,10.0,16.0,0.625,3.0,5.0,0.6,4,4.0,1,0.0,6.0,6.0,3.0,2.0,2.0,3.0,4.0,27.0,22.5,16,11.0,7.0,0.636363636,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,17.0,66.0,1.8333333333333333,20.899999999999995,72.3,2.0083333333333333,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+15),W (+15)
14.0,14.0,2022/11/13,34-045,BRK,LAL,1,37.833333333333336,8.0,16.0,0.5,2.0,3.0,0.667,13,15.0,0.867,0.0,9.0,9.0,7.0,0.0,2.0,3.0,2.0,31.0,27.4,-15,13.0,6.0,0.461538462,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,15.0,81.0,2.25,22.2,77.4,2.1500000000000004,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-13),L (-13)
15.0,15.0,2022/11/15,34-047,BRK,SAC,1,30.65,8.0,15.0,0.533,0.0,1.0,0,11,11.0,1,0.0,4.0,4.0,6.0,0.0,1.0,2.0,2.0,27.0,23,-31,14.0,8.0,0.571428571,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,10.0,72.0,2.0,18.6,85.5,2.375,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-32),L (-32)
16.0,16.0,2022/11/17,34-049,BRK,POR,1,38.8,13.0,22.0,0.591,1.0,4.0,0.25,8,10.0,0.8,0.0,8.0,8.0,3.0,0.0,1.0,4.0,4.0,35.0,23.6,15,18.0,12.0,0.666666667,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,11.0,101.0,2.805555555555556,20.40000000000001,83.89999999999999,2.330555555555556,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+2),W (+2)
17.0,17.0,2022/11/20,34-052,BRK,MEM,1,35.68333333333333,9.0,16.0,0.563,0.0,3.0,0,8,8.0,1,0.0,7.0,7.0,7.0,1.0,1.0,4.0,3.0,26.0,21.9,5,13.0,9.0,0.692307692,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,14.0,66.0,1.8333333333333333,18.700000000000006,61.49999999999999,1.708333333333333,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+12),W (+12)
18.0,18.0,2022/11/22,34-054,BRK,PHI,1,36.766666666666666,9.0,14.0,0.643,0.0,1.0,0,2,2.0,1,0.0,5.0,5.0,5.0,0.0,2.0,3.0,0.0,20.0,17.2,-10,13.0,9.0,0.692307692,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,13.0,87.0,2.4166666666666665,16.400000000000002,78.79999999999998,2.188888888888888,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-9),L (-9)
19.0,19.0,2022/11/23,34-055,BRK,TOR,1,32.8,5.0,10.0,0.5,2.0,5.0,0.4,0,0.0,,0.0,7.0,7.0,5.0,0.0,3.0,4.0,2.0,12.0,9.9,30,5.0,3.0,0.6,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,13.0,96.0,2.6666666666666665,9.900000000000002,90.4,2.511111111111111,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+14),W (+14)
20.0,20.0,2022/11/25,34-057,BRK,IND,1,38.833333333333336,15.0,31.0,0.484,3.0,12.0,0.25,3,4.0,0.75,2.0,7.0,9.0,8.0,0.0,2.0,5.0,4.0,36.0,23.8,0,19.0,12.0,0.631578947,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,15.0,76.0,2.111111111111111,22.6,77.39999999999996,2.149999999999999,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-11),L (-11)
21.0,21.0,2022/11/27,34-059,BRK,POR,1,36.68333333333333,12.0,20.0,0.6,3.0,6.0,0.5,4,4.0,1,0.0,5.0,5.0,5.0,0.0,0.0,1.0,4.0,31.0,24.2,21,14.0,9.0,0.642857143,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,16.0,83.0,2.305555555555556,22.599999999999994,92.9,2.580555555555556,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,,
