Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Dario Šarić,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Dario Šarić,Deandre Ayton,Devin Booker,Duane Washington Jr.,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Dario Šarić,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Kevin Durant,Shared Games with T.J. Warren,Shared Games with Darius Bazley,Shared Games with Saben Lee,Shared Games with Terrence Ross,Darius Bazley,Jaylen Brown,Kevin Durant,Saben Lee,T.J. Warren,Terrence Ross,co_inf with Kevin Durant,co_inf with T.J. Warren,co_inf with Darius Bazley,co_inf with Jaylen Brown,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,28-037,PHO,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,80.0,4.2105263157894735,0.0,88.49999999999999,4.657894736842104,9.2,1.7,-1.2,-2.7,1.5,0.0269342204099152,0.522,0.762,0.137,0.2,0.5,W (+2),W (+2)
2.0,,2022-10-21,28-039,PHO,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,95.0,5.0,0.0,97.4,5.126315789473685,9.2,1.7,-1.2,-2.7,1.5,0.0269342204099152,0.522,0.762,0.137,0.2,0.5,L (-2),L (-2)
3.0,,2022-10-23,28-041,PHO,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,103.0,5.421052631578948,0.0,124.8,6.568421052631579,9.2,1.7,-1.2,-2.7,1.5,0.0269342204099152,0.522,0.762,0.137,0.2,0.5,W (+17),W (+17)
4.0,,2022-10-25,28-043,PHO,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,84.0,4.421052631578948,0.0,108.0,5.684210526315789,9.2,1.7,-1.2,-2.7,1.5,0.0269342204099152,0.522,0.762,0.137,0.2,0.5,W (+29),W (+29)
5.0,,2022-10-28,28-046,PHO,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,100.0,5.2631578947368425,0.0,108.8,5.726315789473684,9.2,1.7,-1.2,-2.7,1.5,0.0269342204099152,0.522,0.762,0.137,0.2,0.5,W (+13),W (+13)
6.0,,2022-10-30,28-048,PHO,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,88.0,4.631578947368421,0.0,106.2,5.589473684210526,9.2,1.7,-1.2,-2.7,1.5,0.0269342204099152,0.522,0.762,0.137,0.2,0.5,W (+15),W (+15)
7.0,,2022-11-01,28-050,PHO,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,78.0,4.105263157894737,0.0,82.30000000000001,4.331578947368421,9.2,1.7,-1.2,-2.7,1.5,0.0269342204099152,0.522,0.762,0.137,0.2,0.5,W (+9),W (+9)
8.0,,2022-11-04,28-053,PHO,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,77.0,4.052631578947368,0.0,91.3,4.8052631578947365,9.2,1.7,-1.2,-2.7,1.5,0.0269342204099152,0.522,0.762,0.137,0.2,0.5,L (-2),L (-2)
9.0,,2022-11-05,28-054,PHO,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,101.0,5.315789473684211,0.0,94.4,4.968421052631579,9.2,1.7,-1.2,-2.7,1.5,0.0269342204099152,0.522,0.762,0.137,0.2,0.5,W (+20),W (+20)
10.0,,2022-11-07,28-056,PHO,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,8,29,42,56,26,49,33,23,51,51,27,38,57,61.0,42.0,48.0,59.0,74.0,57.0,67.0,53.0,31.0,18.0,69.0,72.0,40.0,83.0,79.0,0.7213114754098361,0.1904761904761904,0.6041666666666666,0.711864406779661,0.7567567567567568,0.4561403508771929,0.7313432835820896,0.6226415094339622,0.7419354838709677,0.0,0.7391304347826086,0.7083333333333334,0.675,0.4578313253012048,0.7215189873417721,6,12,7,20,17,43.0,67.0,47.0,25.0,42.0,63.0,0.1276595744680851,0.2857142857142857,0.1627906976744186,0.0,0.8,0.2698412698412698,19,,60.0,3.1578947368421053,0.0,68.7,3.615789473684211,9.2,1.7,-1.2,-2.7,1.5,0.0269342204099152,0.522,0.762,0.137,0.2,0.5,L (-12),L (-12)
