Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,10.0,2022-11-07,27-257,GSW,SAC,1,40.23333333333333,10.0,17.0,.588,4.0,8.0,.500,1,2.0,.500,1.0,9.0,10.0,2.0,2.0,1.0,4.0,2.0,25.0,19.4,+16,9.0,6.0,0.6666666666666666,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,17.0,63.0,4.2,19.0,66.2,4.413333333333333,0.0649031067363888,W (+3),W (+3)
12.0,11.0,2022-11-11,27-261,GSW,CLE,1,36.63333333333333,8.0,13.0,.615,1.0,4.0,.250,3,3.0,1.000,1.0,5.0,6.0,0.0,2.0,1.0,3.0,4.0,20.0,14.4,-3,9.0,7.0,0.7777777777777778,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,10.0,69.0,4.6,13.2,67.1,4.473333333333333,0.0649031067363888,W (+5),W (+5)
13.0,12.0,2022-11-13,27-263,GSW,SAC,1,34.31666666666667,10.0,18.0,.556,3.0,9.0,.333,3,4.0,.750,2.0,2.0,4.0,2.0,2.0,0.0,0.0,3.0,26.0,21.2,-15,9.0,7.0,0.7777777777777778,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,12.0,60.0,4.0,20.0,61.2,4.08,0.0649031067363888,L (-7),L (-7)
14.0,13.0,2022-11-14,27-264,GSW,SAS,1,23.33333333333333,4.0,10.0,.400,2.0,5.0,.400,0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,2.0,1.0,10.0,5.5,+13,5.0,2.0,0.4,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,4.0,100.0,6.666666666666667,5.499999999999998,108.4,7.2266666666666675,0.0649031067363888,W (+37),W (+37)
15.0,14.0,2022-11-16,27-266,GSW,PHO,1,31.85,5.0,11.0,.455,4.0,6.0,.667,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,3.0,4.0,14.0,5.0,-13,5.0,1.0,0.2,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,3.0,68.0,4.533333333333333,5.000000000000002,79.30000000000001,5.286666666666667,0.0649031067363888,L (-11),L (-11)
16.0,15.0,2022-11-18,27-268,GSW,NYK,1,30.3,8.0,15.0,.533,3.0,8.0,.375,1,4.0,.250,3.0,4.0,7.0,2.0,0.0,0.0,1.0,4.0,20.0,13.6,+20,7.0,5.0,0.7142857142857143,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,9.0,65.0,4.333333333333333,13.199999999999996,65.5,4.366666666666666,0.0649031067363888,W (+10),W (+10)
17.0,16.0,2022-11-20,27-270,GSW,HOU,1,36.53333333333333,8.0,16.0,.500,6.0,11.0,.545,0,0.0,,0.0,5.0,5.0,0.0,2.0,0.0,2.0,3.0,22.0,14.3,+8,5.0,2.0,0.4,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,11.0,96.0,6.4,14.3,99.29999999999998,6.619999999999999,0.0649031067363888,W (+7),W (+7)
18.0,,2022-11-21,27-271,GSW,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,,39.0,2.6,0.0,51.79999999999999,3.4533333333333327,0.0649031067363888,L (-45),L (-45)
19.0,17.0,2022-11-23,27-273,GSW,LAC,1,32.06666666666667,12.0,18.0,.667,6.0,10.0,.600,1,1.0,1.000,1.0,3.0,4.0,2.0,3.0,1.0,0.0,3.0,31.0,28.7,+28,8.0,6.0,0.75,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,22.0,81.0,5.4,28.3,80.69999999999999,5.379999999999999,0.0649031067363888,W (+17),W (+17)
20.0,18.0,2022-11-25,27-275,GSW,UTA,1,34.21666666666667,8.0,20.0,.400,3.0,6.0,.500,1,1.0,1.000,5.0,4.0,9.0,5.0,3.0,1.0,2.0,4.0,20.0,17.5,+11,14.0,5.0,0.3571428571428571,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,15.0,86.0,5.733333333333333,17.1,89.7,5.98,0.0649031067363888,W (+11),W (+11)
21.0,19.0,2022-11-27,27-277,GSW,MIN,1,31.383333333333333,7.0,12.0,.583,3.0,6.0,.500,0,0.0,,1.0,2.0,3.0,2.0,2.0,0.0,2.0,4.0,17.0,12.5,+14,6.0,4.0,0.6666666666666666,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,10.0,100.0,6.666666666666667,12.500000000000002,102.89999999999998,6.859999999999999,0.0649031067363888,,
22.0,20.0,2022-11-29,27-279,GSW,DAL,1,27.28333333333333,4.0,11.0,.364,1.0,6.0,.167,1,2.0,.500,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,10.0,4.4,-23,5.0,3.0,0.6,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,0.0,70.0,4.666666666666667,4.000000000000002,73.80000000000001,4.920000000000001,0.0649031067363888,W (+23),W (+23)
23.0,21.0,2022-12-02,27-282,GSW,CHI,1,30.066666666666663,5.0,10.0,.500,2.0,6.0,.333,0,2.0,.000,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,12.0,5.8,+11,4.0,3.0,0.75,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,2.0,93.0,6.2,5.799999999999998,91.2,6.08,0.0649031067363888,L (-3),L (-3)
24.0,22.0,2022-12-03,27-283,GSW,HOU,1,33.766666666666666,14.0,19.0,.737,8.0,10.0,.800,0,2.0,.000,2.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,36.0,32.5,+34,9.0,6.0,0.6666666666666666,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,24.0,80.0,5.333333333333333,32.50000000000001,73.60000000000001,4.906666666666667,0.0649031067363888,W (+8),W (+8)
25.0,,2022-12-05,27-285,GSW,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,,71.0,4.733333333333333,0.0,77.7,5.180000000000001,0.0649031067363888,W (+19),W (+19)
26.0,,2022-12-07,27-287,GSW,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,,69.0,4.6,0.0,85.69999999999999,5.713333333333333,0.0649031067363888,L (-8),L (-8)
27.0,,2022-12-10,27-290,GSW,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,,88.0,5.866666666666666,0.0,93.6,6.239999999999999,0.0649031067363888,L (-1),L (-1)
28.0,,2022-12-13,27-293,GSW,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,,59.0,3.933333333333333,0.0,76.99999999999999,5.133333333333332,0.0649031067363888,W (+16),W (+16)
29.0,,2022-12-14,27-294,GSW,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,,67.0,4.466666666666667,0.0,83.5,5.566666666666666,0.0649031067363888,L (-17),L (-17)
30.0,,2022-12-16,27-296,GSW,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,22,30,36,12,25,27,37,37,31,25,4,6,32,19,8.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.375,0.3548387096774194,0.4166666666666667,0.4931506849315068,0.2666666666666666,0.4385964912280701,0.4029850746268656,0.4512195121951219,0.4512195121951219,0.4492753623188406,0.0,0.3968253968253968,0.1290322580645161,0.5,0.5714285714285714,0.4222222222222222,22.0,70.0,0.0,0.0,15,,78.0,5.2,0.0,81.2,5.413333333333333,0.0649031067363888,L (-6),L (-6)
