Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-18,24-271,GSW,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,,71.0,4.4375,0.0,83.39999999999999,5.2125,10.9,2.4,-1.1,-1.6,0.4,0.0425510099456577,0.61,0.634,0.191,0.3,1.2,W (+14),W (+14)
2.0,,2022-10-21,24-274,GSW,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,,63.0,3.9375,0.0,81.5,5.09375,10.9,2.4,-1.1,-1.6,0.4,0.0425510099456577,0.61,0.634,0.191,0.3,1.2,L (-5),L (-5)
3.0,,2022-10-23,24-276,GSW,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,,59.0,3.6875,0.0,82.69999999999999,5.168749999999999,10.9,2.4,-1.1,-1.6,0.4,0.0425510099456577,0.61,0.634,0.191,0.3,1.2,W (+5),W (+5)
4.0,,2022-10-25,24-278,GSW,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,,63.0,3.9375,0.0,63.90000000000002,3.993750000000001,10.9,2.4,-1.1,-1.6,0.4,0.0425510099456577,0.61,0.634,0.191,0.3,1.2,L (-29),L (-29)
5.0,,2022-10-27,24-280,GSW,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,,87.0,5.4375,0.0,88.0,5.5,10.9,2.4,-1.1,-1.6,0.4,0.0425510099456577,0.61,0.634,0.191,0.3,1.2,W (+13),W (+13)
6.0,,2022-10-29,24-282,GSW,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,,84.0,5.25,0.0,86.30000000000001,5.393750000000001,10.9,2.4,-1.1,-1.6,0.4,0.0425510099456577,0.61,0.634,0.191,0.3,1.2,L (-7),L (-7)
7.0,1.0,2022-10-30,24-283,GSW,DET,0.0,8.566666666666666,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.2,-8.0,1.0,1.0,1.0,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,4.0,56.0,3.5,2.2,69.39999999999999,4.3375,10.9,2.4,-1.1,-1.6,0.4,0.0425510099456577,0.61,0.634,0.191,0.3,1.2,L (-14),L (-14)
8.0,,2022-11-01,24-285,GSW,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,,78.0,4.875,0.0,79.0,4.9375,10.9,2.4,-1.1,-1.6,0.4,0.0425510099456577,0.61,0.634,0.191,0.3,1.2,L (-7),L (-7)
9.0,,2022-11-03,24-287,GSW,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,,83.0,5.1875,0.0,89.10000000000001,5.5687500000000005,10.9,2.4,-1.1,-1.6,0.4,0.0425510099456577,0.61,0.634,0.191,0.3,1.2,L (-1),L (-1)
10.0,2.0,2022-11-04,24-288,GSW,NOP,1.0,36.66666666666666,6.0,9.0,0.667,4.0,6.0,0.667,0.0,0.0,,0.0,3.0,3.0,2.0,3.0,0.0,3.0,4.0,16.0,12.8,5.0,3.0,2.0,0.6666666666666666,4,22,57,54,11,38,53,62,62,50,48,27,10,40,31,8.0,37.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.5,0.5945945945945946,0.7916666666666666,0.7397260273972602,0.2444444444444444,0.6666666666666666,0.7910447761194029,0.7560975609756098,0.7560975609756098,0.7246376811594203,0.0,0.7619047619047619,0.8709677419354839,0.8333333333333334,0.7142857142857143,0.6888888888888889,7,22.0,70.0,0.3181818181818182,0.0,16,12.0,40.0,2.5,12.799999999999995,44.7,2.79375,10.9,2.4,-1.1,-1.6,0.4,0.0425510099456577,0.61,0.634,0.191,0.3,1.2,L (-9),L (-9)
