Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,32-228,GSW,LAL,1,24.683333333333334,2.0,5.0,.400,0.0,0.0,,0,0.0,,0.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,4.0,4.9,+12,5.0,2.0,0.4,8,36,54,64,17,48,58,73,73,64,54,25,9,54,37,8.0,37.0,62.0,72.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.972972972972973,0.8709677419354839,0.8888888888888888,0.3777777777777777,0.8421052631578947,0.8656716417910447,0.8902439024390244,0.8902439024390244,0.927536231884058,0.0,0.8571428571428571,0.8064516129032258,0.75,0.9642857142857144,0.8222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,8.0,63.0,3.9375,4.9,78.5,4.90625,12.2,4.7,0.8,-1.8,2.6,0.063262585871014,0.592,0.276,0.228,1.6,1.6,W (+14),W (+14)
2.0,2.0,2022-10-21,32-231,GSW,DEN,1,26.633333333333333,4.0,6.0,.667,1.0,3.0,.333,4,4.0,1.000,0.0,3.0,3.0,9.0,2.0,2.0,1.0,6.0,13.0,17.6,+11,3.0,3.0,1.0,8,36,54,64,17,48,58,73,73,64,54,25,9,54,37,8.0,37.0,62.0,72.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.972972972972973,0.8709677419354839,0.8888888888888888,0.3777777777777777,0.8421052631578947,0.8656716417910447,0.8902439024390244,0.8902439024390244,0.927536231884058,0.0,0.8571428571428571,0.8064516129032258,0.75,0.9642857142857144,0.8222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,18.0,45.0,2.8125,16.0,65.5,4.09375,12.2,4.7,0.8,-1.8,2.6,0.063262585871014,0.592,0.276,0.228,1.6,1.6,L (-5),L (-5)
3.0,3.0,2022-10-23,32-233,GSW,SAC,1,28.35,3.0,4.0,.750,0.0,0.0,,1,2.0,.500,1.0,3.0,4.0,4.0,0.0,0.0,2.0,2.0,7.0,6.6,+17,4.0,3.0,0.75,8,36,54,64,17,48,58,73,73,64,54,25,9,54,37,8.0,37.0,62.0,72.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.972972972972973,0.8709677419354839,0.8888888888888888,0.3777777777777777,0.8421052631578947,0.8656716417910447,0.8902439024390244,0.8902439024390244,0.927536231884058,0.0,0.8571428571428571,0.8064516129032258,0.75,0.9642857142857144,0.8222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,7.0,52.0,3.25,6.199999999999996,76.5,4.78125,12.2,4.7,0.8,-1.8,2.6,0.063262585871014,0.592,0.276,0.228,1.6,1.6,W (+5),W (+5)
4.0,4.0,2022-10-25,32-235,GSW,PHO,1,29.183333333333334,7.0,10.0,.700,0.0,1.0,.000,0,0.0,,2.0,6.0,8.0,5.0,3.0,0.0,5.0,4.0,14.0,12.9,-17,9.0,7.0,0.7777777777777778,8,36,54,64,17,48,58,73,73,64,54,25,9,54,37,8.0,37.0,62.0,72.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.972972972972973,0.8709677419354839,0.8888888888888888,0.3777777777777777,0.8421052631578947,0.8656716417910447,0.8902439024390244,0.8902439024390244,0.927536231884058,0.0,0.8571428571428571,0.8064516129032258,0.75,0.9642857142857144,0.8222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,48.0,3.0,12.9,51.00000000000001,3.1875000000000004,12.2,4.7,0.8,-1.8,2.6,0.063262585871014,0.592,0.276,0.228,1.6,1.6,L (-29),L (-29)
5.0,5.0,2022-10-27,32-237,GSW,MIA,1,30.08333333333333,5.0,10.0,.500,0.0,1.0,.000,0,1.0,.000,2.0,5.0,7.0,4.0,0.0,0.0,5.0,1.0,10.0,4.9,+9,9.0,5.0,0.5555555555555556,8,36,54,64,17,48,58,73,73,64,54,25,9,54,37,8.0,37.0,62.0,72.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.972972972972973,0.8709677419354839,0.8888888888888888,0.3777777777777777,0.8421052631578947,0.8656716417910447,0.8902439024390244,0.8902439024390244,0.927536231884058,0.0,0.8571428571428571,0.8064516129032258,0.75,0.9642857142857144,0.8222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,5.0,82.0,5.125,4.899999999999999,83.1,5.19375,12.2,4.7,0.8,-1.8,2.6,0.063262585871014,0.592,0.276,0.228,1.6,1.6,W (+13),W (+13)
6.0,6.0,2022-10-29,32-239,GSW,CHO,1,34.93333333333333,6.0,9.0,.667,0.0,1.0,.000,0,2.0,.000,2.0,6.0,8.0,6.0,1.0,3.0,3.0,6.0,12.0,12.4,-13,8.0,6.0,0.75,8,36,54,64,17,48,58,73,73,64,54,25,9,54,37,8.0,37.0,62.0,72.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.972972972972973,0.8709677419354839,0.8888888888888888,0.3777777777777777,0.8421052631578947,0.8656716417910447,0.8902439024390244,0.8902439024390244,0.927536231884058,0.0,0.8571428571428571,0.8064516129032258,0.75,0.9642857142857144,0.8222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,16.0,68.0,4.25,12.399999999999997,73.9,4.61875,12.2,4.7,0.8,-1.8,2.6,0.063262585871014,0.592,0.276,0.228,1.6,1.6,L (-7),L (-7)
7.0,7.0,2022-10-30,32-240,GSW,DET,1,26.0,2.0,5.0,.400,1.0,2.0,.500,2,2.0,1.000,0.0,7.0,7.0,7.0,0.0,1.0,4.0,4.0,7.0,6.4,-11,3.0,1.0,0.3333333333333333,8,36,54,64,17,48,58,73,73,64,54,25,9,54,37,8.0,37.0,62.0,72.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.972972972972973,0.8709677419354839,0.8888888888888888,0.3777777777777777,0.8421052631578947,0.8656716417910447,0.8902439024390244,0.8902439024390244,0.927536231884058,0.0,0.8571428571428571,0.8064516129032258,0.75,0.9642857142857144,0.8222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,11.0,49.0,3.0625,5.6,66.0,4.125,12.2,4.7,0.8,-1.8,2.6,0.063262585871014,0.592,0.276,0.228,1.6,1.6,L (-14),L (-14)
8.0,8.0,2022-11-01,32-242,GSW,MIA,1,32.166666666666664,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,6.0,6.0,3.0,3.0,0.0,1.0,4.0,5.0,8.0,+7,1.0,1.0,1.0,8,36,54,64,17,48,58,73,73,64,54,25,9,54,37,8.0,37.0,62.0,72.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.972972972972973,0.8709677419354839,0.8888888888888888,0.3777777777777777,0.8421052631578947,0.8656716417910447,0.8902439024390244,0.8902439024390244,0.927536231884058,0.0,0.8571428571428571,0.8064516129032258,0.75,0.9642857142857144,0.8222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,13.0,65.0,4.0625,8.0,71.0,4.4375,12.2,4.7,0.8,-1.8,2.6,0.063262585871014,0.592,0.276,0.228,1.6,1.6,L (-7),L (-7)
9.0,9.0,2022-11-03,32-244,GSW,ORL,1,29.85,4.0,5.0,.800,0.0,0.0,,0,1.0,.000,0.0,5.0,5.0,7.0,1.0,0.0,0.0,6.0,8.0,10.7,+5,5.0,4.0,0.8,8,36,54,64,17,48,58,73,73,64,54,25,9,54,37,8.0,37.0,62.0,72.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.972972972972973,0.8709677419354839,0.8888888888888888,0.3777777777777777,0.8421052631578947,0.8656716417910447,0.8902439024390244,0.8902439024390244,0.927536231884058,0.0,0.8571428571428571,0.8064516129032258,0.75,0.9642857142857144,0.8222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,15.0,68.0,4.25,10.7,78.4,4.9,12.2,4.7,0.8,-1.8,2.6,0.063262585871014,0.592,0.276,0.228,1.6,1.6,L (-1),L (-1)
10.0,,2022-11-04,32-245,GSW,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,36,54,64,17,48,58,73,73,64,54,25,9,54,37,8.0,37.0,62.0,72.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.972972972972973,0.8709677419354839,0.8888888888888888,0.3777777777777777,0.8421052631578947,0.8656716417910447,0.8902439024390244,0.8902439024390244,0.927536231884058,0.0,0.8571428571428571,0.8064516129032258,0.75,0.9642857142857144,0.8222222222222222,7,22.0,70.0,0.3181818181818182,0.0,16,,52.0,3.25,0.0,57.49999999999999,3.59375,12.2,4.7,0.8,-1.8,2.6,0.063262585871014,0.592,0.276,0.228,1.6,1.6,L (-9),L (-9)
