Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-18,25-102,GSW,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,19,31,35,37,17,30,34,45,45,33,40,21,8,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,0.5,0.5135135135135135,0.5,0.4861111111111111,0.5068493150684932,0.3777777777777777,0.5263157894736842,0.5074626865671642,0.5487804878048781,0.5487804878048781,0.4782608695652174,0.0,0.6349206349206349,0.6774193548387096,0.6666666666666666,0.3392857142857143,1,22.0,70.0,0.0454545454545454,0.0,16,,71.0,4.4375,0.0,83.39999999999999,5.2125,12.8,2.1,-0.8,-1.1,0.3,0.0316825592125499,0.594,0.372,0.169,0.3,1.4,W (+14),W (+14)
2.0,,2022-10-21,25-105,GSW,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,19,31,35,37,17,30,34,45,45,33,40,21,8,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,0.5,0.5135135135135135,0.5,0.4861111111111111,0.5068493150684932,0.3777777777777777,0.5263157894736842,0.5074626865671642,0.5487804878048781,0.5487804878048781,0.4782608695652174,0.0,0.6349206349206349,0.6774193548387096,0.6666666666666666,0.3392857142857143,1,22.0,70.0,0.0454545454545454,0.0,16,,63.0,3.9375,0.0,81.5,5.09375,12.8,2.1,-0.8,-1.1,0.3,0.0316825592125499,0.594,0.372,0.169,0.3,1.4,L (-5),L (-5)
3.0,,2022-10-23,25-107,GSW,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,19,31,35,37,17,30,34,45,45,33,40,21,8,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,0.5,0.5135135135135135,0.5,0.4861111111111111,0.5068493150684932,0.3777777777777777,0.5263157894736842,0.5074626865671642,0.5487804878048781,0.5487804878048781,0.4782608695652174,0.0,0.6349206349206349,0.6774193548387096,0.6666666666666666,0.3392857142857143,1,22.0,70.0,0.0454545454545454,0.0,16,,59.0,3.6875,0.0,82.69999999999999,5.168749999999999,12.8,2.1,-0.8,-1.1,0.3,0.0316825592125499,0.594,0.372,0.169,0.3,1.4,W (+5),W (+5)
4.0,1.0,2022-10-25,25-109,GSW,PHO,0,12.466666666666669,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,-8,0.0,0.0,,4,19,31,35,37,17,30,34,45,45,33,40,21,8,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,0.5,0.5135135135135135,0.5,0.4861111111111111,0.5068493150684932,0.3777777777777777,0.5263157894736842,0.5074626865671642,0.5487804878048781,0.5487804878048781,0.4782608695652174,0.0,0.6349206349206349,0.6774193548387096,0.6666666666666666,0.3392857142857143,1,22.0,70.0,0.0454545454545454,0.0,16,2.0,61.0,3.8125,0.1999999999999999,63.70000000000002,3.981250000000001,12.8,2.1,-0.8,-1.1,0.3,0.0316825592125499,0.594,0.372,0.169,0.3,1.4,L (-29),L (-29)
5.0,2.0,2022-10-27,25-111,GSW,MIA,0,7.55,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,+2,0.0,0.0,,4,19,31,35,37,17,30,34,45,45,33,40,21,8,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,0.5,0.5135135135135135,0.5,0.4861111111111111,0.5068493150684932,0.3777777777777777,0.5263157894736842,0.5074626865671642,0.5487804878048781,0.5487804878048781,0.4782608695652174,0.0,0.6349206349206349,0.6774193548387096,0.6666666666666666,0.3392857142857143,1,22.0,70.0,0.0454545454545454,0.0,16,1.0,86.0,5.375,2.0,86.0,5.375,12.8,2.1,-0.8,-1.1,0.3,0.0316825592125499,0.594,0.372,0.169,0.3,1.4,W (+13),W (+13)
6.0,3.0,2022-10-29,25-113,GSW,CHO,0,15.7,3.0,5.0,.600,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,7.0,6.4,+4,4.0,2.0,0.5,4,19,31,35,37,17,30,34,45,45,33,40,21,8,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,0.5,0.5135135135135135,0.5,0.4861111111111111,0.5068493150684932,0.3777777777777777,0.5263157894736842,0.5074626865671642,0.5487804878048781,0.5487804878048781,0.4782608695652174,0.0,0.6349206349206349,0.6774193548387096,0.6666666666666666,0.3392857142857143,1,22.0,70.0,0.0454545454545454,0.0,16,5.0,79.0,4.9375,6.399999999999999,79.9,4.99375,12.8,2.1,-0.8,-1.1,0.3,0.0316825592125499,0.594,0.372,0.169,0.3,1.4,L (-7),L (-7)
7.0,4.0,2022-10-30,25-114,GSW,DET,0,14.316666666666666,2.0,2.0,1.000,0.0,0.0,,4,4.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,7.7,-3,2.0,2.0,1.0,4,19,31,35,37,17,30,34,45,45,33,40,21,8,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,0.5,0.5135135135135135,0.5,0.4861111111111111,0.5068493150684932,0.3777777777777777,0.5263157894736842,0.5074626865671642,0.5487804878048781,0.5487804878048781,0.4782608695652174,0.0,0.6349206349206349,0.6774193548387096,0.6666666666666666,0.3392857142857143,1,22.0,70.0,0.0454545454545454,0.0,16,3.0,57.0,3.5625,6.1,65.5,4.09375,12.8,2.1,-0.8,-1.1,0.3,0.0316825592125499,0.594,0.372,0.169,0.3,1.4,L (-14),L (-14)
8.0,5.0,2022-11-01,25-116,GSW,MIA,0,13.45,2.0,4.0,.500,2.0,4.0,.500,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,6.2,-8,0.0,0.0,,4,19,31,35,37,17,30,34,45,45,33,40,21,8,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,0.5,0.5135135135135135,0.5,0.4861111111111111,0.5068493150684932,0.3777777777777777,0.5263157894736842,0.5074626865671642,0.5487804878048781,0.5487804878048781,0.4782608695652174,0.0,0.6349206349206349,0.6774193548387096,0.6666666666666666,0.3392857142857143,1,22.0,70.0,0.0454545454545454,0.0,16,4.0,74.0,4.625,5.400000000000001,73.6,4.6,12.8,2.1,-0.8,-1.1,0.3,0.0316825592125499,0.594,0.372,0.169,0.3,1.4,L (-7),L (-7)
9.0,6.0,2022-11-03,25-118,GSW,ORL,0,13.766666666666667,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.7,+3,1.0,1.0,1.0,4,19,31,35,37,17,30,34,45,45,33,40,21,8,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,0.5,0.5135135135135135,0.5,0.4861111111111111,0.5068493150684932,0.3777777777777777,0.5263157894736842,0.5074626865671642,0.5487804878048781,0.5487804878048781,0.4782608695652174,0.0,0.6349206349206349,0.6774193548387096,0.6666666666666666,0.3392857142857143,1,22.0,70.0,0.0454545454545454,0.0,16,2.0,81.0,5.0625,1.7000000000000002,87.4,5.4625,12.8,2.1,-0.8,-1.1,0.3,0.0316825592125499,0.594,0.372,0.169,0.3,1.4,L (-1),L (-1)
10.0,7.0,2022-11-04,25-119,GSW,NOP,0,31.5,7.0,12.0,.583,2.0,6.0,.333,2,2.0,1.000,1.0,5.0,6.0,5.0,0.0,0.0,0.0,1.0,18.0,17.7,-7,6.0,5.0,0.8333333333333334,4,19,31,35,37,17,30,34,45,45,33,40,21,8,19,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,0.5,0.5135135135135135,0.5,0.4861111111111111,0.5068493150684932,0.3777777777777777,0.5263157894736842,0.5074626865671642,0.5487804878048781,0.5487804878048781,0.4782608695652174,0.0,0.6349206349206349,0.6774193548387096,0.6666666666666666,0.3392857142857143,1,22.0,70.0,0.0454545454545454,0.0,16,15.0,37.0,2.3125,16.900000000000002,40.59999999999999,2.537499999999999,12.8,2.1,-0.8,-1.1,0.3,0.0316825592125499,0.594,0.372,0.169,0.3,1.4,L (-9),L (-9)
