Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,32-119,GSW,LAL,0,23.433333333333334,3.0,6.0,.500,2.0,3.0,.667,0,0.0,,5.0,2.0,7.0,0.0,1.0,0.0,0.0,1.0,8.0,9.7,-3,3.0,1.0,0.3333333333333333,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,10.0,61.0,3.8125,9.7,73.7,4.60625,15.5,2.2,-0.5,-0.7,0.2,0.0375269147954475,0.65,0.44,0.266,0.3,1.2,W (+14),W (+14)
2.0,2.0,2022-10-21,32-122,GSW,DEN,0,23.95,2.0,5.0,.400,1.0,3.0,.333,0,0.0,,1.0,4.0,5.0,2.0,1.0,0.0,2.0,3.0,5.0,3.4,-10,2.0,1.0,0.5,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,6.0,57.0,3.5625,3.3999999999999995,78.1,4.88125,15.5,2.2,-0.5,-0.7,0.2,0.0375269147954475,0.65,0.44,0.266,0.3,1.2,L (-5),L (-5)
3.0,3.0,2022-10-23,32-124,GSW,SAC,0,12.95,1.0,2.0,.500,0.0,1.0,.000,1,2.0,.500,2.0,2.0,4.0,0.0,2.0,1.0,0.0,2.0,3.0,5.5,-5,1.0,1.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,6.0,53.0,3.3125,5.1,77.6,4.85,15.5,2.2,-0.5,-0.7,0.2,0.0375269147954475,0.65,0.44,0.266,0.3,1.2,W (+5),W (+5)
4.0,4.0,2022-10-25,32-126,GSW,PHO,0,16.65,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,-1.9,-10,0.0,0.0,,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,0.0,63.0,3.9375,-1.9,65.80000000000001,4.112500000000001,15.5,2.2,-0.5,-0.7,0.2,0.0375269147954475,0.65,0.44,0.266,0.3,1.2,L (-29),L (-29)
5.0,5.0,2022-10-27,32-128,GSW,MIA,0,17.916666666666668,2.0,3.0,.667,0.0,1.0,.000,2,2.0,1.000,4.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,6.0,9.5,+4,2.0,2.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,9.0,78.0,4.875,8.7,79.3,4.95625,15.5,2.2,-0.5,-0.7,0.2,0.0375269147954475,0.65,0.44,0.266,0.3,1.2,W (+13),W (+13)
6.0,6.0,2022-10-29,32-130,GSW,CHO,0,16.883333333333333,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,0.0,0.4,+5,1.0,0.0,0.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,4.0,80.0,5.0,0.3999999999999997,85.9,5.36875,15.5,2.2,-0.5,-0.7,0.2,0.0375269147954475,0.65,0.44,0.266,0.3,1.2,L (-7),L (-7)
7.0,7.0,2022-10-30,32-131,GSW,DET,0,15.866666666666667,3.0,6.0,.500,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,6.0,4.1,+2,4.0,3.0,0.75,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,4.0,56.0,3.5,4.1000000000000005,67.5,4.21875,15.5,2.2,-0.5,-0.7,0.2,0.0375269147954475,0.65,0.44,0.266,0.3,1.2,L (-14),L (-14)
8.0,8.0,2022-11-01,32-133,GSW,MIA,0,17.683333333333334,4.0,11.0,.364,0.0,2.0,.000,1,1.0,1.000,5.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,9.0,8.6,-22,9.0,4.0,0.4444444444444444,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,8.0,70.0,4.375,8.199999999999996,70.80000000000001,4.425000000000001,15.5,2.2,-0.5,-0.7,0.2,0.0375269147954475,0.65,0.44,0.266,0.3,1.2,L (-7),L (-7)
9.0,9.0,2022-11-03,32-135,GSW,ORL,0,16.333333333333332,3.0,5.0,.600,1.0,1.0,1.000,0,0.0,,2.0,4.0,6.0,0.0,0.0,1.0,1.0,5.0,7.0,5.0,-15,4.0,2.0,0.5,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,8.0,75.0,4.6875,4.999999999999998,84.10000000000001,5.2562500000000005,15.5,2.2,-0.5,-0.7,0.2,0.0375269147954475,0.65,0.44,0.266,0.3,1.2,L (-1),L (-1)
10.0,10.0,2022-11-04,32-136,GSW,NOP,0,9.466666666666669,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,-0.5,-11,1.0,1.0,1.0,5,25,38,50,48,16,50,57,57,49,46,20,9,40,30,8.0,37.0,62.0,72.0,73.0,45.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.625,0.6756756756756757,0.6129032258064516,0.6944444444444444,0.6575342465753424,0.3555555555555555,0.746268656716418,0.6951219512195121,0.6951219512195121,0.7101449275362319,0.0,0.7301587301587301,0.6451612903225806,0.75,0.7142857142857143,0.6666666666666666,2,22.0,70.0,0.0909090909090909,0.0,16,0.0,52.0,3.25,-0.5000000000000002,57.99999999999999,3.625,15.5,2.2,-0.5,-0.7,0.2,0.0375269147954475,0.65,0.44,0.266,0.3,1.2,L (-9),L (-9)
