Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Ryan Rollins,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Shared Games with Gary Payton II,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,25-260,GSW,LAL,0.0,21.616666666666667,3.0,6.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.0,2.0,2.0,2.0,1.0,0.0,4.0,2.0,8.0,2.8,-5.0,4.0,2.0,0.5,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,1.0,70.0,4.375,2.4000000000000004,81.0,5.0625,12.8,4.2,0.7,-0.6,1.3,0.0695170716702553,0.593,0.7,0.131,1.3,1.9,W (+14),W (+14)
2.0,2.0,2022-10-21,25-263,GSW,DEN,0.0,9.666666666666666,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.5,-13.0,0.0,0.0,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,0.0,63.0,3.9375,0.5000000000000002,81.0,5.0625,12.8,4.2,0.7,-0.6,1.3,0.0695170716702553,0.593,0.7,0.131,1.3,1.9,L (-5),L (-5)
3.0,3.0,2022-10-23,25-265,GSW,SAC,0.0,10.7,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,1.7,-1.0,1.0,1.0,1.0,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,-1.0,60.0,3.75,0.9000000000000004,81.79999999999998,5.112499999999999,12.8,4.2,0.7,-0.6,1.3,0.0695170716702553,0.593,0.7,0.131,1.3,1.9,W (+5),W (+5)
4.0,,2022-10-25,25-267,GSW,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,63.0,3.9375,0.0,63.90000000000002,3.993750000000001,12.8,4.2,0.7,-0.6,1.3,0.0695170716702553,0.593,0.7,0.131,1.3,1.9,L (-29),L (-29)
5.0,,2022-10-27,25-269,GSW,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,87.0,5.4375,0.0,88.0,5.5,12.8,4.2,0.7,-0.6,1.3,0.0695170716702553,0.593,0.7,0.131,1.3,1.9,W (+13),W (+13)
6.0,,2022-10-29,25-271,GSW,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,84.0,5.25,0.0,86.30000000000001,5.393750000000001,12.8,4.2,0.7,-0.6,1.3,0.0695170716702553,0.593,0.7,0.131,1.3,1.9,L (-7),L (-7)
7.0,,2022-10-30,25-272,GSW,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,60.0,3.75,0.0,71.6,4.475,12.8,4.2,0.7,-0.6,1.3,0.0695170716702553,0.593,0.7,0.131,1.3,1.9,L (-14),L (-14)
8.0,,2022-11-01,25-274,GSW,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,78.0,4.875,0.0,79.0,4.9375,12.8,4.2,0.7,-0.6,1.3,0.0695170716702553,0.593,0.7,0.131,1.3,1.9,L (-7),L (-7)
9.0,,2022-11-03,25-276,GSW,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,83.0,5.1875,0.0,89.10000000000001,5.5687500000000005,12.8,4.2,0.7,-0.6,1.3,0.0695170716702553,0.593,0.7,0.131,1.3,1.9,L (-1),L (-1)
10.0,,2022-11-04,25-277,GSW,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,30,57,64,12,50,60,72,72,62,53,27,8,49,35,8.0,37.0,62.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,1.0,0.8108108108108109,0.9193548387096774,0.8767123287671232,0.2666666666666666,0.8771929824561403,0.8955223880597015,0.8780487804878049,0.8780487804878049,0.8985507246376812,0.0,0.8412698412698413,0.8709677419354839,0.6666666666666666,0.875,0.7777777777777778,7,22.0,70.0,0.3181818181818182,0.0,16,,52.0,3.25,0.0,57.49999999999999,3.59375,12.8,4.2,0.7,-0.6,1.3,0.0695170716702553,0.593,0.7,0.131,1.3,1.9,L (-9),L (-9)
