Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,Jalen Johnson,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Ryan Rollins,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with Jalen Johnson,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Ryan Rollins,co_inf with Stephen Curry,co_inf with Ty Jerome,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,29-322,POR,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,71.0,2.730769230769231,0.0,66.8,2.569230769230769,13.3,1.0,0.3,-1.2,1.5,0.0065598451446392,0.701,0.377,0.101,0.2,0.6,W (+7),W (+7)
2.0,,2022-10-21,29-324,POR,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,63.0,2.423076923076923,0.0,61.39999999999999,2.361538461538461,13.3,1.0,0.3,-1.2,1.5,0.0065598451446392,0.701,0.377,0.101,0.2,0.6,W (+2),W (+2)
3.0,,2022-10-23,29-326,POR,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,59.0,2.269230769230769,0.0,62.99999999999999,2.423076923076923,13.3,1.0,0.3,-1.2,1.5,0.0065598451446392,0.701,0.377,0.101,0.2,0.6,W (+2),W (+2)
4.0,,2022-10-24,29-327,POR,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,63.0,2.423076923076923,0.0,52.20000000000001,2.007692307692308,13.3,1.0,0.3,-1.2,1.5,0.0065598451446392,0.701,0.377,0.101,0.2,0.6,W (+25),W (+25)
5.0,,2022-10-26,29-329,POR,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,87.0,3.3461538461538463,0.0,73.69999999999999,2.8346153846153843,13.3,1.0,0.3,-1.2,1.5,0.0065598451446392,0.701,0.377,0.101,0.2,0.6,L (-21),L (-21)
6.0,,2022-10-28,29-331,POR,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,84.0,3.230769230769231,0.0,78.19999999999999,3.007692307692307,13.3,1.0,0.3,-1.2,1.5,0.0065598451446392,0.701,0.377,0.101,0.2,0.6,W (+14),W (+14)
7.0,,2022-11-02,29-336,POR,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,60.0,2.3076923076923075,0.0,69.6,2.6769230769230767,13.3,1.0,0.3,-1.2,1.5,0.0065598451446392,0.701,0.377,0.101,0.2,0.6,L (-5),L (-5)
8.0,,2022-11-04,29-338,POR,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,78.0,3.0,0.0,59.69999999999998,2.296153846153845,13.3,1.0,0.3,-1.2,1.5,0.0065598451446392,0.701,0.377,0.101,0.2,0.6,W (+2),W (+2)
9.0,,2022-11-05,29-339,POR,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,83.0,3.1923076923076925,0.0,80.7,3.103846153846154,13.3,1.0,0.3,-1.2,1.5,0.0065598451446392,0.701,0.377,0.101,0.2,0.6,L (-20),L (-20)
10.0,,2022-11-07,29-341,POR,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,15,15,6,11,15,3,13,11,7,11,15,11,62.0,1,58.0,78.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2586206896551724,0.1923076923076923,0.375,0.1964285714285714,0.0,0.238095238095238,0.1578947368421052,0.1710526315789473,0.0,0.0,0.2115384615384615,0.175,0.2037037037037037,0.0,0.1875,0.0,0.0,0.1774193548387097,11,7,7,7,2,7,7,7,6,5,5,7,1,8.0,37.0,62.0,72.0,73.0,70.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,12.0,56.0,45.0,0.0,0.0,0.1129032258064516,0.0972222222222222,0.0958904109589041,0.0,0.0350877192982456,0.1044776119402985,0.0853658536585365,0.0853658536585365,0.0869565217391304,0.0,0.0793650793650793,0.1612903225806451,0.0,0.125,0.0222222222222222,26,,52.0,2.0,0.0,58.1,2.2346153846153847,13.3,1.0,0.3,-1.2,1.5,0.0065598451446392,0.701,0.377,0.101,0.2,0.6,W (+3),W (+3)
