Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,26-042,CLE,TOR,1,34.516666666666666,12.0,21.0,.571,2.0,8.0,.250,5,6.0,.833,0.0,2.0,2.0,9.0,2.0,0.0,3.0,4.0,31.0,25.0,+10,13.0,10.0,0.7692307692307693,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,14.0,58.0,3.625,23.0,66.8,4.175,22.9,8.9,6.3,5.6,0.6,0.2087995654535578,0.614,0.453,0.262,5.0,5.4,L (-3),L (-3)
2.0,2.0,2022-10-22,26-045,CLE,CHI,1,34.516666666666666,10.0,19.0,.526,4.0,6.0,.667,8,9.0,.889,3.0,6.0,9.0,8.0,1.0,0.0,4.0,3.0,32.0,27.6,+19,13.0,6.0,0.4615384615384615,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,18.0,73.0,4.5625,24.4,79.19999999999999,4.949999999999999,22.9,8.9,6.3,5.6,0.6,0.2087995654535578,0.614,0.453,0.262,5.0,5.4,W (+32),W (+32)
3.0,3.0,2022-10-23,26-046,CLE,WAS,1,44.56666666666667,12.0,29.0,.414,5.0,12.0,.417,8,9.0,.889,2.0,3.0,5.0,4.0,3.0,1.0,6.0,2.0,37.0,23.1,+4,17.0,7.0,0.4117647058823529,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,6.0,66.0,4.125,19.899999999999995,73.89999999999999,4.61875,22.9,8.9,6.3,5.6,0.6,0.2087995654535578,0.614,0.453,0.262,5.0,5.4,W (+10),W (+10)
4.0,4.0,2022-10-26,26-049,CLE,ORL,1,37.2,5.0,19.0,.263,1.0,7.0,.143,3,4.0,.750,2.0,2.0,4.0,8.0,2.0,0.0,1.0,3.0,14.0,9.7,+9,12.0,4.0,0.3333333333333333,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,4.0,52.0,3.25,8.500000000000004,67.5,4.21875,22.9,8.9,6.3,5.6,0.6,0.2087995654535578,0.614,0.453,0.262,5.0,5.4,W (+11),W (+11)
5.0,5.0,2022-10-28,26-051,CLE,BOS,1,45.7,15.0,25.0,.600,5.0,9.0,.556,6,6.0,1.000,0.0,4.0,4.0,3.0,1.0,0.0,7.0,4.0,41.0,25.2,+18,16.0,10.0,0.625,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,11.0,62.0,3.875,22.800000000000004,78.3,4.89375,22.9,8.9,6.3,5.6,0.6,0.2087995654535578,0.614,0.453,0.262,5.0,5.4,W (+9),W (+9)
6.0,6.0,2022-10-30,26-053,CLE,NYK,1,37.16666666666666,12.0,20.0,.600,8.0,13.0,.615,6,8.0,.750,0.0,3.0,3.0,12.0,1.0,2.0,4.0,4.0,38.0,34.1,+18,7.0,4.0,0.5714285714285714,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,24.0,52.0,3.25,31.69999999999999,51.1,3.19375,22.9,8.9,6.3,5.6,0.6,0.2087995654535578,0.614,0.453,0.262,5.0,5.4,W (+13),W (+13)
7.0,7.0,2022-11-02,26-056,CLE,BOS,1,43.91666666666666,11.0,27.0,.407,3.0,9.0,.333,0,0.0,,0.0,4.0,4.0,6.0,1.0,2.0,0.0,3.0,25.0,17.1,-3,18.0,8.0,0.4444444444444444,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,11.0,66.0,4.125,17.099999999999998,71.10000000000001,4.4437500000000005,22.9,8.9,6.3,5.6,0.6,0.2087995654535578,0.614,0.453,0.262,5.0,5.4,W (+1),W (+1)
8.0,,2022-11-04,26-058,CLE,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,,89.0,5.5625,0.0,101.09999999999997,6.318749999999998,22.9,8.9,6.3,5.6,0.6,0.2087995654535578,0.614,0.453,0.262,5.0,5.4,W (+24),W (+24)
9.0,8.0,2022-11-06,26-060,CLE,LAL,1,37.13333333333333,10.0,17.0,.588,1.0,7.0,.143,12,13.0,.923,1.0,4.0,5.0,2.0,1.0,1.0,3.0,1.0,33.0,26.3,+6,10.0,9.0,0.9,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,9.0,59.0,3.6875,21.50000000000001,68.19999999999999,4.262499999999999,22.9,8.9,6.3,5.6,0.6,0.2087995654535578,0.614,0.453,0.262,5.0,5.4,W (+14),W (+14)
10.0,9.0,2022-11-07,26-061,CLE,LAC,1,38.6,10.0,15.0,.667,8.0,11.0,.727,2,3.0,.667,0.0,1.0,1.0,2.0,0.0,0.0,3.0,5.0,30.0,19.8,-2,4.0,2.0,0.5,62,63,59,36,2,66,64,10,57,35,48,17,35,26,30,74.0,77.0,69.0,44.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.855072463768116,0.8181818181818182,0.6666666666666666,0.8354430379746836,0.8421052631578947,0.8333333333333334,0.8382352941176471,0.5645161290322581,0.7741935483870968,0.7727272727272727,0.7291666666666666,0.7878787878787878,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,12.0,76.0,4.75,19.0,78.69999999999999,4.918749999999999,22.9,8.9,6.3,5.6,0.6,0.2087995654535578,0.614,0.453,0.262,5.0,5.4,L (-2),L (-2)
