Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,23-025,CLE,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,72.0,4.8,0.0,89.8,5.986666666666666,14.1,0.2,-1.4,-2.5,1.1,0.0033677349266702,0.521,0.286,0.143,0.0,0.1,L (-3),L (-3)
2.0,1.0,2022-10-22,23-028,CLE,CHI,0,4.116666666666666,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.6,+6,0.0,0.0,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,3.0,88.0,5.866666666666666,2.6,100.99999999999996,6.733333333333331,14.1,0.2,-1.4,-2.5,1.1,0.0033677349266702,0.521,0.286,0.143,0.0,0.1,W (+32),W (+32)
3.0,,2022-10-23,23-029,CLE,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,72.0,4.8,0.0,93.79999999999998,6.253333333333332,14.1,0.2,-1.4,-2.5,1.1,0.0033677349266702,0.521,0.286,0.143,0.0,0.1,W (+10),W (+10)
4.0,,2022-10-26,23-032,CLE,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,56.0,3.733333333333333,0.0,76.0,5.066666666666666,14.1,0.2,-1.4,-2.5,1.1,0.0033677349266702,0.521,0.286,0.143,0.0,0.1,W (+11),W (+11)
5.0,,2022-10-28,23-034,CLE,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,73.0,4.866666666666666,0.0,101.1,6.739999999999999,14.1,0.2,-1.4,-2.5,1.1,0.0033677349266702,0.521,0.286,0.143,0.0,0.1,W (+9),W (+9)
6.0,,2022-10-30,23-036,CLE,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,76.0,5.066666666666666,0.0,82.8,5.52,14.1,0.2,-1.4,-2.5,1.1,0.0033677349266702,0.521,0.286,0.143,0.0,0.1,W (+13),W (+13)
7.0,,2022-11-02,23-039,CLE,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,77.0,5.133333333333334,0.0,88.20000000000002,5.880000000000001,14.1,0.2,-1.4,-2.5,1.1,0.0033677349266702,0.521,0.286,0.143,0.0,0.1,W (+1),W (+1)
8.0,,2022-11-04,23-041,CLE,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,89.0,5.933333333333334,0.0,101.09999999999997,6.7399999999999975,14.1,0.2,-1.4,-2.5,1.1,0.0033677349266702,0.521,0.286,0.143,0.0,0.1,W (+24),W (+24)
9.0,,2022-11-06,23-043,CLE,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,68.0,4.533333333333333,0.0,89.69999999999999,5.98,14.1,0.2,-1.4,-2.5,1.1,0.0033677349266702,0.521,0.286,0.143,0.0,0.1,W (+14),W (+14)
10.0,,2022-11-07,23-044,CLE,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,11,9,7,10,12,10,7,3,9,7,11,3,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.1081081081081081,0.1428571428571428,0.1304347826086956,0.1590909090909091,0.1470588235294117,0.0,0.1518987341772152,0.131578947368421,0.1029411764705882,0.0483870967741935,0.1451612903225806,0.3181818181818182,0.2291666666666666,0.0909090909090909,0.2702702702702703,0.0,1,11.0,74.0,0.0909090909090909,0.0,15,,88.0,5.866666666666666,0.0,97.7,6.513333333333334,14.1,0.2,-1.4,-2.5,1.1,0.0033677349266702,0.521,0.286,0.143,0.0,0.1,L (-2),L (-2)
