Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
13.0,4.0,2022-11-13,25-127,CLE,MIN,1,30.3,5.0,10.0,.500,0.0,1.0,.000,5,6.0,.833,2.0,4.0,6.0,1.0,0.0,0.0,0.0,2.0,15.0,12.1,-2,9.0,5.0,0.5555555555555556,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,6.0,56.0,3.5,10.099999999999996,84.3,5.26875,0.0356328082563824,L (-5),L (-5)
14.0,5.0,2022-11-16,25-130,CLE,MIL,1,33.75,3.0,10.0,.300,2.0,3.0,.667,2,2.0,1.000,3.0,2.0,5.0,0.0,0.0,4.0,0.0,3.0,10.0,8.5,-16,7.0,1.0,0.1428571428571428,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,7.0,53.0,3.3125,7.699999999999998,71.80000000000001,4.487500000000001,0.0356328082563824,L (-15),L (-15)
15.0,6.0,2022-11-18,25-132,CLE,CHO,1,28.98333333333333,1.0,5.0,.200,0.0,2.0,.000,1,2.0,.500,0.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,1.6,-15,3.0,1.0,0.3333333333333333,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,2.0,76.0,4.75,1.2000000000000002,99.3,6.20625,0.0356328082563824,W (+10),W (+10)
16.0,7.0,2022-11-20,25-134,CLE,MIA,1,22.0,5.0,6.0,.833,1.0,2.0,.500,0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,2.0,1.0,11.0,9.7,-8,4.0,4.0,1.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,9.0,90.0,5.625,9.7,95.70000000000002,5.981250000000001,0.0356328082563824,W (+26),W (+26)
17.0,8.0,2022-11-21,25-135,CLE,ATL,1,28.516666666666666,3.0,5.0,.600,1.0,1.0,1.000,1,2.0,.500,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,8.0,4.4,+1,4.0,2.0,0.5,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,3.0,78.0,4.875,4.0,98.9,6.18125,0.0356328082563824,W (+12),W (+12)
18.0,9.0,2022-11-23,25-137,CLE,POR,1,27.633333333333333,3.0,5.0,.600,1.0,2.0,.500,5,5.0,1.000,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,9.0,-1,3.0,2.0,0.6666666666666666,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,2.0,75.0,4.6875,6.999999999999998,88.80000000000001,5.550000000000001,0.0356328082563824,W (+18),W (+18)
19.0,,2022-11-25,25-139,CLE,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,61.0,3.8125,0.0,91.4,5.7125,0.0356328082563824,L (-15),L (-15)
20.0,,2022-11-27,25-141,CLE,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,41.0,2.5625,0.0,62.9,3.93125,0.0356328082563824,W (+8),W (+8)
21.0,,2022-11-28,25-142,CLE,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,59.0,3.6875,0.0,68.2,4.2625,0.0356328082563824,,
22.0,,2022-11-30,25-144,CLE,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,100.0,6.25,0.0,114.6,7.1625,0.0356328082563824,L (-12),L (-12)
23.0,10.0,2022-12-02,25-146,CLE,ORL,1,15.116666666666667,3.0,10.0,.300,2.0,4.0,.500,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,8.0,2.5,+4,6.0,1.0,0.1666666666666666,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,0.0,71.0,4.4375,2.4999999999999982,95.40000000000003,5.962500000000002,0.0356328082563824,W (+28),W (+28)
24.0,11.0,2022-12-04,25-148,CLE,NYK,1,26.98333333333333,4.0,7.0,.571,0.0,1.0,.000,0,0.0,,0.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,8.0,8.5,0,6.0,4.0,0.6666666666666666,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,9.0,29.0,1.8125,8.5,48.8,3.05,0.0356328082563824,W (+11),W (+11)
25.0,12.0,2022-12-06,25-150,CLE,LAL,1,26.383333333333333,1.0,5.0,.200,0.0,3.0,.000,0,0.0,,0.0,7.0,7.0,1.0,1.0,0.0,0.0,2.0,2.0,1.9,+17,2.0,1.0,0.5,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,6.0,75.0,4.6875,1.9,95.70000000000002,5.981250000000001,0.0356328082563824,L (-11),L (-11)
26.0,13.0,2022-12-09,25-153,CLE,SAC,1,25.666666666666668,3.0,6.0,.500,1.0,1.0,1.000,0,0.0,,2.0,6.0,8.0,0.0,0.0,0.0,0.0,2.0,7.0,6.4,+1,5.0,2.0,0.4,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,9.0,33.0,2.0625,6.4,47.7,2.98125,0.0356328082563824,W (+14),W (+14)
27.0,14.0,2022-12-10,25-154,CLE,OKC,1,31.066666666666663,4.0,9.0,.444,2.0,5.0,.400,0,0.0,,1.0,6.0,7.0,1.0,3.0,1.0,0.0,1.0,10.0,11.8,+15,4.0,2.0,0.5,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,13.0,58.0,3.625,11.799999999999995,73.19999999999999,4.574999999999999,0.0356328082563824,L (-11),L (-11)
28.0,15.0,2022-12-12,25-156,CLE,SAS,1,24.53333333333333,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.1,-9,0.0,0.0,,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,2.0,62.0,3.875,-0.1,80.2,5.0125,0.0356328082563824,W (+8),W (+8)
29.0,16.0,2022-12-14,25-158,CLE,DAL,1,38.41666666666666,8.0,15.0,.533,1.0,6.0,.167,1,2.0,.500,0.0,11.0,11.0,2.0,0.0,0.0,1.0,2.0,18.0,13.2,+22,9.0,7.0,0.7777777777777778,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,13.0,58.0,3.625,12.799999999999995,71.0,4.4375,0.0356328082563824,L (-1),L (-1)
30.0,17.0,2022-12-16,25-160,CLE,IND,1,21.9,0.0,4.0,.000,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,-3.0,-11,3.0,0.0,0.0,56,57,52,28,48,3,59,56,9,51,29,19,38,29,28,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.7567567567567568,0.7402597402597403,0.7536231884057971,0.6363636363636364,0.7058823529411765,1.0,0.7468354430379747,0.7368421052631579,0.75,0.75,0.4677419354838709,0.8636363636363636,0.7916666666666666,0.8787878787878788,0.7567567567567568,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,-1.0,65.0,4.0625,-3.0,88.1,5.50625,0.0356328082563824,W (+15),W (+15)
