Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,24-181,CLE,TOR,1,33.86666666666667,5.0,8.0,.625,0.0,0.0,,3,4.0,.750,5.0,5.0,10.0,0.0,0.0,2.0,1.0,2.0,13.0,13.6,+2,8.0,5.0,0.625,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,12.0,60.0,3.75,12.4,77.4,4.8375,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,L (-3),L (-3)
2.0,2.0,2022-10-22,24-184,CLE,CHI,1,28.6,4.0,6.0,.667,0.0,0.0,,0,0.0,,3.0,3.0,6.0,2.0,0.0,1.0,2.0,2.0,8.0,7.7,+5,6.0,4.0,0.6666666666666666,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,9.0,82.0,5.125,7.699999999999999,95.9,5.99375,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+32),W (+32)
3.0,3.0,2022-10-23,24-185,CLE,WAS,1,37.516666666666666,6.0,13.0,.462,0.0,0.0,,3,4.0,.750,6.0,8.0,14.0,3.0,0.0,2.0,0.0,2.0,15.0,17.2,-1,13.0,6.0,0.4615384615384615,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,17.0,55.0,3.4375,15.99999999999999,77.79999999999998,4.862499999999999,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+10),W (+10)
4.0,4.0,2022-10-26,24-188,CLE,ORL,1,29.65,7.0,11.0,.636,0.0,0.0,,4,5.0,.800,7.0,9.0,16.0,1.0,1.0,1.0,1.0,5.0,18.0,19.7,+11,11.0,7.0,0.6363636363636364,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,20.0,36.0,2.25,18.1,57.9,3.61875,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+11),W (+11)
5.0,5.0,2022-10-28,24-190,CLE,BOS,1,39.65,5.0,9.0,.556,0.0,1.0,.000,2,4.0,.500,3.0,8.0,11.0,2.0,0.0,0.0,0.0,2.0,12.0,12.0,+25,8.0,5.0,0.625,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,12.0,61.0,3.8125,11.199999999999998,89.89999999999999,5.61875,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+9),W (+9)
6.0,6.0,2022-10-30,24-192,CLE,NYK,1,25.816666666666663,3.0,8.0,.375,0.0,1.0,.000,0,0.0,,3.0,10.0,13.0,1.0,0.0,0.0,2.0,0.0,6.0,5.4,+5,7.0,3.0,0.4285714285714285,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,10.0,66.0,4.125,5.4,77.39999999999999,4.8375,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+13),W (+13)
7.0,7.0,2022-11-02,24-195,CLE,BOS,1,36.38333333333333,6.0,11.0,.545,0.0,0.0,,2,2.0,1.000,3.0,11.0,14.0,0.0,0.0,2.0,3.0,2.0,14.0,11.7,-17,11.0,6.0,0.5454545454545454,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,14.0,63.0,3.9375,10.9,77.30000000000001,4.831250000000001,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+1),W (+1)
8.0,8.0,2022-11-04,24-197,CLE,DET,1,31.516666666666666,11.0,16.0,.688,0.0,0.0,,1,2.0,.500,2.0,5.0,7.0,0.0,0.0,2.0,4.0,2.0,23.0,15.3,+20,16.0,11.0,0.6875,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,10.0,79.0,4.9375,14.899999999999997,86.19999999999999,5.387499999999999,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+24),W (+24)
9.0,9.0,2022-11-06,24-199,CLE,LAL,1,27.75,5.0,13.0,.385,0.0,0.0,,6,6.0,1.000,3.0,8.0,11.0,0.0,2.0,2.0,1.0,4.0,16.0,14.2,+5,13.0,5.0,0.3846153846153846,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,11.0,57.0,3.5625,11.799999999999995,77.9,4.86875,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+14),W (+14)
10.0,10.0,2022-11-07,24-200,CLE,LAC,1,32.86666666666667,4.0,10.0,.400,0.0,0.0,,2,3.0,.667,4.0,16.0,20.0,3.0,2.0,2.0,0.0,0.0,10.0,17.3,+3,10.0,4.0,0.4,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,24.0,64.0,4.0,16.499999999999996,81.2,5.075,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,L (-2),L (-2)
