Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,28-055,CLE,TOR,1.0,34.68333333333333,2.0,7.0,0.286,2.0,2.0,1.0,4.0,4.0,1.0,0.0,5.0,5.0,7.0,0.0,0.0,1.0,3.0,10.0,10.1,5.0,5.0,0.0,0.0,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,10.0,62.0,3.875,8.5,81.3,5.08125,12.4,4.4,-0.2,-1.0,0.8,0.0974470396523628,0.546,0.437,0.243,1.0,1.4,L (-3),L (-3)
2.0,2.0,2022-10-22,28-058,CLE,CHI,1.0,33.45,4.0,12.0,0.333,3.0,6.0,0.5,3.0,4.0,0.75,0.0,4.0,4.0,8.0,1.0,1.0,2.0,1.0,14.0,12.9,17.0,6.0,1.0,0.1666666666666666,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,10.0,81.0,5.0625,11.7,91.9,5.74375,12.4,4.4,-0.2,-1.0,0.8,0.0974470396523628,0.546,0.437,0.243,1.0,1.4,W (+32),W (+32)
3.0,3.0,2022-10-23,28-059,CLE,WAS,1.0,35.9,4.0,14.0,0.286,2.0,6.0,0.333,0.0,0.0,,0.0,3.0,3.0,4.0,2.0,0.0,2.0,4.0,10.0,3.9,15.0,8.0,2.0,0.25,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,3.0,69.0,4.3125,3.900000000000002,89.89999999999998,5.618749999999999,12.4,4.4,-0.2,-1.0,0.8,0.0974470396523628,0.546,0.437,0.243,1.0,1.4,W (+10),W (+10)
4.0,4.0,2022-10-26,28-062,CLE,ORL,1.0,33.43333333333333,3.0,12.0,0.25,3.0,7.0,0.429,3.0,6.0,0.5,0.0,2.0,2.0,6.0,1.0,0.0,5.0,3.0,12.0,3.2,20.0,5.0,0.0,0.0,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,-2.0,58.0,3.625,2.000000000000001,74.0,4.625,12.4,4.4,-0.2,-1.0,0.8,0.0974470396523628,0.546,0.437,0.243,1.0,1.4,W (+11),W (+11)
5.0,5.0,2022-10-28,28-064,CLE,BOS,1.0,42.8,12.0,21.0,0.571,6.0,8.0,0.75,11.0,12.0,0.917,2.0,2.0,4.0,7.0,3.0,0.0,2.0,4.0,41.0,37.0,21.0,13.0,6.0,0.4615384615384615,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,20.0,53.0,3.3125,32.6,68.50000000000001,4.281250000000001,12.4,4.4,-0.2,-1.0,0.8,0.0974470396523628,0.546,0.437,0.243,1.0,1.4,W (+9),W (+9)
6.0,6.0,2022-10-30,28-066,CLE,NYK,1.0,29.266666666666666,0.0,9.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,8.0,0.0,0.0,3.0,2.0,1.0,-2.2,-12.0,5.0,0.0,0.0,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,-1.0,77.0,4.8125,-2.6000000000000005,85.39999999999999,5.3375,12.4,4.4,-0.2,-1.0,0.8,0.0974470396523628,0.546,0.437,0.243,1.0,1.4,W (+13),W (+13)
7.0,7.0,2022-11-02,28-069,CLE,BOS,1.0,46.13333333333333,4.0,12.0,0.333,3.0,7.0,0.429,4.0,6.0,0.667,2.0,6.0,8.0,4.0,0.0,0.0,1.0,4.0,15.0,10.8,1.0,5.0,1.0,0.2,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,8.0,69.0,4.3125,9.200000000000005,79.0,4.9375,12.4,4.4,-0.2,-1.0,0.8,0.0974470396523628,0.546,0.437,0.243,1.0,1.4,W (+1),W (+1)
8.0,8.0,2022-11-04,28-071,CLE,DET,1.0,30.216666666666665,6.0,10.0,0.6,1.0,4.0,0.25,2.0,2.0,1.0,1.0,5.0,6.0,6.0,0.0,0.0,2.0,3.0,15.0,13.6,27.0,6.0,5.0,0.8333333333333334,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,13.0,76.0,4.75,12.799999999999995,88.29999999999998,5.518749999999999,12.4,4.4,-0.2,-1.0,0.8,0.0974470396523628,0.546,0.437,0.243,1.0,1.4,W (+24),W (+24)
9.0,9.0,2022-11-06,28-073,CLE,LAL,1.0,29.566666666666663,5.0,10.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,1.0,3.0,4.0,3.0,1.0,0.0,1.0,1.0,12.0,9.9,-2.0,8.0,4.0,0.5,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,7.0,61.0,3.8125,9.500000000000002,80.2,5.0125,12.4,4.4,-0.2,-1.0,0.8,0.0974470396523628,0.546,0.437,0.243,1.0,1.4,W (+14),W (+14)
10.0,10.0,2022-11-07,28-074,CLE,LAC,1.0,36.4,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,,1.0,5.0,6.0,5.0,0.0,0.0,1.0,3.0,4.0,2.7,1.0,6.0,2.0,0.3333333333333333,69,63,37,62,3,72,70,8,62,40,56,17,41,29,30,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8961038961038961,0.9130434782608696,0.8409090909090909,0.9117647058823528,1.0,0.9113924050632912,0.9210526315789472,0.6666666666666666,0.9117647058823528,0.6451612903225806,0.9032258064516128,0.7727272727272727,0.8541666666666666,0.8787878787878788,0.8108108108108109,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,6.0,82.0,5.125,2.7,95.0,5.9375,12.4,4.4,-0.2,-1.0,0.8,0.0974470396523628,0.546,0.437,0.243,1.0,1.4,L (-2),L (-2)
