Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,24-112,DEN,@,UTA,L (-21),1,35:22,5.0,10.0,.500,2.0,4.0,.500,3,4.0,.750,2.0,5.0,7.0,1.0,1.0,0.0,4.0,4.0,15.0,8.6,+1,6.0,3.0,0.5,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,6.0,45.0,2.647058823529412,7.399999999999999,58.6,3.447058823529412
1,2,2,2022-10-21,24-114,DEN,@,GSW,W (+5),1,27:54,6.0,12.0,.500,5.0,10.0,.500,0,0.0,,0.0,6.0,6.0,1.0,1.0,1.0,0.0,5.0,17.0,13.2,-7,2.0,1.0,0.5,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,14.0,74.0,4.352941176470588,13.2,88.0,5.176470588235294
2,3,3,2022-10-22,24-115,DEN,,OKC,W (+5),1,27:39,8.0,15.0,.533,5.0,10.0,.500,1,1.0,1.000,2.0,4.0,6.0,1.0,1.0,1.0,3.0,4.0,22.0,15.1,+20,5.0,3.0,0.6,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,12.0,69.0,4.0588235294117645,14.699999999999996,77.69999999999999,4.570588235294117
3,4,4,2022-10-24,24-117,DEN,@,POR,L (-25),1,25:31,7.0,14.0,.500,4.0,8.0,.500,0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,1.0,5.0,18.0,11.0,-3,6.0,3.0,0.5,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,9.0,53.0,3.117647058823529,10.999999999999998,58.80000000000001,3.4588235294117653
4,5,,2022-10-26,24-119,DEN,,LAL,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,104.0,6.117647058823529,0.0,111.6,6.564705882352941
5,6,5,2022-10-28,24-121,DEN,,UTA,W (+16),1,30:03,7.0,15.0,.467,4.0,5.0,.800,4,5.0,.800,4.0,9.0,13.0,1.0,0.0,0.0,0.0,2.0,22.0,19.3,+22,10.0,3.0,0.3,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,16.0,47.0,2.764705882352941,17.7,52.19999999999999,3.070588235294117
6,7,6,2022-10-30,24-123,DEN,@,LAL,L (-11),1,27:50,5.0,15.0,.333,3.0,10.0,.300,4,5.0,.800,3.0,6.0,9.0,1.0,1.0,0.0,0.0,4.0,17.0,12.1,+10,5.0,2.0,0.4,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,8.0,62.0,3.647058823529412,10.500000000000002,73.6,4.329411764705882
7,8,7,2022-11-03,24-127,DEN,@,OKC,W (+12),1,28:36,4.0,10.0,.400,3.0,6.0,.500,0,0.0,,1.0,5.0,6.0,2.0,0.0,0.0,1.0,1.0,11.0,7.8,+7,4.0,1.0,0.25,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,8.0,84.0,4.941176470588236,7.799999999999999,95.5,5.617647058823529
8,9,8,2022-11-05,24-129,DEN,,SAS,W (+25),1,29:48,6.0,10.0,.600,3.0,6.0,.500,0,0.0,,1.0,8.0,9.0,0.0,1.0,0.0,2.0,3.0,15.0,11.3,+27,4.0,3.0,0.75,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,13.0,82.0,4.823529411764706,11.299999999999995,89.99999999999999,5.2941176470588225
9,10,9,2022-11-07,24-131,DEN,@,SAS,W (+6),1,30:19,9.0,16.0,.563,4.0,8.0,.500,2,2.0,1.000,0.0,6.0,6.0,2.0,1.0,0.0,0.0,2.0,24.0,19.8,+3,8.0,5.0,0.625,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,15.0,65.0,3.823529411764706,19.0,72.7,4.276470588235294
