Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Boucher,Shared Games with Christian Koloko,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Chris Boucher,Christian Koloko,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Chris Boucher,co_inf with Christian Koloko,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,22-346,TOR,CLE,0,9.2,0.0,1.0,.000,0.0,1.0,.000,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.6,0,0.0,0.0,,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,2.0,63.0,3.5,1.8000000000000005,83.2,4.622222222222223,14.9,0.4,-0.5,-1.1,0.6,0.0153447157985735,0.505,0.392,0.185,0.1,0.0,W (+3),W (+3)
2.0,2.0,2022-10-21,22-348,TOR,BRK,0,12.95,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,1.6,-15,3.0,2.0,0.6666666666666666,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,0.0,76.0,4.222222222222222,1.6,93.19999999999996,5.177777777777775,14.9,0.4,-0.5,-1.1,0.6,0.0153447157985735,0.505,0.392,0.185,0.1,0.0,L (-4),L (-4)
3.0,3.0,2022-10-22,22-349,TOR,MIA,0,5.55,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.3,-3,0.0,0.0,,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,2.0,77.0,4.277777777777778,2.3,91.5,5.083333333333333,14.9,0.4,-0.5,-1.1,0.6,0.0153447157985735,0.505,0.392,0.185,0.1,0.0,L (-3),L (-3)
4.0,4.0,2022-10-24,22-351,TOR,MIA,0,7.683333333333334,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,-5,1.0,0.0,0.0,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,2.0,83.0,4.611111111111111,0.1999999999999998,83.2,4.622222222222223,14.9,0.4,-0.5,-1.1,0.6,0.0153447157985735,0.505,0.392,0.185,0.1,0.0,W (+8),W (+8)
5.0,5.0,2022-10-26,22-353,TOR,PHI,0,4.466666666666667,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.7,-1,1.0,1.0,1.0,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,3.0,113.0,6.277777777777778,2.7,114.7,6.372222222222223,14.9,0.4,-0.5,-1.1,0.6,0.0153447157985735,0.505,0.392,0.185,0.1,0.0,W (+10),W (+10)
6.0,6.0,2022-10-28,22-355,TOR,PHI,0,8.75,2.0,5.0,.400,0.0,2.0,.000,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,2.3,-1,3.0,2.0,0.6666666666666666,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,1.0,71.0,3.9444444444444446,2.3,74.69999999999999,4.15,14.9,0.4,-0.5,-1.1,0.6,0.0153447157985735,0.505,0.392,0.185,0.1,0.0,L (-22),L (-22)
7.0,7.0,2022-10-31,22-358,TOR,ATL,0,5.366666666666666,2.0,3.0,.667,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.4,+1,2.0,1.0,0.5,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,3.0,108.0,6.0,4.4,119.89999999999998,6.66111111111111,14.9,0.4,-0.5,-1.1,0.6,0.0153447157985735,0.505,0.392,0.185,0.1,0.0,W (+30),W (+30)
8.0,8.0,2022-11-02,22-360,TOR,SAS,0,12.983333333333333,5.0,7.0,.714,3.0,3.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,10.8,+8,4.0,2.0,0.5,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,7.0,116.0,6.444444444444445,10.8,119.29999999999998,6.627777777777776,14.9,0.4,-0.5,-1.1,0.6,0.0153447157985735,0.505,0.392,0.185,0.1,0.0,W (+43),W (+43)
9.0,9.0,2022-11-04,22-362,TOR,DAL,0,3.6,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.4,-7,1.0,0.0,0.0,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,-1.0,65.0,3.611111111111111,-1.4,80.80000000000003,4.488888888888891,14.9,0.4,-0.5,-1.1,0.6,0.0153447157985735,0.505,0.392,0.185,0.1,0.0,L (-1),L (-1)
10.0,,2022-11-06,22-364,TOR,CHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,29,24,24,10,4,16,3,12,23,23,7,24,20,6,30,23,76.0,58.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.3684210526315789,0.5,0.3478260869565217,0.3636363636363636,0.4,0.4444444444444444,0.3809523809523809,0.6,0.6,0.4339622641509434,0.3432835820895522,0.875,0.3380281690140845,0.3636363636363636,0.6666666666666666,0.3896103896103896,0.4259259259259259,6,72.0,69.0,0.0833333333333333,0.0,18,,92.0,5.111111111111111,0.0,109.0,6.055555555555555,14.9,0.4,-0.5,-1.1,0.6,0.0153447157985735,0.505,0.392,0.185,0.1,0.0,W (+9),W (+9)
