Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Koloko,Shared Games with Dalano Banton,Shared Games with Fred VanVleet,Shared Games with Gary Trent Jr.,Shared Games with Jeff Dowtin,Shared Games with Joe Wieskamp,Shared Games with Juancho Hernangómez,Shared Games with Justin Champagnie,Shared Games with Khem Birch,Shared Games with Malachi Flynn,Shared Games with OG Anunoby,Shared Games with Otto Porter Jr.,Shared Games with Pascal Siakam,Shared Games with Precious Achiuwa,Shared Games with Ron Harper Jr.,Shared Games with Scottie Barnes,Shared Games with Thaddeus Young,Christian Koloko,Dalano Banton,Fred VanVleet,Gary Trent Jr.,Jeff Dowtin,Joe Wieskamp,Juancho Hernangómez,Justin Champagnie,Khem Birch,Malachi Flynn,OG Anunoby,Otto Porter Jr.,Pascal Siakam,Precious Achiuwa,Ron Harper Jr.,Scottie Barnes,Thaddeus Young,co_inf with Christian Koloko,co_inf with Dalano Banton,co_inf with Fred VanVleet,co_inf with Gary Trent Jr.,co_inf with Jeff Dowtin,co_inf with Joe Wieskamp,co_inf with Juancho Hernangómez,co_inf with Justin Champagnie,co_inf with Khem Birch,co_inf with Malachi Flynn,co_inf with OG Anunoby,co_inf with Otto Porter Jr.,co_inf with Pascal Siakam,co_inf with Precious Achiuwa,co_inf with Ron Harper Jr.,co_inf with Scottie Barnes,co_inf with Thaddeus Young,Shared Games with Jakob Poeltl,Jakob Poeltl,Luke Kornet,co_inf with Jakob Poeltl,co_inf with Luke Kornet,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,29-281,TOR,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,,65.0,3.611111111111111,0.0,85.0,4.722222222222222,18.0,5.0,-0.1,0.7,-0.8,0.0769397017505943,0.59,0.357,0.318,0.7,3.0,W (+3),W (+3)
2.0,,2022-10-21,29-283,TOR,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,,76.0,4.222222222222222,0.0,94.79999999999998,5.266666666666666,18.0,5.0,-0.1,0.7,-0.8,0.0769397017505943,0.59,0.357,0.318,0.7,3.0,L (-4),L (-4)
3.0,,2022-10-22,29-284,TOR,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,,79.0,4.388888888888889,0.0,93.8,5.211111111111111,18.0,5.0,-0.1,0.7,-0.8,0.0769397017505943,0.59,0.357,0.318,0.7,3.0,L (-3),L (-3)
4.0,1.0,2022-10-24,29-286,TOR,MIA,0,11.7,4.0,5.0,.800,2.0,2.0,1.000,0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,1.0,5.0,10.0,6.8,+1,3.0,2.0,0.6666666666666666,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,7.0,78.0,4.333333333333333,6.799999999999999,76.6,4.255555555555556,18.0,5.0,-0.1,0.7,-0.8,0.0769397017505943,0.59,0.357,0.318,0.7,3.0,W (+8),W (+8)
5.0,2.0,2022-10-26,29-288,TOR,PHI,0,17.25,5.0,9.0,.556,2.0,4.0,.500,1,2.0,.500,1.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,13.0,7.7,+11,5.0,3.0,0.6,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,5.0,111.0,6.166666666666667,7.299999999999997,110.1,6.116666666666666,18.0,5.0,-0.1,0.7,-0.8,0.0769397017505943,0.59,0.357,0.318,0.7,3.0,W (+10),W (+10)
6.0,3.0,2022-10-28,29-290,TOR,PHI,0,22.1,3.0,6.0,.500,1.0,2.0,.500,1,3.0,.333,0.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,8.0,6.7,-8,4.0,2.0,0.5,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,6.0,66.0,3.6666666666666665,6.3,70.69999999999999,3.927777777777777,18.0,5.0,-0.1,0.7,-0.8,0.0769397017505943,0.59,0.357,0.318,0.7,3.0,L (-22),L (-22)
7.0,4.0,2022-10-31,29-293,TOR,ATL,0,20.9,4.0,6.0,.667,1.0,3.0,.333,2,2.0,1.000,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,11.0,13.1,+9,3.0,3.0,1.0,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,10.0,101.0,5.611111111111111,12.3,111.99999999999996,6.22222222222222,18.0,5.0,-0.1,0.7,-0.8,0.0769397017505943,0.59,0.357,0.318,0.7,3.0,W (+30),W (+30)
8.0,5.0,2022-11-02,29-295,TOR,SAS,0,25.366666666666667,7.0,10.0,.700,3.0,5.0,.600,0,0.0,,2.0,6.0,8.0,2.0,2.0,1.0,1.0,4.0,17.0,17.5,+22,5.0,4.0,0.8,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,19.0,104.0,5.777777777777778,17.499999999999996,112.6,6.255555555555556,18.0,5.0,-0.1,0.7,-0.8,0.0769397017505943,0.59,0.357,0.318,0.7,3.0,W (+43),W (+43)
9.0,6.0,2022-11-04,29-297,TOR,DAL,0,29.616666666666667,6.0,13.0,.462,2.0,6.0,.333,3,4.0,.750,4.0,5.0,9.0,1.0,0.0,1.0,0.0,4.0,17.0,14.0,+20,7.0,4.0,0.5714285714285714,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,11.0,53.0,2.9444444444444446,12.8,66.60000000000001,3.7000000000000006,18.0,5.0,-0.1,0.7,-0.8,0.0769397017505943,0.59,0.357,0.318,0.7,3.0,L (-1),L (-1)
10.0,7.0,2022-11-06,29-299,TOR,CHI,0,22.183333333333334,4.0,10.0,.400,0.0,2.0,.000,0,0.0,,6.0,0.0,6.0,1.0,1.0,2.0,3.0,3.0,8.0,5.7,-6,8.0,4.0,0.5,54,28,63,61,24,9,38,3,19,50,61,8,66,51,9,71,48,58.0,31.0,69.0,66.0,25.0,9.0,42.0,5.0,20.0,53.0,67.0,8.0,71.0,55.0,9.0,77.0,54.0,0.9310344827586208,0.9032258064516128,0.9130434782608696,0.9242424242424242,0.96,1.0,0.9047619047619048,0.6,0.95,0.9433962264150944,0.9104477611940298,1.0,0.9295774647887324,0.9272727272727272,1.0,0.922077922077922,0.8888888888888888,26,72.0,69.0,0.3611111111111111,0.0,18,5.0,87.0,4.833333333333333,5.699999999999999,103.3,5.738888888888889,18.0,5.0,-0.1,0.7,-0.8,0.0769397017505943,0.59,0.357,0.318,0.7,3.0,W (+9),W (+9)
