Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Louis King,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tobias Harris,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,21-348,PHI,BOS,1.0,38.18333333333333,8.0,16.0,0.5,2.0,5.0,0.4,3.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,5.0,21.0,13.7,-6.0,11.0,6.0,0.5454545454545454,37,58,20,59,11,47,50,1,33,37,56,49,2,54,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,0.6607142857142857,0.7532467532467533,0.5405405405405406,0.7564102564102564,0.6875,0.8103448275862069,0.7575757575757576,0.0,1.0,0.0,0.4647887323943662,0.0,0.6491228070175439,0.7466666666666667,0.7101449275362319,0.08,0.7105263157894737,0.7567567567567568,18,6,38.0,79.0,80.0,0.225,0.1578947368421052,0.0,17,6.0,72.0,4.235294117647059,12.5,75.2,4.423529411764706,17.0,5.4,0.6,1.9,-1.2,0.1289161727349703,0.605,0.404,0.233,1.3,3.7,L (-9),L (-9)
2.0,2.0,2022-10-20,21-350,PHI,MIL,1.0,34.166666666666664,6.0,13.0,0.462,0.0,3.0,0.0,3.0,4.0,0.75,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,15.0,6.3,-7.0,10.0,6.0,0.6,37,58,20,59,11,47,50,1,33,37,56,49,2,54,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,0.6607142857142857,0.7532467532467533,0.5405405405405406,0.7564102564102564,0.6875,0.8103448275862069,0.7575757575757576,0.0,1.0,0.0,0.4647887323943662,0.0,0.6491228070175439,0.7466666666666667,0.7101449275362319,0.08,0.7105263157894737,0.7567567567567568,18,6,38.0,79.0,80.0,0.225,0.1578947368421052,0.0,17,-1.0,82.0,4.823529411764706,5.1000000000000005,66.99999999999999,3.9411764705882346,17.0,5.4,0.6,1.9,-1.2,0.1289161727349703,0.605,0.404,0.233,1.3,3.7,L (-2),L (-2)
3.0,3.0,2022-10-22,21-352,PHI,SAS,1.0,39.61666666666667,8.0,18.0,0.444,3.0,8.0,0.375,6.0,9.0,0.667,1.0,2.0,3.0,6.0,1.0,0.0,3.0,3.0,25.0,16.7,-11.0,10.0,5.0,0.5,37,58,20,59,11,47,50,1,33,37,56,49,2,54,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,0.6607142857142857,0.7532467532467533,0.5405405405405406,0.7564102564102564,0.6875,0.8103448275862069,0.7575757575757576,0.0,1.0,0.0,0.4647887323943662,0.0,0.6491228070175439,0.7466666666666667,0.7101449275362319,0.08,0.7105263157894737,0.7567567567567568,18,6,38.0,79.0,80.0,0.225,0.1578947368421052,0.0,17,5.0,83.0,4.882352941176471,14.3,72.29999999999998,4.252941176470587,17.0,5.4,0.6,1.9,-1.2,0.1289161727349703,0.605,0.404,0.233,1.3,3.7,L (-9),L (-9)
4.0,4.0,2022-10-24,21-354,PHI,IND,1.0,37.78333333333333,3.0,11.0,0.273,2.0,5.0,0.4,0.0,0.0,,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,8.0,3.6,4.0,6.0,1.0,0.1666666666666666,37,58,20,59,11,47,50,1,33,37,56,49,2,54,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,0.6607142857142857,0.7532467532467533,0.5405405405405406,0.7564102564102564,0.6875,0.8103448275862069,0.7575757575757576,0.0,1.0,0.0,0.4647887323943662,0.0,0.6491228070175439,0.7466666666666667,0.7101449275362319,0.08,0.7105263157894737,0.7567567567567568,18,6,38.0,79.0,80.0,0.225,0.1578947368421052,0.0,17,1.0,98.0,5.764705882352941,3.6,107.79999999999998,6.341176470588234,17.0,5.4,0.6,1.9,-1.2,0.1289161727349703,0.605,0.404,0.233,1.3,3.7,W (+14),W (+14)
5.0,5.0,2022-10-26,21-356,PHI,TOR,1.0,43.23333333333333,12.0,21.0,0.571,4.0,8.0,0.5,3.0,4.0,0.75,1.0,4.0,5.0,6.0,2.0,1.0,4.0,0.0,31.0,25.5,-1.0,13.0,8.0,0.6153846153846154,37,58,20,59,11,47,50,1,33,37,56,49,2,54,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,0.6607142857142857,0.7532467532467533,0.5405405405405406,0.7564102564102564,0.6875,0.8103448275862069,0.7575757575757576,0.0,1.0,0.0,0.4647887323943662,0.0,0.6491228070175439,0.7466666666666667,0.7101449275362319,0.08,0.7105263157894737,0.7567567567567568,18,6,38.0,79.0,80.0,0.225,0.1578947368421052,0.0,17,16.0,60.0,3.5294117647058822,24.300000000000008,64.3,3.782352941176472,17.0,5.4,0.6,1.9,-1.2,0.1289161727349703,0.605,0.404,0.233,1.3,3.7,L (-10),L (-10)
6.0,6.0,2022-10-28,21-358,PHI,TOR,1.0,39.81666666666667,15.0,20.0,0.75,9.0,12.0,0.75,5.0,6.0,0.833,0.0,8.0,8.0,4.0,1.0,0.0,2.0,3.0,44.0,38.6,29.0,8.0,6.0,0.75,37,58,20,59,11,47,50,1,33,37,56,49,2,54,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,0.6607142857142857,0.7532467532467533,0.5405405405405406,0.7564102564102564,0.6875,0.8103448275862069,0.7575757575757576,0.0,1.0,0.0,0.4647887323943662,0.0,0.6491228070175439,0.7466666666666667,0.7101449275362319,0.08,0.7105263157894737,0.7567567567567568,18,6,38.0,79.0,80.0,0.225,0.1578947368421052,0.0,17,29.0,72.0,4.235294117647059,36.6,57.09999999999999,3.358823529411764,17.0,5.4,0.6,1.9,-1.2,0.1289161727349703,0.605,0.404,0.233,1.3,3.7,W (+22),W (+22)
7.0,7.0,2022-10-29,21-359,PHI,CHI,1.0,29.28333333333333,5.0,14.0,0.357,2.0,6.0,0.333,2.0,3.0,0.667,0.0,5.0,5.0,3.0,1.0,0.0,2.0,4.0,14.0,6.8,5.0,8.0,3.0,0.375,37,58,20,59,11,47,50,1,33,37,56,49,2,54,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,0.6607142857142857,0.7532467532467533,0.5405405405405406,0.7564102564102564,0.6875,0.8103448275862069,0.7575757575757576,0.0,1.0,0.0,0.4647887323943662,0.0,0.6491228070175439,0.7466666666666667,0.7101449275362319,0.08,0.7105263157894737,0.7567567567567568,18,6,38.0,79.0,80.0,0.225,0.1578947368421052,0.0,17,4.0,86.0,5.0588235294117645,6.000000000000002,87.0,5.117647058823529,17.0,5.4,0.6,1.9,-1.2,0.1289161727349703,0.605,0.404,0.233,1.3,3.7,W (+5),W (+5)
8.0,8.0,2022-10-31,21-361,PHI,WAS,1.0,34.416666666666664,12.0,22.0,0.545,2.0,6.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,3.0,3.0,28.0,17.2,-4.0,16.0,10.0,0.625,37,58,20,59,11,47,50,1,33,37,56,49,2,54,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,0.6607142857142857,0.7532467532467533,0.5405405405405406,0.7564102564102564,0.6875,0.8103448275862069,0.7575757575757576,0.0,1.0,0.0,0.4647887323943662,0.0,0.6491228070175439,0.7466666666666667,0.7101449275362319,0.08,0.7105263157894737,0.7567567567567568,18,6,38.0,79.0,80.0,0.225,0.1578947368421052,0.0,17,8.0,85.0,5.0,16.4,92.2,5.423529411764706,17.0,5.4,0.6,1.9,-1.2,0.1289161727349703,0.605,0.404,0.233,1.3,3.7,W (+7),W (+7)
9.0,9.0,2022-11-02,21-363,PHI,WAS,1.0,43.15,11.0,20.0,0.55,5.0,9.0,0.556,5.0,8.0,0.625,0.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,32.0,24.2,-2.0,11.0,6.0,0.5454545454545454,37,58,20,59,11,47,50,1,33,37,56,49,2,54,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,0.6607142857142857,0.7532467532467533,0.5405405405405406,0.7564102564102564,0.6875,0.8103448275862069,0.7575757575757576,0.0,1.0,0.0,0.4647887323943662,0.0,0.6491228070175439,0.7466666666666667,0.7101449275362319,0.08,0.7105263157894737,0.7567567567567568,18,6,38.0,79.0,80.0,0.225,0.1578947368421052,0.0,17,10.0,70.0,4.117647058823529,22.2,61.8,3.635294117647059,17.0,5.4,0.6,1.9,-1.2,0.1289161727349703,0.605,0.404,0.233,1.3,3.7,L (-10),L (-10)
10.0,10.0,2022-11-04,22-000,PHI,NYK,1.0,39.05,10.0,29.0,0.345,4.0,13.0,0.308,7.0,7.0,1.0,1.0,2.0,3.0,7.0,1.0,0.0,4.0,3.0,31.0,16.7,2.0,16.0,6.0,0.375,37,58,20,59,11,47,50,1,33,37,56,49,2,54,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,0.6607142857142857,0.7532467532467533,0.5405405405405406,0.7564102564102564,0.6875,0.8103448275862069,0.7575757575757576,0.0,1.0,0.0,0.4647887323943662,0.0,0.6491228070175439,0.7466666666666667,0.7101449275362319,0.08,0.7105263157894737,0.7567567567567568,18,6,38.0,79.0,80.0,0.225,0.1578947368421052,0.0,17,2.0,69.0,4.0588235294117645,13.900000000000006,61.1,3.594117647058824,17.0,5.4,0.6,1.9,-1.2,0.1289161727349703,0.605,0.404,0.233,1.3,3.7,L (-2),L (-2)
