Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Louis King,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Furkan Korkmaz,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-18,30-095,PHI,BOS,1,34.233333333333334,7.0,14.0,.500,3.0,6.0,.500,1,2.0,.500,1.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,18.0,13.4,-1,8.0,4.0,0.5,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,7.0,71.0,3.736842105263158,13.0,74.7,3.931578947368421,0.1148391193903471,L (-9),L (-9)
2.0,2.0,2022-10-20,30-097,PHI,MIL,1,33.38333333333333,4.0,10.0,.400,1.0,4.0,.250,0,0.0,,1.0,9.0,10.0,2.0,1.0,2.0,1.0,2.0,9.0,9.0,+2,6.0,3.0,0.5,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,13.0,68.0,3.5789473684210527,8.999999999999996,63.1,3.321052631578948,0.1148391193903471,L (-2),L (-2)
3.0,3.0,2022-10-22,30-099,PHI,SAS,1,35.666666666666664,6.0,11.0,.545,3.0,6.0,.500,0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,15.0,10.5,-6,5.0,3.0,0.6,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,9.0,79.0,4.157894736842105,10.499999999999996,76.1,4.005263157894737,0.1148391193903471,L (-9),L (-9)
4.0,4.0,2022-10-24,30-101,PHI,IND,1,28.55,7.0,14.0,.500,4.0,10.0,.400,0,0.0,,2.0,6.0,8.0,2.0,1.0,1.0,0.0,3.0,18.0,16.1,+14,4.0,3.0,0.75,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,16.0,83.0,4.368421052631579,16.099999999999998,95.29999999999998,5.01578947368421,0.1148391193903471,W (+14),W (+14)
5.0,5.0,2022-10-26,30-103,PHI,TOR,1,34.25,1.0,5.0,.200,1.0,3.0,.333,0,0.0,,2.0,6.0,8.0,6.0,1.0,0.0,1.0,3.0,3.0,6.1,0,2.0,0.0,0.0,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,12.0,64.0,3.3684210526315788,6.099999999999999,82.5,4.342105263157895,0.1148391193903471,L (-10),L (-10)
6.0,6.0,2022-10-28,30-105,PHI,TOR,1,28.0,5.0,14.0,.357,2.0,8.0,.250,1,1.0,1.000,1.0,4.0,5.0,3.0,2.0,0.0,1.0,2.0,13.0,9.4,+12,6.0,3.0,0.5,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,7.0,94.0,4.947368421052632,9.0,84.69999999999997,4.457894736842104,0.1148391193903471,W (+22),W (+22)
7.0,7.0,2022-10-29,30-106,PHI,CHI,1,31.166666666666668,4.0,6.0,.667,3.0,4.0,.750,2,2.0,1.000,2.0,3.0,5.0,3.0,1.0,2.0,1.0,1.0,13.0,15.8,-2,2.0,1.0,0.5,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,15.0,75.0,3.947368421052632,14.999999999999998,78.0,4.105263157894737,0.1148391193903471,W (+5),W (+5)
8.0,8.0,2022-10-31,30-108,PHI,WAS,1,34.28333333333333,6.0,10.0,.600,1.0,3.0,.333,3,7.0,.429,0.0,5.0,5.0,1.0,4.0,1.0,0.0,3.0,16.0,15.5,0,7.0,5.0,0.7142857142857143,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,10.0,83.0,4.368421052631579,14.299999999999995,94.29999999999998,4.963157894736841,0.1148391193903471,W (+7),W (+7)
9.0,9.0,2022-11-02,30-110,PHI,WAS,1,33.916666666666664,6.0,12.0,.500,4.0,5.0,.800,0,0.0,,2.0,7.0,9.0,4.0,0.0,0.0,1.0,1.0,16.0,14.9,-7,7.0,2.0,0.2857142857142857,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,16.0,64.0,3.3684210526315788,14.9,69.10000000000001,3.6368421052631583,0.1148391193903471,L (-10),L (-10)
10.0,10.0,2022-11-04,30-112,PHI,NYK,1,37.45,9.0,15.0,.600,3.0,7.0,.429,2,2.0,1.000,2.0,7.0,9.0,4.0,1.0,2.0,2.0,2.0,23.0,22.0,-2,8.0,6.0,0.75,49,71,35,71,14,54,60,2,1,2,45,51,70,62,2,68,56,56.0,77.0,37.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,60.0,0.875,0.922077922077922,0.945945945945946,0.9102564102564102,0.875,0.9310344827586208,0.9090909090909092,0.1176470588235294,1.0,1.0,0.6338028169014085,0.0,0.8947368421052632,0.9333333333333332,0.8985507246376812,0.08,0.8947368421052632,0.9333333333333332,17,7,38.0,79.0,80.0,0.2125,0.1842105263157894,0.0,19,20.0,51.0,2.6842105263157894,21.2,53.8,2.831578947368421,0.1148391193903471,L (-2),L (-2)
