Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Mac McClung,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Danuel House Jr.,De'Anthony Melton,Georges Niang,Jaden Springer,James Harden,Joel Embiid,Julian Champagnie,Louis King,Mac McClung,Matisse Thybulle,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Saben Lee,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Georges Niang,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Julian Champagnie,co_inf with Louis King,co_inf with Mac McClung,co_inf with Matisse Thybulle,co_inf with Michael Foster Jr.,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Saben Lee,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,Shared Games with Jalen McDaniels,Shared Games with Dewayne Dedmon,Dewayne Dedmon,Grant Williams,Jalen McDaniels,co_inf with Jalen McDaniels,co_inf with Dewayne Dedmon,co_inf with Grant Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-18,25-086,PHI,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,78.0,4.588235294117647,0.0,87.7,5.158823529411765,9.3,0.1,-4.4,-3.3,-1.0,0.014817950889077,0.552,0.414,0.324,-0.2,-0.2,L (-9),L (-9)
2.0,,2022-10-20,25-088,PHI,MIL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,81.0,4.764705882352941,0.0,72.1,4.241176470588235,9.3,0.1,-4.4,-3.3,-1.0,0.014817950889077,0.552,0.414,0.324,-0.2,-0.2,L (-2),L (-2)
3.0,,2022-10-22,25-090,PHI,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,88.0,5.176470588235294,0.0,86.6,5.094117647058823,9.3,0.1,-4.4,-3.3,-1.0,0.014817950889077,0.552,0.414,0.324,-0.2,-0.2,L (-9),L (-9)
4.0,1.0,2022-10-24,25-092,PHI,IND,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-4,0.0,0.0,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,-1.0,100.0,5.882352941176471,-0.7,112.09999999999998,6.594117647058822,9.3,0.1,-4.4,-3.3,-1.0,0.014817950889077,0.552,0.414,0.324,-0.2,-0.2,W (+14),W (+14)
5.0,,2022-10-26,25-094,PHI,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,76.0,4.470588235294118,0.0,88.60000000000001,5.211764705882353,9.3,0.1,-4.4,-3.3,-1.0,0.014817950889077,0.552,0.414,0.324,-0.2,-0.2,L (-10),L (-10)
6.0,2.0,2022-10-28,25-096,PHI,TOR,0,2.25,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,+3,0.0,0.0,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,2.0,99.0,5.823529411764706,1.0,92.69999999999996,5.452941176470586,9.3,0.1,-4.4,-3.3,-1.0,0.014817950889077,0.552,0.414,0.324,-0.2,-0.2,W (+22),W (+22)
7.0,,2022-10-29,25-097,PHI,CHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,90.0,5.294117647058823,0.0,93.0,5.470588235294118,9.3,0.1,-4.4,-3.3,-1.0,0.014817950889077,0.552,0.414,0.324,-0.2,-0.2,W (+5),W (+5)
8.0,,2022-10-31,25-099,PHI,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,93.0,5.470588235294118,0.0,108.6,6.388235294117647,9.3,0.1,-4.4,-3.3,-1.0,0.014817950889077,0.552,0.414,0.324,-0.2,-0.2,W (+7),W (+7)
9.0,,2022-11-02,25-101,PHI,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,,80.0,4.705882352941177,0.0,84.0,4.941176470588236,9.3,0.1,-4.4,-3.3,-1.0,0.014817950889077,0.552,0.414,0.324,-0.2,-0.2,L (-10),L (-10)
10.0,3.0,2022-11-04,25-103,PHI,NYK,0,11.483333333333333,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,-5,1.0,0.0,0.0,30,33,34,16,18,27,2,2,22,28,32,37,37,35,20,56.0,77.0,78.0,16.0,58.0,66.0,17.0,1.0,2.0,71.0,1.0,57.0,75.0,69.0,25.0,76.0,74.0,60.0,0.5357142857142857,0.4285714285714285,0.4358974358974359,1.0,0.3103448275862069,0.4090909090909091,0.1176470588235294,0.0,1.0,0.3098591549295774,0.0,0.4912280701754385,0.4266666666666667,0.5362318840579711,0.0,0.4868421052631579,0.4729729729729729,0.3333333333333333,10,5,38.0,79.0,80.0,0.125,0.131578947368421,0.0,17,1.0,70.0,4.117647058823529,1.0,74.0,4.352941176470588,9.3,0.1,-4.4,-3.3,-1.0,0.014817950889077,0.552,0.414,0.324,-0.2,-0.2,L (-2),L (-2)
