Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Danuel House Jr.,Shared Games with De'Anthony Melton,Shared Games with Furkan Korkmaz,Shared Games with Georges Niang,Shared Games with Jaden Springer,Shared Games with James Harden,Shared Games with Joel Embiid,Shared Games with Julian Champagnie,Shared Games with Matisse Thybulle,Shared Games with Montrezl Harrell,Shared Games with P.J. Tucker,Shared Games with Paul Reed,Shared Games with Saben Lee,Shared Games with Shake Milton,Shared Games with Tobias Harris,Shared Games with Tyrese Maxey,Shared Games with Reggie Jackson,Shared Games with Dewayne Dedmon,Danuel House Jr.,De'Anthony Melton,Dewayne Dedmon,Furkan Korkmaz,Georges Niang,Grant Williams,Jaden Springer,James Harden,Joel Embiid,Louis King,Mac McClung,Michael Foster Jr.,Montrezl Harrell,P.J. Tucker,Paul Reed,Shake Milton,Tobias Harris,Tyrese Maxey,co_inf with Danuel House Jr.,co_inf with De'Anthony Melton,co_inf with Furkan Korkmaz,co_inf with Georges Niang,co_inf with Grant Williams,co_inf with Jaden Springer,co_inf with James Harden,co_inf with Joel Embiid,co_inf with Montrezl Harrell,co_inf with P.J. Tucker,co_inf with Paul Reed,co_inf with Shake Milton,co_inf with Tobias Harris,co_inf with Tyrese Maxey,co_inf with Dewayne Dedmon,co_inf with Louis King,co_inf with Mac McClung,co_inf with Michael Foster Jr.,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,24-261,CHO,SAS,0,23.33333333333333,2.0,5.0,.400,1.0,2.0,.500,0,0.0,,0.0,5.0,5.0,2.0,1.0,1.0,0.0,0.0,5.0,6.9,+13,3.0,1.0,0.3333333333333333,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,9.0,69.0,2.0294117647058822,6.9,80.8,2.376470588235294,0.016934801016088,W (+27),W (+27)
2.0,2.0,2022-10-21,24-263,CHO,NOP,0,26.5,5.0,7.0,.714,4.0,4.0,1.000,0,0.0,,0.0,5.0,5.0,2.0,0.0,1.0,1.0,4.0,14.0,12.1,+7,3.0,1.0,0.3333333333333333,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,14.0,67.0,1.9705882352941173,12.1,59.99999999999999,1.764705882352941,0.016934801016088,L (-12),L (-12)
3.0,3.0,2022-10-23,24-265,CHO,ATL,0,20.35,3.0,6.0,.500,1.0,3.0,.333,2,2.0,1.000,1.0,4.0,5.0,3.0,0.0,1.0,1.0,3.0,9.0,8.5,+13,3.0,2.0,0.6666666666666666,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,9.0,79.0,2.323529411764706,7.699999999999996,78.89999999999999,2.3205882352941174,0.016934801016088,W (+17),W (+17)
4.0,4.0,2022-10-26,24-268,CHO,NYK,0,22.8,6.0,10.0,.600,3.0,3.0,1.000,2,2.0,1.000,1.0,5.0,6.0,2.0,1.0,1.0,1.0,4.0,17.0,15.1,+14,7.0,3.0,0.4285714285714285,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,14.0,85.0,2.5,14.299999999999995,97.09999999999998,2.855882352941176,0.016934801016088,L (-3),L (-3)
5.0,5.0,2022-10-28,24-270,CHO,ORL,0,22.08333333333333,1.0,7.0,.143,0.0,2.0,.000,4,4.0,1.000,1.0,6.0,7.0,2.0,1.0,0.0,1.0,3.0,6.0,4.2,-8,5.0,1.0,0.2,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,4.0,72.0,2.117647058823529,2.6000000000000005,86.00000000000001,2.5294117647058827,0.016934801016088,L (-20),L (-20)
6.0,6.0,2022-10-29,24-271,CHO,GSW,0,32.483333333333334,4.0,10.0,.400,2.0,5.0,.400,2,2.0,1.000,2.0,9.0,11.0,2.0,0.0,0.0,2.0,1.0,12.0,9.7,-1,5.0,2.0,0.4,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,11.0,90.0,2.647058823529412,8.899999999999997,84.79999999999998,2.494117647058823,0.016934801016088,W (+7),W (+7)
7.0,7.0,2022-10-31,24-273,CHO,SAC,0,27.03333333333333,5.0,11.0,.455,3.0,4.0,.750,0,0.0,,1.0,0.0,1.0,4.0,2.0,0.0,2.0,5.0,13.0,8.8,-6,7.0,2.0,0.2857142857142857,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,7.0,83.0,2.4411764705882355,8.8,84.2,2.476470588235294,0.016934801016088,L (-7),L (-7)
8.0,8.0,2022-11-02,24-275,CHO,CHI,0,35.63333333333333,5.0,18.0,.278,0.0,5.0,.000,1,2.0,.500,3.0,3.0,6.0,2.0,5.0,2.0,2.0,2.0,11.0,8.0,-13,13.0,5.0,0.3846153846153846,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,4.0,89.0,2.617647058823529,7.599999999999996,101.0,2.9705882352941178,0.016934801016088,L (-18),L (-18)
9.0,9.0,2022-11-04,24-277,CHO,MEM,1,21.466666666666665,1.0,5.0,.200,0.0,4.0,.000,2,2.0,1.000,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,4.0,0.8,-33,1.0,1.0,1.0,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,-1.0,81.0,2.3823529411764706,-2.220446049250313e-16,84.0,2.4705882352941178,0.016934801016088,L (-31),L (-31)
10.0,10.0,2022-11-05,24-278,CHO,BRK,0,27.766666666666666,3.0,7.0,.429,0.0,3.0,.000,0,0.0,,2.0,4.0,6.0,3.0,1.0,0.0,2.0,2.0,6.0,5.2,-12,4.0,3.0,0.75,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,7.0,64.0,1.8823529411764703,5.199999999999999,69.8,2.052941176470588,0.016934801016088,L (-4),L (-4)
11.0,11.0,2022-11-07,24-280,CHO,WAS,0,27.383333333333333,4.0,9.0,.444,1.0,4.0,.250,0,1.0,.000,2.0,5.0,7.0,1.0,3.0,2.0,1.0,3.0,9.0,9.7,+5,5.0,3.0,0.6,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,11.0,67.0,1.9705882352941173,9.699999999999996,74.79999999999998,2.2,0.016934801016088,L (-8),L (-8)
12.0,12.0,2022-11-09,24-282,CHO,POR,0,20.45,3.0,7.0,.429,1.0,3.0,.333,0,0.0,,2.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,7.0,5.9,-16,4.0,2.0,0.5,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,5.0,54.0,1.588235294117647,5.9,57.2,1.6823529411764706,0.016934801016088,L (-10),L (-10)
13.0,13.0,2022-11-10,24-283,CHO,MIA,0,34.166666666666664,6.0,10.0,.600,3.0,5.0,.600,1,2.0,.500,1.0,3.0,4.0,4.0,0.0,0.0,3.0,4.0,16.0,10.8,-5,5.0,3.0,0.6,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,9.0,94.0,2.764705882352941,10.399999999999997,95.9,2.820588235294118,0.016934801016088,L (-5),L (-5)
14.0,14.0,2022-11-12,24-285,CHO,MIA,0,27.633333333333333,3.0,6.0,.500,1.0,2.0,.500,2,2.0,1.000,0.0,4.0,4.0,4.0,0.0,0.0,1.0,2.0,9.0,8.2,-6,4.0,2.0,0.5,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0,15,19,10,19,7,15,18,8,36,5,17,21,12,20,17,18,39,7,56.0,77.0,38.0,37.0,78.0,79.0,16.0,58.0,66.0,1.0,2.0,1.0,57.0,75.0,69.0,76.0,74.0,60.0,0.2678571428571428,0.2467532467532467,0.2702702702702703,0.2435897435897435,0.0,0.4375,0.2586206896551724,0.2727272727272727,0.087719298245614,0.2266666666666666,0.3043478260869565,0.2631578947368421,0.2297297297297297,0.3,0.1842105263157894,0.0,0.0,0.0,34,8.0,74.0,2.176470588235294,7.399999999999999,87.00000000000001,2.558823529411765,0.016934801016088,L (-17),L (-17)
