Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,25-093,MIA,CHI,1.0,34.0,5.0,15.0,0.333,0.0,0.0,,2.0,3.0,0.667,1.0,8.0,9.0,2.0,0.0,1.0,5.0,4.0,12.0,1.7,-15.0,15.0,5.0,0.3333333333333333,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,1.0,66.0,3.6666666666666665,0.899999999999995,74.7,4.15,20.1,7.4,1.5,0.8,0.8,0.1703241617466859,0.592,0.011,0.361,2.3,3.6,L (-8),L (-8)
2.0,2.0,2022-10-21,25-095,MIA,BOS,1.0,34.88333333333333,8.0,11.0,0.727,0.0,0.0,,3.0,4.0,0.75,3.0,5.0,8.0,5.0,2.0,0.0,5.0,4.0,19.0,16.6,20.0,11.0,8.0,0.7272727272727273,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,14.0,70.0,3.888888888888889,15.399999999999997,80.9,4.4944444444444445,20.1,7.4,1.5,0.8,0.8,0.1703241617466859,0.592,0.011,0.361,2.3,3.6,L (-7),L (-7)
3.0,3.0,2022-10-22,25-096,MIA,TOR,1.0,35.7,4.0,6.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.0,7.0,7.0,1.0,0.0,0.0,3.0,3.0,10.0,6.0,5.0,5.0,4.0,0.8,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,7.0,75.0,4.166666666666667,5.199999999999999,83.60000000000001,4.644444444444445,20.1,7.4,1.5,0.8,0.8,0.1703241617466859,0.592,0.011,0.361,2.3,3.6,W (+3),W (+3)
4.0,4.0,2022-10-24,25-098,MIA,TOR,1.0,37.68333333333333,4.0,14.0,0.286,0.0,0.0,,6.0,6.0,1.0,4.0,6.0,10.0,3.0,1.0,2.0,3.0,1.0,14.0,11.5,5.0,14.0,4.0,0.2857142857142857,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,7.0,52.0,2.888888888888889,9.099999999999996,49.3,2.738888888888889,20.1,7.4,1.5,0.8,0.8,0.1703241617466859,0.592,0.011,0.361,2.3,3.6,L (-8),L (-8)
5.0,5.0,2022-10-26,25-100,MIA,POR,1.0,28.35,6.0,11.0,0.545,0.0,1.0,0.0,6.0,7.0,0.857,3.0,5.0,8.0,3.0,1.0,0.0,3.0,3.0,18.0,14.8,17.0,10.0,6.0,0.6,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,9.0,88.0,4.888888888888889,12.400000000000002,92.0,5.111111111111111,20.1,7.4,1.5,0.8,0.8,0.1703241617466859,0.592,0.011,0.361,2.3,3.6,W (+21),W (+21)
6.0,6.0,2022-10-27,25-101,MIA,GSW,1.0,37.73333333333333,10.0,13.0,0.769,0.0,0.0,,6.0,8.0,0.75,4.0,4.0,8.0,1.0,4.0,3.0,5.0,2.0,26.0,25.1,-12.0,13.0,10.0,0.7692307692307693,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,16.0,73.0,4.055555555555555,22.700000000000003,96.3,5.35,20.1,7.4,1.5,0.8,0.8,0.1703241617466859,0.592,0.011,0.361,2.3,3.6,L (-13),L (-13)
7.0,7.0,2022-10-29,25-103,MIA,SAC,1.0,37.71666666666667,9.0,16.0,0.563,0.0,0.0,,5.0,6.0,0.833,2.0,4.0,6.0,4.0,0.0,2.0,1.0,6.0,23.0,18.4,6.0,16.0,9.0,0.5625,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,12.0,36.0,2.0,16.4,56.8,3.1555555555555554,20.1,7.4,1.5,0.8,0.8,0.1703241617466859,0.592,0.011,0.361,2.3,3.6,L (-6),L (-6)
8.0,8.0,2022-11-01,25-106,MIA,GSW,1.0,37.18333333333333,8.0,15.0,0.533,0.0,0.0,,3.0,3.0,1.0,1.0,6.0,7.0,6.0,3.0,1.0,2.0,4.0,19.0,18.5,0.0,15.0,8.0,0.5333333333333333,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,16.0,86.0,4.777777777777778,17.3,93.7,5.205555555555556,20.1,7.4,1.5,0.8,0.8,0.1703241617466859,0.592,0.011,0.361,2.3,3.6,W (+7),W (+7)
9.0,9.0,2022-11-02,25-107,MIA,SAC,1.0,32.1,9.0,16.0,0.563,0.0,0.0,,2.0,2.0,1.0,2.0,9.0,11.0,6.0,0.0,0.0,4.0,5.0,20.0,14.7,2.0,16.0,9.0,0.5625,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,15.0,62.0,3.4444444444444446,13.9,66.8,3.711111111111111,20.1,7.4,1.5,0.8,0.8,0.1703241617466859,0.592,0.011,0.361,2.3,3.6,W (+3),W (+3)
10.0,10.0,2022-11-04,25-109,MIA,IND,1.0,33.86666666666667,7.0,14.0,0.5,0.0,1.0,0.0,4.0,4.0,1.0,3.0,7.0,10.0,4.0,1.0,0.0,5.0,4.0,18.0,12.4,3.0,13.0,7.0,0.5384615384615384,65,15,28,4,37,63,49,14,60,51,73,12,8,28,64,6,39,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.9154929577464788,1.0,0.7368421052631579,0.2666666666666666,0.8809523809523809,0.9264705882352942,0.9074074074074074,0.7777777777777778,0.0,0.9375,0.9272727272727272,0.9125,0.8,0.8888888888888888,0.9032258064516128,0.9552238805970148,0.8571428571428571,0.9285714285714286,18,62.0,23.0,0.2903225806451613,0.0,18,10.0,47.0,2.611111111111111,10.8,58.900000000000006,3.2722222222222226,20.1,7.4,1.5,0.8,0.8,0.1703241617466859,0.592,0.011,0.361,2.3,3.6,L (-2),L (-2)
