Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Trent Forrest,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Trent Forrest,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,co_inf with Cody Zeller,co_inf with Jamaree Bouyea,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,34-042,CLE,TOR,0,20.883333333333333,3.0,6.0,.500,1.0,4.0,.250,1,1.0,1.000,0.0,7.0,7.0,2.0,0.0,0.0,1.0,2.0,8.0,6.7,+4,2.0,2.0,1.0,40,39,32,14,35,39,41,3,37,29,9,22,6,18,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0,18,19,18,1,11,20,10,4,17,11,20,9,2,19,1,13,75.0,71.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,23.0,67.0,7.0,42.0,0.24,0.2676056338028169,0.2619047619047619,0.2941176470588235,0.1851851851851851,0.2222222222222222,0.265625,0.2,0.25,0.0,1.0,0.064516129032258,0.0,0.2835820895522388,0.1428571428571428,0.3095238095238095,0.0,0.0,30,9.0,58.0,1.933333333333333,6.3,59.3,1.9766666666666663,13.1,2.6,0.6,0.2,0.4,0.018046117856745,0.548,0.698,0.215,0.8,0.6,L (-3),L (-3)
2.0,2.0,2022-10-22,34-045,CLE,CHI,0,22.83333333333333,5.0,9.0,.556,5.0,6.0,.833,0,0.0,,0.0,12.0,12.0,4.0,0.0,1.0,0.0,1.0,15.0,17.4,+27,3.0,0.0,0.0,40,39,32,14,35,39,41,3,37,29,9,22,6,18,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0,18,19,18,1,11,20,10,4,17,11,20,9,2,19,1,13,75.0,71.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,23.0,67.0,7.0,42.0,0.24,0.2676056338028169,0.2619047619047619,0.2941176470588235,0.1851851851851851,0.2222222222222222,0.265625,0.2,0.25,0.0,1.0,0.064516129032258,0.0,0.2835820895522388,0.1428571428571428,0.3095238095238095,0.0,0.0,30,23.0,61.0,2.033333333333333,17.400000000000002,76.1,2.536666666666666,13.1,2.6,0.6,0.2,0.4,0.018046117856745,0.548,0.698,0.215,0.8,0.6,W (+32),W (+32)
3.0,3.0,2022-10-23,34-046,CLE,WAS,0,14.366666666666667,2.0,6.0,.333,1.0,4.0,.250,0,0.0,,0.0,7.0,7.0,0.0,0.0,0.0,1.0,1.0,5.0,2.3,+2,2.0,1.0,0.5,40,39,32,14,35,39,41,3,37,29,9,22,6,18,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0,18,19,18,1,11,20,10,4,17,11,20,9,2,19,1,13,75.0,71.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,23.0,67.0,7.0,42.0,0.24,0.2676056338028169,0.2619047619047619,0.2941176470588235,0.1851851851851851,0.2222222222222222,0.265625,0.2,0.25,0.0,1.0,0.064516129032258,0.0,0.2835820895522388,0.1428571428571428,0.3095238095238095,0.0,0.0,30,5.0,77.0,2.566666666666667,2.300000000000001,83.9,2.796666666666667,13.1,2.6,0.6,0.2,0.4,0.018046117856745,0.548,0.698,0.215,0.8,0.6,W (+10),W (+10)
4.0,4.0,2022-10-26,34-049,CLE,ORL,0,18.98333333333333,1.0,7.0,.143,0.0,5.0,.000,2,2.0,1.000,0.0,7.0,7.0,4.0,0.0,0.0,1.0,1.0,4.0,3.0,+5,2.0,1.0,0.5,40,39,32,14,35,39,41,3,37,29,9,22,6,18,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0,18,19,18,1,11,20,10,4,17,11,20,9,2,19,1,13,75.0,71.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,23.0,67.0,7.0,42.0,0.24,0.2676056338028169,0.2619047619047619,0.2941176470588235,0.1851851851851851,0.2222222222222222,0.265625,0.2,0.25,0.0,1.0,0.064516129032258,0.0,0.2835820895522388,0.1428571428571428,0.3095238095238095,0.0,0.0,30,5.0,54.0,1.8,2.200000000000001,53.50000000000001,1.7833333333333337,13.1,2.6,0.6,0.2,0.4,0.018046117856745,0.548,0.698,0.215,0.8,0.6,W (+11),W (+11)
5.0,5.0,2022-10-28,34-051,CLE,BOS,0,20.883333333333333,3.0,7.0,.429,2.0,4.0,.500,1,2.0,.500,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,9.0,4.6,-10,3.0,1.0,0.3333333333333333,40,39,32,14,35,39,41,3,37,29,9,22,6,18,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0,18,19,18,1,11,20,10,4,17,11,20,9,2,19,1,13,75.0,71.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,23.0,67.0,7.0,42.0,0.24,0.2676056338028169,0.2619047619047619,0.2941176470588235,0.1851851851851851,0.2222222222222222,0.265625,0.2,0.25,0.0,1.0,0.064516129032258,0.0,0.2835820895522388,0.1428571428571428,0.3095238095238095,0.0,0.0,30,4.0,93.0,3.1,4.2,99.6,3.32,13.1,2.6,0.6,0.2,0.4,0.018046117856745,0.548,0.698,0.215,0.8,0.6,W (+9),W (+9)
6.0,6.0,2022-10-30,34-053,CLE,NYK,0,22.48333333333333,9.0,14.0,.643,8.0,13.0,.615,3,3.0,1.000,2.0,6.0,8.0,1.0,0.0,0.0,1.0,1.0,29.0,25.3,+16,1.0,1.0,1.0,40,39,32,14,35,39,41,3,37,29,9,22,6,18,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0,18,19,18,1,11,20,10,4,17,11,20,9,2,19,1,13,75.0,71.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,23.0,67.0,7.0,42.0,0.24,0.2676056338028169,0.2619047619047619,0.2941176470588235,0.1851851851851851,0.2222222222222222,0.265625,0.2,0.25,0.0,1.0,0.064516129032258,0.0,0.2835820895522388,0.1428571428571428,0.3095238095238095,0.0,0.0,30,20.0,69.0,2.3,24.100000000000005,83.0,2.7666666666666666,13.1,2.6,0.6,0.2,0.4,0.018046117856745,0.548,0.698,0.215,0.8,0.6,W (+13),W (+13)
7.0,7.0,2022-11-02,34-056,CLE,BOS,0,14.566666666666666,2.0,10.0,.200,0.0,5.0,.000,4,5.0,.800,1.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,8.0,1.9,-4,5.0,2.0,0.4,40,39,32,14,35,39,41,3,37,29,9,22,6,18,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0,18,19,18,1,11,20,10,4,17,11,20,9,2,19,1,13,75.0,71.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,23.0,67.0,7.0,42.0,0.24,0.2676056338028169,0.2619047619047619,0.2941176470588235,0.1851851851851851,0.2222222222222222,0.265625,0.2,0.25,0.0,1.0,0.064516129032258,0.0,0.2835820895522388,0.1428571428571428,0.3095238095238095,0.0,0.0,30,-3.0,51.0,1.7,0.2999999999999994,71.0,2.3666666666666667,13.1,2.6,0.6,0.2,0.4,0.018046117856745,0.548,0.698,0.215,0.8,0.6,W (+1),W (+1)
8.0,8.0,2022-11-04,34-058,CLE,DET,0,23.433333333333334,7.0,10.0,.700,4.0,7.0,.571,3,4.0,.750,4.0,4.0,8.0,10.0,0.0,1.0,1.0,0.0,21.0,27.1,+30,3.0,3.0,1.0,40,39,32,14,35,39,41,3,37,29,9,22,6,18,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0,18,19,18,1,11,20,10,4,17,11,20,9,2,19,1,13,75.0,71.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,23.0,67.0,7.0,42.0,0.24,0.2676056338028169,0.2619047619047619,0.2941176470588235,0.1851851851851851,0.2222222222222222,0.265625,0.2,0.25,0.0,1.0,0.064516129032258,0.0,0.2835820895522388,0.1428571428571428,0.3095238095238095,0.0,0.0,30,25.0,77.0,2.566666666666667,25.9,81.9,2.73,13.1,2.6,0.6,0.2,0.4,0.018046117856745,0.548,0.698,0.215,0.8,0.6,W (+24),W (+24)
9.0,9.0,2022-11-06,34-060,CLE,LAL,0,20.066666666666663,4.0,10.0,.400,2.0,8.0,.250,0,0.0,,0.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,10.0,7.6,+22,2.0,2.0,1.0,40,39,32,14,35,39,41,3,37,29,9,22,6,18,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0,18,19,18,1,11,20,10,4,17,11,20,9,2,19,1,13,75.0,71.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,23.0,67.0,7.0,42.0,0.24,0.2676056338028169,0.2619047619047619,0.2941176470588235,0.1851851851851851,0.2222222222222222,0.265625,0.2,0.25,0.0,1.0,0.064516129032258,0.0,0.2835820895522388,0.1428571428571428,0.3095238095238095,0.0,0.0,30,11.0,66.0,2.2,7.599999999999998,74.70000000000002,2.4900000000000007,13.1,2.6,0.6,0.2,0.4,0.018046117856745,0.548,0.698,0.215,0.8,0.6,W (+14),W (+14)
10.0,10.0,2022-11-07,34-061,CLE,LAC,0,25.08333333333333,4.0,8.0,.500,4.0,8.0,.500,5,6.0,.833,1.0,7.0,8.0,4.0,1.0,0.0,3.0,1.0,17.0,15.8,+16,0.0,0.0,,40,39,32,14,35,39,41,3,37,29,9,22,6,18,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,22.0,48.0,33.0,37.0,5.0,0.5405405405405406,0.5064935064935064,0.463768115942029,0.3181818181818182,0.5147058823529411,0.0,0.4936708860759494,0.5394736842105263,0.25,0.5441176470588235,0.4677419354838709,0.4090909090909091,0.4583333333333333,0.1818181818181818,0.4864864864864865,0.0,18,19,18,1,11,20,10,4,17,11,20,9,2,19,1,13,75.0,71.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,23.0,67.0,7.0,42.0,0.24,0.2676056338028169,0.2619047619047619,0.2941176470588235,0.1851851851851851,0.2222222222222222,0.265625,0.2,0.25,0.0,1.0,0.064516129032258,0.0,0.2835820895522388,0.1428571428571428,0.3095238095238095,0.0,0.0,30,13.0,44.0,1.4666666666666666,13.800000000000004,54.8,1.8266666666666669,13.1,2.6,0.6,0.2,0.4,0.018046117856745,0.548,0.698,0.215,0.8,0.6,L (-2),L (-2)
