Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,23-213,MIA,,CHI,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,67.0,3.7222222222222223,0.0,75.6,4.199999999999999
1,2,,2022-10-21,23-215,MIA,,BOS,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,84.0,4.666666666666667,0.0,96.3,5.35
2,3,,2022-10-22,23-216,MIA,,TOR,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,82.0,4.555555555555555,0.0,88.8,4.933333333333334
3,4,,2022-10-24,23-218,MIA,,TOR,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,59.0,3.2777777777777777,0.0,58.400000000000006,3.244444444444445
4,5,,2022-10-26,23-220,MIA,@,POR,W (+21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,97.0,5.388888888888889,0.0,104.4,5.800000000000001
5,6,,2022-10-27,23-221,MIA,@,GSW,L (-13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,89.0,4.944444444444445,0.0,119.0,6.611111111111111
6,7,,2022-10-29,23-223,MIA,@,SAC,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,48.0,2.6666666666666665,0.0,73.19999999999999,4.066666666666666
7,8,,2022-11-01,23-226,MIA,,GSW,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,102.0,5.666666666666667,0.0,111.0,6.166666666666667
8,9,,2022-11-02,23-227,MIA,,SAC,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,77.0,4.277777777777778,0.0,80.7,4.483333333333333
9,10,,2022-11-04,23-229,MIA,@,IND,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,12,3,9,3,9,12,16,8,12,16,8,4,9,9,1,9,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.1866666666666666,0.1690140845070422,0.2,0.2368421052631578,0.2,0.2142857142857142,0.1764705882352941,0.2962962962962963,0.0,0.125,0.2181818181818181,0.2,0.5333333333333333,0.4444444444444444,0.2903225806451613,0.1343283582089552,0.1428571428571428,0.2142857142857142,4,62.0,23.0,0.064516129032258,0.0,18,,57.0,3.1666666666666665,0.0,69.7,3.8722222222222222
