Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2023-02-08,23-226,MIA,,IND,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,23.0,0.0,0.0,0,,67.0,0.0,0.0,0,
1,2,1.0,2023-02-10,23-228,MIA,,HOU,W (+2),0,14:06,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,-1.5,+2,2.0,1.0,0.5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,23.0,0.0,0.0,0,-2.0,86.0,0.0,-1.4999999999999998,0,
2,3,2.0,2023-02-11,23-229,MIA,@,ORL,W (+4),0,9:18,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.7,-8,0.0,0.0,,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,23.0,0.0,0.0,0,0.0,82.0,0.0,-0.7000000000000001,0,
3,4,3.0,2023-02-13,23-231,MIA,,DEN,L (-4),0,28:16,4.0,8.0,.500,2.0,4.0,.500,0,0.0,,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,10.0,11.8,-10,4.0,2.0,0.5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,23.0,0.0,0.0,0,10.0,49.0,0.0,11.8,0,
4,5,4.0,2023-02-15,23-233,MIA,@,BRK,L (-11),0,13:20,1.0,2.0,.500,0.0,0.0,,1,2.0,.500,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,2.4,-5,2.0,1.0,0.5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,23.0,0.0,0.0,0,3.0,94.0,0.0,2.0,0,
5,6,,2023-03-04,23-250,WAS,,TOR,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,23.0,0.0,0.0,0,,89.0,0.0,0.0,0,
6,7,,2023-03-05,23-251,WAS,,MIL,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,23.0,0.0,0.0,0,,48.0,0.0,0.0,0,
7,8,,2023-03-07,23-253,WAS,@,DET,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,23.0,0.0,0.0,0,,102.0,0.0,0.0,0,
8,9,,2023-03-08,23-254,WAS,,ATL,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,23.0,0.0,0.0,0,,77.0,0.0,0.0,0,
9,10,,2023-03-10,23-256,WAS,,ATL,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,23.0,0.0,0.0,0,,57.0,0.0,0.0,0,
