Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Landry Shamet,Shared Games with Mikal Bridges,Shared Games with Torrey Craig,Bismack Biyombo,Cameron Johnson,Cameron Payne,Chris Paul,Damion Lee,Deandre Ayton,Devin Booker,Duane Washington Jr.,Ish Wainright,Jae Crowder,Jock Landale,Josh Okogie,Landry Shamet,Mikal Bridges,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Cameron Johnson,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Duane Washington Jr.,co_inf with Ish Wainright,co_inf with Jae Crowder,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Landry Shamet,co_inf with Mikal Bridges,co_inf with Torrey Craig,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Danilo Gallinari,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Olivier Sarr,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Danilo Gallinari,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Olivier Sarr,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022/10/19,28-194,PHO,DAL,0,1.6833333333333331,0.0,1.0,0,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-8,1.0,0.0,0.0,28,12,14,24,37,31,14,18,26,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443,18,1,17,15,17,10,17,2,15,17,15,10,10,70.0,34.0,,,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,9.0,39.0,68.0,67.0,0.2571428571428571,0.0294117647058823,,,0.2328767123287671,0.2,0.0,0.3469387755102041,0.2325581395348837,0.2236842105263158,0.0377358490566037,0.3658536585365853,0.2297297297297297,0.0,0.3846153846153846,0.1470588235294117,0.1492537313432835,27,-1.0,56.0,2.074074074074074,-0.7,63.399999999999984,2.348148148148148,13.5,1.7,-1.4,-1.5,0.1,0.0230711449726365,0.583,0.415,0.274,0.1,0.7,W (+2),W (+2)
2.0,,2022/10/21,28-196,PHO,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443,18,1,17,15,17,10,17,2,15,17,15,10,10,70.0,34.0,,,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,9.0,39.0,68.0,67.0,0.2571428571428571,0.0294117647058823,,,0.2328767123287671,0.2,0.0,0.3469387755102041,0.2325581395348837,0.2236842105263158,0.0377358490566037,0.3658536585365853,0.2297297297297297,0.0,0.3846153846153846,0.1470588235294117,0.1492537313432835,27,,54.0,2.0,0.0,64.09999999999998,2.3740740740740733,13.5,1.7,-1.4,-1.5,0.1,0.0230711449726365,0.583,0.415,0.274,0.1,0.7,L (-2),L (-2)
3.0,,2022/10/23,28-198,PHO,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443,18,1,17,15,17,10,17,2,15,17,15,10,10,70.0,34.0,,,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,9.0,39.0,68.0,67.0,0.2571428571428571,0.0294117647058823,,,0.2328767123287671,0.2,0.0,0.3469387755102041,0.2325581395348837,0.2236842105263158,0.0377358490566037,0.3658536585365853,0.2297297297297297,0.0,0.3846153846153846,0.1470588235294117,0.1492537313432835,27,,38.0,1.4074074074074074,0.0,54.400000000000006,2.014814814814815,13.5,1.7,-1.4,-1.5,0.1,0.0230711449726365,0.583,0.415,0.274,0.1,0.7,W (+17),W (+17)
4.0,,2022/10/25,28-200,PHO,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443,18,1,17,15,17,10,17,2,15,17,15,10,10,70.0,34.0,,,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,9.0,39.0,68.0,67.0,0.2571428571428571,0.0294117647058823,,,0.2328767123287671,0.2,0.0,0.3469387755102041,0.2325581395348837,0.2236842105263158,0.0377358490566037,0.3658536585365853,0.2297297297297297,0.0,0.3846153846153846,0.1470588235294117,0.1492537313432835,27,,53.0,1.962962962962963,0.0,68.2,2.525925925925926,13.5,1.7,-1.4,-1.5,0.1,0.0230711449726365,0.583,0.415,0.274,0.1,0.7,W (+29),W (+29)
5.0,,2022/10/28,28-203,PHO,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443,18,1,17,15,17,10,17,2,15,17,15,10,10,70.0,34.0,,,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,9.0,39.0,68.0,67.0,0.2571428571428571,0.0294117647058823,,,0.2328767123287671,0.2,0.0,0.3469387755102041,0.2325581395348837,0.2236842105263158,0.0377358490566037,0.3658536585365853,0.2297297297297297,0.0,0.3846153846153846,0.1470588235294117,0.1492537313432835,27,,69.0,2.555555555555556,0.0,82.7,3.062962962962963,13.5,1.7,-1.4,-1.5,0.1,0.0230711449726365,0.583,0.415,0.274,0.1,0.7,W (+13),W (+13)
6.0,,2022/10/30,28-205,PHO,HOU,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,12,14,24,37,31,14,18,26,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443,18,1,17,15,17,10,17,2,15,17,15,10,10,70.0,34.0,,,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,9.0,39.0,68.0,67.0,0.2571428571428571,0.0294117647058823,,,0.2328767123287671,0.2,0.0,0.3469387755102041,0.2325581395348837,0.2236842105263158,0.0377358490566037,0.3658536585365853,0.2297297297297297,0.0,0.3846153846153846,0.1470588235294117,0.1492537313432835,27,,64.0,2.3703703703703702,0.0,75.7,2.803703703703704,13.5,1.7,-1.4,-1.5,0.1,0.0230711449726365,0.583,0.415,0.274,0.1,0.7,W (+15),W (+15)
7.0,2.0,2022/11/1,28-207,PHO,MIN,0,5.016666666666667,1.0,1.0,1,1.0,1.0,1,0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,5.3,0,0.0,0.0,,28,12,14,24,37,31,14,18,26,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443,18,1,17,15,17,10,17,2,15,17,15,10,10,70.0,34.0,,,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,9.0,39.0,68.0,67.0,0.2571428571428571,0.0294117647058823,,,0.2328767123287671,0.2,0.0,0.3469387755102041,0.2325581395348837,0.2236842105263158,0.0377358490566037,0.3658536585365853,0.2297297297297297,0.0,0.3846153846153846,0.1470588235294117,0.1492537313432835,27,7.0,67.0,2.4814814814814814,5.299999999999999,85.6,3.17037037037037,13.5,1.7,-1.4,-1.5,0.1,0.0230711449726365,0.583,0.415,0.274,0.1,0.7,W (+9),W (+9)
8.0,3.0,2022/11/4,28-210,PHO,POR,0,9.15,0.0,4.0,0,0.0,3.0,0,0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.5,-8,1.0,0.0,0.0,28,12,14,24,37,31,14,18,26,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443,18,1,17,15,17,10,17,2,15,17,15,10,10,70.0,34.0,,,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,9.0,39.0,68.0,67.0,0.2571428571428571,0.0294117647058823,,,0.2328767123287671,0.2,0.0,0.3469387755102041,0.2325581395348837,0.2236842105263158,0.0377358490566037,0.3658536585365853,0.2297297297297297,0.0,0.3846153846153846,0.1470588235294117,0.1492537313432835,27,-1.0,57.0,2.111111111111111,-1.4999999999999996,79.3,2.937037037037037,13.5,1.7,-1.4,-1.5,0.1,0.0230711449726365,0.583,0.415,0.274,0.1,0.7,L (-2),L (-2)
9.0,4.0,2022/11/5,28-211,PHO,POR,0,21.0,4.0,9.0,0.444,1.0,2.0,0.5,0,1.0,0,4.0,5.0,9.0,1.0,1.0,0.0,2.0,3.0,9.0,6.7,2,7.0,3.0,0.428571429,28,12,14,24,37,31,14,18,26,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443,18,1,17,15,17,10,17,2,15,17,15,10,10,70.0,34.0,,,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,9.0,39.0,68.0,67.0,0.2571428571428571,0.0294117647058823,,,0.2328767123287671,0.2,0.0,0.3469387755102041,0.2325581395348837,0.2236842105263158,0.0377358490566037,0.3658536585365853,0.2297297297297297,0.0,0.3846153846153846,0.1470588235294117,0.1492537313432835,27,8.0,38.0,1.4074074074074074,6.699999999999996,47.100000000000016,1.7444444444444451,13.5,1.7,-1.4,-1.5,0.1,0.0230711449726365,0.583,0.415,0.274,0.1,0.7,W (+20),W (+20)
10.0,5.0,2022/11/7,28-213,PHO,PHI,0,3.15,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1,0.0,0.0,,28,12,14,24,37,31,14,18,26,33,30,17,37,34,61.0,42.0,48.0,59.0,74.0,67.0,53.0,31.0,60.0,18.0,69.0,72.0,40.0,83.0,79.0,0.4590163934426229,0.2857142857142857,0.2916666666666667,0.4067796610169492,0.5,0.4626865671641791,0.2641509433962264,0.5806451612903226,0.4333333333333333,0.0,0.4782608695652174,0.4166666666666667,0.425,0.4457831325301205,0.430379746835443,18,1,17,15,17,10,17,2,15,17,15,10,10,70.0,34.0,,,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,9.0,39.0,68.0,67.0,0.2571428571428571,0.0294117647058823,,,0.2328767123287671,0.2,0.0,0.3469387755102041,0.2325581395348837,0.2236842105263158,0.0377358490566037,0.3658536585365853,0.2297297297297297,0.0,0.3846153846153846,0.1470588235294117,0.1492537313432835,27,1.0,46.0,1.7037037037037035,0.3,57.9,2.1444444444444444,13.5,1.7,-1.4,-1.5,0.1,0.0230711449726365,0.583,0.415,0.274,0.1,0.7,L (-12),L (-12)
