Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,10.0,2022-11-09,27-342,OKC,MIL,0,17.016666666666666,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.2,-12,1.0,1.0,1.0,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,1.0,86.0,5.0588235294117645,0.1999999999999997,99.9,5.876470588235295,0.0441191736738295,L (-4),L (-4)
12.0,11.0,2022-11-11,27-344,OKC,TOR,0,19.366666666666667,3.0,6.0,.500,0.0,1.0,.000,0,0.0,,2.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,5.2,+10,5.0,3.0,0.6,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,6.0,75.0,4.411764705882353,5.199999999999999,84.2,4.952941176470588,0.0441191736738295,W (+19),W (+19)
13.0,12.0,2022-11-13,27-346,OKC,NYK,0,20.28333333333333,1.0,3.0,.333,0.0,0.0,,1,2.0,.500,0.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,5.5,+13,3.0,1.0,0.3333333333333333,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,6.0,88.0,5.176470588235294,5.099999999999999,103.69999999999996,6.099999999999998,0.0441191736738295,W (+10),W (+10)
14.0,13.0,2022-11-14,27-347,OKC,BOS,0,18.98333333333333,3.0,6.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,6.7,-7,4.0,2.0,0.5,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,5.0,62.0,3.647058823529412,6.700000000000001,71.9,4.229411764705882,0.0441191736738295,L (-4),L (-4)
15.0,14.0,2022-11-16,27-349,OKC,WAS,0,25.78333333333333,4.0,6.0,.667,1.0,2.0,.500,0,0.0,,1.0,4.0,5.0,1.0,1.0,1.0,2.0,3.0,9.0,7.5,+16,4.0,3.0,0.75,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,9.0,66.0,3.882352941176471,7.4999999999999964,83.9,4.935294117647059,0.0441191736738295,W (+1),W (+1)
16.0,15.0,2022-11-18,27-351,OKC,MEM,0,11.2,2.0,5.0,.400,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.2,-6,4.0,1.0,0.25,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,1.0,80.0,4.705882352941177,2.2,81.19999999999997,4.776470588235292,0.0441191736738295,L (-11),L (-11)
17.0,16.0,2022-11-21,27-354,OKC,NYK,1,17.05,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,1.2,-4,3.0,2.0,0.6666666666666666,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,1.0,54.0,3.176470588235294,1.2000000000000002,74.2,4.364705882352942,0.0441191736738295,L (-10),L (-10)
18.0,,2022-11-23,27-356,OKC,DEN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,,68.0,4.0,0.0,88.7,5.2176470588235295,0.0441191736738295,L (-5),L (-5)
19.0,17.0,2022-11-25,27-358,OKC,CHI,0,33.0,4.0,7.0,.571,0.0,2.0,.000,0,0.0,,3.0,2.0,5.0,2.0,2.0,0.0,0.0,2.0,8.0,10.0,+12,5.0,4.0,0.8,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,10.0,49.0,2.8823529411764706,10.0,63.0,3.7058823529411766,0.0441191736738295,W (+4),W (+4)
20.0,18.0,2022-11-26,27-359,OKC,HOU,0,16.166666666666668,3.0,4.0,.750,2.0,3.0,.667,1,1.0,1.000,1.0,3.0,4.0,0.0,1.0,1.0,0.0,2.0,9.0,9.9,-2,1.0,1.0,1.0,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,10.0,44.0,2.588235294117647,9.499999999999998,59.70000000000002,3.511764705882354,0.0441191736738295,L (-13),L (-13)
21.0,19.0,2022-11-28,27-361,OKC,NOP,0,19.3,1.0,6.0,.167,1.0,3.0,.333,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,-0.6,+2,3.0,0.0,0.0,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,0.0,45.0,2.647058823529412,-0.5999999999999999,60.39999999999998,3.5529411764705867,0.0441191736738295,,
22.0,20.0,2022-11-30,27-363,OKC,SAS,0,18.83333333333333,4.0,5.0,.800,0.0,0.0,,1,2.0,.500,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,9.0,8.2,0,5.0,4.0,0.8,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,7.0,67.0,3.941176470588236,7.8,79.1,4.652941176470588,0.0441191736738295,L (-4),L (-4)
23.0,21.0,2022-12-03,28-001,OKC,MIN,0,21.266666666666666,6.0,7.0,.857,2.0,3.0,.667,1,2.0,.500,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,15.0,14.8,+12,4.0,4.0,1.0,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,11.0,68.0,4.0,14.399999999999997,93.10000000000002,5.476470588235295,0.0441191736738295,W (+8),W (+8)
24.0,,2022-12-05,28-003,OKC,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,,68.0,4.0,0.0,81.39999999999999,4.788235294117647,0.0441191736738295,W (+7),W (+7)
25.0,,2022-12-07,28-005,OKC,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,,43.0,2.5294117647058822,0.0,53.39999999999999,3.141176470588235,0.0441191736738295,W (+7),W (+7)
26.0,,2022-12-10,28-008,OKC,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,,64.0,3.764705882352941,0.0,74.29999999999998,4.370588235294116,0.0441191736738295,L (-21),L (-21)
27.0,,2022-12-12,28-010,OKC,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,,56.0,3.294117647058824,0.0,72.49999999999999,4.26470588235294,0.0441191736738295,L (-8),L (-8)
28.0,,2022-12-14,28-012,OKC,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,43,23,31,18,45,49,28,26,48,24,47,38,17,46,47,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,41.0,74.0,63.0,39.0,68.0,67.0,0.6142857142857143,0.6764705882352942,,0.7209302325581395,0.45,0.6164383561643836,0.6533333333333333,0.0,0.5714285714285714,0.6046511627906976,0.631578947368421,0.5853658536585366,0.6351351351351351,0.6031746031746031,0.4358974358974359,0.6764705882352942,0.7014925373134329,2,7,,57.0,9.0,,0.0350877192982456,0.7777777777777778,17,,60.0,3.5294117647058822,0.0,70.4,4.141176470588236,0.0441191736738295,L (-7),L (-7)
