Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,19-151,OKC,MIN,0,9.083333333333334,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-14,1.0,0.0,0.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,-2.0,57.0,3.3529411764705883,-1.7999999999999996,64.49999999999999,3.794117647058824,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-7),L (-7)
2.0,2.0,2022-10-22,19-154,OKC,DEN,0,7.05,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,+1,2.0,0.0,0.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,-2.0,56.0,3.294117647058824,-1.4,65.49999999999999,3.852941176470587,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-5),L (-5)
3.0,3.0,2022-10-23,19-155,OKC,MIN,0,23.45,2.0,6.0,.333,1.0,3.0,.333,0,0.0,,1.0,5.0,6.0,3.0,1.0,2.0,1.0,2.0,5.0,6.5,+15,3.0,1.0,0.3333333333333333,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,10.0,28.0,1.6470588235294117,6.500000000000001,47.900000000000006,2.8176470588235296,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-10),L (-10)
4.0,4.0,2022-10-25,19-157,OKC,LAC,0,10.316666666666666,1.0,4.0,.250,0.0,3.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.6,-9,1.0,1.0,1.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,0.0,53.0,3.117647058823529,0.5999999999999996,67.60000000000001,3.976470588235295,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,W (+14),W (+14)
5.0,5.0,2022-10-27,19-159,OKC,LAC,0,12.716666666666669,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.6,-10,1.0,1.0,1.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,0.0,69.0,4.0588235294117645,0.6,82.1,4.829411764705882,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,W (+8),W (+8)
6.0,,2022-10-29,19-161,OKC,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,64.0,3.764705882352941,0.0,75.7,4.452941176470588,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,W (+6),W (+6)
7.0,6.0,2022-11-01,19-164,OKC,ORL,0,17.233333333333334,3.0,4.0,.750,2.0,3.0,.667,0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,8.0,7.6,+12,1.0,1.0,1.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,9.0,65.0,3.823529411764706,7.6,83.3,4.9,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,W (+8),W (+8)
8.0,7.0,2022-11-03,19-166,OKC,DEN,0,12.066666666666666,1.0,3.0,.333,0.0,2.0,.000,1,2.0,.500,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,1.5,0,1.0,1.0,1.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,1.0,55.0,3.235294117647059,1.1,76.69999999999999,4.511764705882352,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-12),L (-12)
9.0,8.0,2022-11-05,19-168,OKC,MIL,0,22.316666666666663,3.0,4.0,.750,2.0,3.0,.667,0,0.0,,1.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,8.0,11.5,+11,1.0,1.0,1.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,13.0,33.0,1.9411764705882355,11.5,42.30000000000001,2.4882352941176475,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-14),L (-14)
10.0,9.0,2022-11-07,19-170,OKC,DET,0,20.48333333333333,1.0,7.0,.143,0.0,4.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.8,+8,3.0,1.0,0.3333333333333333,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,-2.0,49.0,2.8823529411764706,-0.7999999999999998,59.0,3.4705882352941178,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-9),L (-9)
