Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Danilo Gallinari,Dario Šarić,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
21.0,,2023-02-28,24-008,OKC,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,45.0,3.4615384615384617,0.0,59.799999999999976,4.599999999999998,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,,
22.0,,2023-03-01,24-009,OKC,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,74.0,5.6923076923076925,0.0,85.19999999999999,6.553846153846153,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-6),L (-6)
23.0,,2023-03-03,24-011,OKC,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,79.0,6.076923076923077,0.0,93.6,7.199999999999999,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-6),L (-6)
24.0,1.0,2023-03-05,24-013,OKC,UTA,0,10.9,1.0,4.0,.250,0.0,2.0,.000,0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,+3,2.0,1.0,0.5,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,1.0,67.0,5.153846153846154,0.4999999999999998,79.69999999999999,6.13076923076923,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+27),W (+27)
25.0,,2023-03-07,24-015,OKC,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,43.0,3.3076923076923075,0.0,51.1,3.930769230769231,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+10),W (+10)
26.0,2.0,2023-03-08,24-016,OKC,PHO,0,10.816666666666666,2.0,3.0,.667,0.0,1.0,.000,1,1.0,1.000,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,-7,2.0,2.0,1.0,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,4.0,60.0,4.615384615384615,4.6,69.69999999999999,5.36153846153846,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+9),W (+9)
27.0,,2023-03-11,24-019,OKC,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,56.0,4.307692307692308,0.0,71.69999999999999,5.515384615384614,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-31),L (-31)
28.0,,2023-03-12,24-020,OKC,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,60.0,4.615384615384615,0.0,70.4,5.415384615384616,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+14),W (+14)
29.0,,2023-03-14,24-022,OKC,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,47.0,3.615384615384616,0.0,55.69999999999998,4.284615384615384,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+12),W (+12)
30.0,3.0,2023-03-16,24-024,OKC,TOR,0,10.25,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,-0.1,-2,0.0,0.0,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,2.0,67.0,5.153846153846154,-0.1000000000000005,75.9,5.838461538461539,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+14),W (+14)
31.0,,2023-03-19,24-027,OKC,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,44.0,3.3846153846153846,0.0,68.9,5.300000000000001,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-17),L (-17)
32.0,4.0,2023-03-21,24-029,OKC,LAC,0,19.25,1.0,4.0,.250,0.0,1.0,.000,2,2.0,1.000,4.0,2.0,6.0,2.0,0.0,2.0,2.0,3.0,4.0,4.6,+8,3.0,1.0,0.3333333333333333,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,6.0,46.0,3.5384615384615383,3.8,63.60000000000001,4.892307692307693,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+4),W (+4)
33.0,5.0,2023-03-23,24-031,OKC,LAC,0,8.166666666666666,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,3.6,-2,0.0,0.0,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,5.0,59.0,4.538461538461538,3.6,77.70000000000002,5.976923076923078,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+1),W (+1)
34.0,,2023-03-24,24-032,OKC,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,78.0,6.0,0.0,89.6,6.892307692307692,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-22),L (-22)
35.0,,2023-03-26,24-034,OKC,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,50.0,3.8461538461538463,0.0,66.99999999999999,5.153846153846152,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-5),L (-5)
36.0,,2023-03-28,24-036,OKC,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,48.0,3.692307692307693,0.0,57.6,4.430769230769231,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+6),W (+6)
37.0,6.0,2023-03-29,24-037,OKC,DET,0,7.733333333333333,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,0,0.0,0.0,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,-1.0,113.0,8.692307692307692,-1.1,131.7,10.13076923076923,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-3),L (-3)
38.0,,2023-03-31,24-039,OKC,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,45.0,3.4615384615384617,0.0,67.80000000000001,5.215384615384616,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,W (+1),W (+1)
39.0,,2023-04-02,24-041,OKC,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,,89.0,6.846153846153846,0.0,92.49999999999996,7.115384615384612,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-4),L (-4)
40.0,7.0,2023-04-04,24-043,OKC,GSW,0,2.7333333333333334,0.0,2.0,.000,0.0,0.0,,0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+2,2.0,0.0,0.0,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,0.0,78.0,6.0,0.0,87.6,6.738461538461538,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-10),L (-10)
41.0,8.0,2023-04-06,24-045,OKC,UTA,0,1.6,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,0.0,58.0,4.461538461538462,0.0,66.5,5.115384615384615,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,L (-11),L (-11)
42.0,9.0,2023-04-09,24-048,OKC,MEM,1,42.2,10.0,15.0,.667,0.0,2.0,.000,2,4.0,.500,2.0,13.0,15.0,1.0,1.0,0.0,1.0,6.0,22.0,18.3,+14,13.0,10.0,0.7692307692307693,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,80.0,5.0,6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,9,9,3,2,8,7,6,9,1,7,8,70.0,34.0,,,57.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,39.0,68.0,67.0,0.1142857142857142,0.1470588235294117,,,0.0,0.1232876712328767,0.12,0.0,0.0612244897959183,0.0465116279069767,0.1052631578947368,0.1320754716981132,0.1463414634146341,0.1216216216216216,0.0256410256410256,0.1029411764705882,0.1194029850746268,13,19.0,88.0,6.769230769230769,17.5,91.4,7.030769230769232,11.5,0.2,-4.9,-4.2,-0.7,0.0037371535347243,0.544,0.267,0.233,-0.1,0.1,,
