Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,24-099,OKC,MIN,1.0,36.78333333333333,12.0,23.0,0.522,2.0,6.0,0.333,6.0,6.0,1.0,2.0,4.0,6.0,5.0,3.0,2.0,2.0,1.0,32.0,28.8,-1.0,17.0,10.0,0.5882352941176471,56,29,33,21,60,64,37,33,64,46,33,61,40,31,54,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,67.0,0.8,0.8529411764705882,,0.7674418604651163,0.525,0.821917808219178,0.8533333333333334,0.0,0.7551020408163265,0.7674418604651163,0.8421052631578947,0.8679245283018868,0.8048780487804879,0.8243243243243243,0.6349206349206349,0.7948717948717948,0.8059701492537313,10,7,,57.0,9.0,,0.175438596491228,0.7777777777777778,17,17.0,38.0,2.235294117647059,26.4,36.29999999999999,2.1352941176470583,27.2,11.4,7.3,5.7,1.5,0.2216339665732378,0.626,0.122,0.535,5.6,8.4,L (-7),L (-7)
2.0,2.0,2022-10-22,24-102,OKC,DEN,1.0,33.93333333333333,11.0,24.0,0.458,1.0,5.0,0.2,5.0,5.0,1.0,0.0,3.0,3.0,7.0,1.0,0.0,5.0,4.0,28.0,15.8,-6.0,19.0,10.0,0.5263157894736842,56,29,33,21,60,64,37,33,64,46,33,61,40,31,54,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,67.0,0.8,0.8529411764705882,,0.7674418604651163,0.525,0.821917808219178,0.8533333333333334,0.0,0.7551020408163265,0.7674418604651163,0.8421052631578947,0.8679245283018868,0.8048780487804879,0.8243243243243243,0.6349206349206349,0.7948717948717948,0.8059701492537313,10,7,,57.0,9.0,,0.175438596491228,0.7777777777777778,17,5.0,49.0,2.8823529411764706,13.799999999999995,50.29999999999998,2.9588235294117635,27.2,11.4,7.3,5.7,1.5,0.2216339665732378,0.626,0.122,0.535,5.6,8.4,L (-5),L (-5)
3.0,,2022-10-23,24-103,OKC,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,56,29,33,21,60,64,37,33,64,46,33,61,40,31,54,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,67.0,0.8,0.8529411764705882,,0.7674418604651163,0.525,0.821917808219178,0.8533333333333334,0.0,0.7551020408163265,0.7674418604651163,0.8421052631578947,0.8679245283018868,0.8048780487804879,0.8243243243243243,0.6349206349206349,0.7948717948717948,0.8059701492537313,10,7,,57.0,9.0,,0.175438596491228,0.7777777777777778,17,,38.0,2.235294117647059,0.0,54.400000000000006,3.2,27.2,11.4,7.3,5.7,1.5,0.2216339665732378,0.626,0.122,0.535,5.6,8.4,L (-10),L (-10)
4.0,3.0,2022-10-25,24-105,OKC,LAC,1.0,36.73333333333333,11.0,22.0,0.5,2.0,2.0,1.0,9.0,9.0,1.0,1.0,4.0,5.0,8.0,3.0,3.0,2.0,0.0,33.0,32.6,23.0,20.0,9.0,0.45,56,29,33,21,60,64,37,33,64,46,33,61,40,31,54,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,67.0,0.8,0.8529411764705882,,0.7674418604651163,0.525,0.821917808219178,0.8533333333333334,0.0,0.7551020408163265,0.7674418604651163,0.8421052631578947,0.8679245283018868,0.8048780487804879,0.8243243243243243,0.6349206349206349,0.7948717948717948,0.8059701492537313,10,7,,57.0,9.0,,0.175438596491228,0.7777777777777778,17,19.0,34.0,2.0,29.000000000000007,39.2,2.3058823529411767,27.2,11.4,7.3,5.7,1.5,0.2216339665732378,0.626,0.122,0.535,5.6,8.4,W (+14),W (+14)
5.0,4.0,2022-10-27,24-107,OKC,LAC,1.0,34.016666666666666,10.0,23.0,0.435,2.0,4.0,0.5,2.0,2.0,1.0,1.0,4.0,5.0,6.0,3.0,0.0,3.0,4.0,24.0,16.4,12.0,19.0,8.0,0.4210526315789473,56,29,33,21,60,64,37,33,64,46,33,61,40,31,54,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,67.0,0.8,0.8529411764705882,,0.7674418604651163,0.525,0.821917808219178,0.8533333333333334,0.0,0.7551020408163265,0.7674418604651163,0.8421052631578947,0.8679245283018868,0.8048780487804879,0.8243243243243243,0.6349206349206349,0.7948717948717948,0.8059701492537313,10,7,,57.0,9.0,,0.175438596491228,0.7777777777777778,17,10.0,59.0,3.4705882352941178,15.599999999999994,67.1,3.947058823529412,27.2,11.4,7.3,5.7,1.5,0.2216339665732378,0.626,0.122,0.535,5.6,8.4,W (+8),W (+8)
6.0,5.0,2022-10-29,24-109,OKC,DAL,1.0,41.333333333333336,15.0,27.0,0.556,0.0,2.0,0.0,8.0,8.0,1.0,2.0,4.0,6.0,9.0,2.0,1.0,3.0,2.0,38.0,32.9,20.0,25.0,15.0,0.6,56,29,33,21,60,64,37,33,64,46,33,61,40,31,54,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,67.0,0.8,0.8529411764705882,,0.7674418604651163,0.525,0.821917808219178,0.8533333333333334,0.0,0.7551020408163265,0.7674418604651163,0.8421052631578947,0.8679245283018868,0.8048780487804879,0.8243243243243243,0.6349206349206349,0.7948717948717948,0.8059701492537313,10,7,,57.0,9.0,,0.175438596491228,0.7777777777777778,17,18.0,46.0,2.7058823529411766,29.700000000000003,45.99999999999999,2.705882352941176,27.2,11.4,7.3,5.7,1.5,0.2216339665732378,0.626,0.122,0.535,5.6,8.4,W (+6),W (+6)
7.0,6.0,2022-11-01,24-112,OKC,ORL,1.0,32.9,12.0,18.0,0.667,0.0,3.0,0.0,10.0,11.0,0.909,0.0,4.0,4.0,6.0,3.0,2.0,5.0,2.0,34.0,29.8,-2.0,15.0,12.0,0.8,56,29,33,21,60,64,37,33,64,46,33,61,40,31,54,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,67.0,0.8,0.8529411764705882,,0.7674418604651163,0.525,0.821917808219178,0.8533333333333334,0.0,0.7551020408163265,0.7674418604651163,0.8421052631578947,0.8679245283018868,0.8048780487804879,0.8243243243243243,0.6349206349206349,0.7948717948717948,0.8059701492537313,10,7,,57.0,9.0,,0.175438596491228,0.7777777777777778,17,15.0,59.0,3.4705882352941178,25.8,65.10000000000001,3.829411764705883,27.2,11.4,7.3,5.7,1.5,0.2216339665732378,0.626,0.122,0.535,5.6,8.4,W (+8),W (+8)
8.0,7.0,2022-11-03,24-114,OKC,DEN,1.0,35.2,13.0,17.0,0.765,0.0,0.0,,11.0,11.0,1.0,1.0,3.0,4.0,3.0,2.0,0.0,4.0,3.0,37.0,30.8,-6.0,17.0,13.0,0.7647058823529411,56,29,33,21,60,64,37,33,64,46,33,61,40,31,54,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,67.0,0.8,0.8529411764705882,,0.7674418604651163,0.525,0.821917808219178,0.8533333333333334,0.0,0.7551020408163265,0.7674418604651163,0.8421052631578947,0.8679245283018868,0.8048780487804879,0.8243243243243243,0.6349206349206349,0.7948717948717948,0.8059701492537313,10,7,,57.0,9.0,,0.175438596491228,0.7777777777777778,17,14.0,42.0,2.4705882352941178,26.40000000000001,51.39999999999999,3.0235294117647054,27.2,11.4,7.3,5.7,1.5,0.2216339665732378,0.626,0.122,0.535,5.6,8.4,L (-12),L (-12)
9.0,8.0,2022-11-05,24-116,OKC,MIL,1.0,31.766666666666666,7.0,16.0,0.438,0.0,1.0,0.0,4.0,5.0,0.8,0.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,18.0,10.1,-19.0,15.0,7.0,0.4666666666666667,56,29,33,21,60,64,37,33,64,46,33,61,40,31,54,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,67.0,0.8,0.8529411764705882,,0.7674418604651163,0.525,0.821917808219178,0.8533333333333334,0.0,0.7551020408163265,0.7674418604651163,0.8421052631578947,0.8679245283018868,0.8048780487804879,0.8243243243243243,0.6349206349206349,0.7948717948717948,0.8059701492537313,10,7,,57.0,9.0,,0.175438596491228,0.7777777777777778,17,1.0,45.0,2.647058823529412,8.500000000000004,45.3,2.664705882352941,27.2,11.4,7.3,5.7,1.5,0.2216339665732378,0.626,0.122,0.535,5.6,8.4,L (-14),L (-14)
10.0,9.0,2022-11-07,24-118,OKC,DET,1.0,38.0,13.0,23.0,0.565,0.0,0.0,,7.0,7.0,1.0,2.0,5.0,7.0,5.0,1.0,4.0,1.0,2.0,33.0,30.5,-8.0,23.0,13.0,0.5652173913043478,56,29,33,21,60,64,37,33,64,46,33,61,40,31,54,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,67.0,0.8,0.8529411764705882,,0.7674418604651163,0.525,0.821917808219178,0.8533333333333334,0.0,0.7551020408163265,0.7674418604651163,0.8421052631578947,0.8679245283018868,0.8048780487804879,0.8243243243243243,0.6349206349206349,0.7948717948717948,0.8059701492537313,10,7,,57.0,9.0,,0.175438596491228,0.7777777777777778,17,19.0,28.0,1.6470588235294117,27.7,30.5,1.7941176470588236,27.2,11.4,7.3,5.7,1.5,0.2216339665732378,0.626,0.122,0.535,5.6,8.4,L (-9),L (-9)
