Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Ousmane Dieng,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Ousmane Dieng,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Ousmane Dieng,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,21-188,OKC,MIN,0,5.9,2.0,2.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,5.0,1.9,-6,1.0,1.0,1.0,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,2.0,53.0,3.117647058823529,1.9,60.79999999999999,3.5764705882352934,0.1096231703519153,L (-7),L (-7)
2.0,,2022-10-22,21-191,OKC,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,,54.0,3.176470588235294,0.0,64.09999999999998,3.7705882352941167,0.1096231703519153,L (-5),L (-5)
3.0,,2022-10-23,21-192,OKC,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,,38.0,2.235294117647059,0.0,54.400000000000006,3.2,0.1096231703519153,L (-10),L (-10)
4.0,,2022-10-25,21-194,OKC,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,,53.0,3.117647058823529,0.0,68.2,4.011764705882353,0.1096231703519153,W (+14),W (+14)
5.0,,2022-10-27,21-196,OKC,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,,69.0,4.0588235294117645,0.0,82.7,4.864705882352942,0.1096231703519153,W (+8),W (+8)
6.0,2.0,2022-10-29,21-198,OKC,DAL,0,26.816666666666663,5.0,8.0,.625,0.0,2.0,.000,3,3.0,1.000,0.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,13.0,12.9,-9,6.0,5.0,0.8333333333333334,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,10.0,54.0,3.176470588235294,11.700000000000005,64.0,3.764705882352941,0.1096231703519153,W (+6),W (+6)
7.0,3.0,2022-11-01,21-201,OKC,ORL,1,21.766666666666666,3.0,7.0,.429,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,6.0,2.2,-9,6.0,3.0,0.5,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,0.0,74.0,4.352941176470588,2.2,88.69999999999999,5.217647058823529,0.1096231703519153,W (+8),W (+8)
8.0,4.0,2022-11-03,21-203,OKC,DEN,0,14.316666666666666,4.0,7.0,.571,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,6.1,-11,6.0,4.0,0.6666666666666666,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,3.0,53.0,3.117647058823529,6.1000000000000005,71.7,4.2176470588235295,0.1096231703519153,L (-12),L (-12)
9.0,5.0,2022-11-05,21-205,OKC,MIL,0,19.916666666666668,2.0,6.0,.333,1.0,3.0,.333,0,0.0,,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,-16,3.0,1.0,0.3333333333333333,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,5.0,41.0,2.411764705882353,3.000000000000001,50.8,2.988235294117647,0.1096231703519153,L (-14),L (-14)
10.0,6.0,2022-11-07,21-207,OKC,DET,1,30.566666666666663,3.0,6.0,.500,0.0,0.0,,0,0.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,6.0,4.5,-22,6.0,3.0,0.5,63,30,32,21,68,46,37,72,49,36,68,39,32,64,61,70.0,34.0,,43.0,40.0,73.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,39.0,68.0,67.0,0.9,0.8823529411764706,,0.7441860465116279,0.525,0.9315068493150684,0.0,0.9387755102040816,0.8604651162790697,0.9473684210526316,0.9245283018867924,0.8780487804878049,0.918918918918919,0.6190476190476191,0.8205128205128205,0.9411764705882352,0.9104477611940298,15,9,,57.0,9.0,,0.2631578947368421,1.0,17,5.0,42.0,2.4705882352941178,4.500000000000002,53.7,3.158823529411765,0.1096231703519153,L (-9),L (-9)
