Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-20,25-216,LAC,LAL,1.0,35.36666666666667,6.0,6.0,1.0,0.0,0.0,,2.0,4.0,0.5,6.0,11.0,17.0,1.0,0.0,5.0,5.0,2.0,14.0,17.3,13.0,6.0,6.0,1.0,45,20,13,32,48,34,61,32,19,72,57,52,52,45,75,50.0,22.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9,0.9090909090909092,0.9285714285714286,0.9411764705882352,0.9230769230769232,0.576271186440678,0.9384615384615383,0.8888888888888888,0.8636363636363636,0.9230769230769232,0.95,0.9285714285714286,0.7647058823529411,0.9375,0.925925925925926,0.0,19,13,18,17,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2321428571428571,0.2608695652173913,0.0,0.2328767123287671,19,22.0,62.0,3.263157894736842,16.499999999999996,65.5,3.4473684210526314,0.0878247799012239,W (+6),W (+6)
2.0,2.0,2022-10-22,25-218,LAC,SAC,1.0,24.166666666666668,4.0,7.0,0.571,0.0,0.0,,2.0,2.0,1.0,1.0,7.0,8.0,1.0,0.0,1.0,1.0,3.0,10.0,8.7,4.0,7.0,4.0,0.5714285714285714,45,20,13,32,48,34,61,32,19,72,57,52,52,45,75,50.0,22.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9,0.9090909090909092,0.9285714285714286,0.9411764705882352,0.9230769230769232,0.576271186440678,0.9384615384615383,0.8888888888888888,0.8636363636363636,0.9230769230769232,0.95,0.9285714285714286,0.7647058823529411,0.9375,0.925925925925926,0.0,19,13,18,17,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2321428571428571,0.2608695652173913,0.0,0.2328767123287671,19,10.0,68.0,3.5789473684210527,7.899999999999999,78.0,4.105263157894737,0.0878247799012239,W (+2),W (+2)
3.0,3.0,2022-10-23,25-219,LAC,PHO,1.0,21.33333333333333,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,3.0,5.0,8.0,2.0,0.0,0.0,3.0,1.0,2.0,1.2,-8.0,4.0,1.0,0.25,45,20,13,32,48,34,61,32,19,72,57,52,52,45,75,50.0,22.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9,0.9090909090909092,0.9285714285714286,0.9411764705882352,0.9230769230769232,0.576271186440678,0.9384615384615383,0.8888888888888888,0.8636363636363636,0.9230769230769232,0.95,0.9285714285714286,0.7647058823529411,0.9375,0.925925925925926,0.0,19,13,18,17,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2321428571428571,0.2608695652173913,0.0,0.2328767123287671,19,5.0,45.0,2.3684210526315788,1.2000000000000002,59.49999999999999,3.131578947368421,0.0878247799012239,L (-17),L (-17)
4.0,4.0,2022-10-25,25-221,LAC,OKC,1.0,34.7,5.0,9.0,0.556,0.0,1.0,0.0,0.0,0.0,,4.0,10.0,14.0,2.0,0.0,7.0,1.0,2.0,10.0,16.0,-17.0,8.0,5.0,0.625,45,20,13,32,48,34,61,32,19,72,57,52,52,45,75,50.0,22.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9,0.9090909090909092,0.9285714285714286,0.9411764705882352,0.9230769230769232,0.576271186440678,0.9384615384615383,0.8888888888888888,0.8636363636363636,0.9230769230769232,0.95,0.9285714285714286,0.7647058823529411,0.9375,0.925925925925926,0.0,19,13,18,17,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2321428571428571,0.2608695652173913,0.0,0.2328767123287671,19,23.0,50.0,2.631578947368421,15.999999999999996,55.2,2.905263157894737,0.0878247799012239,L (-14),L (-14)
5.0,5.0,2022-10-27,25-223,LAC,OKC,1.0,34.35,4.0,9.0,0.444,0.0,0.0,,4.0,6.0,0.667,5.0,13.0,18.0,2.0,0.0,1.0,1.0,2.0,12.0,14.2,-14.0,9.0,4.0,0.4444444444444444,45,20,13,32,48,34,61,32,19,72,57,52,52,45,75,50.0,22.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9,0.9090909090909092,0.9285714285714286,0.9411764705882352,0.9230769230769232,0.576271186440678,0.9384615384615383,0.8888888888888888,0.8636363636363636,0.9230769230769232,0.95,0.9285714285714286,0.7647058823529411,0.9375,0.925925925925926,0.0,19,13,18,17,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2321428571428571,0.2608695652173913,0.0,0.2328767123287671,19,17.0,36.0,1.894736842105263,12.599999999999996,49.400000000000006,2.6,0.0878247799012239,L (-8),L (-8)
6.0,6.0,2022-10-30,25-226,LAC,NOP,1.0,23.433333333333334,2.0,3.0,0.667,0.0,0.0,,0.0,2.0,0.0,0.0,6.0,6.0,1.0,0.0,2.0,1.0,3.0,4.0,3.6,-10.0,3.0,2.0,0.6666666666666666,45,20,13,32,48,34,61,32,19,72,57,52,52,45,75,50.0,22.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9,0.9090909090909092,0.9285714285714286,0.9411764705882352,0.9230769230769232,0.576271186440678,0.9384615384615383,0.8888888888888888,0.8636363636363636,0.9230769230769232,0.95,0.9285714285714286,0.7647058823529411,0.9375,0.925925925925926,0.0,19,13,18,17,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2321428571428571,0.2608695652173913,0.0,0.2328767123287671,19,7.0,76.0,4.0,3.6,90.2,4.747368421052632,0.0878247799012239,L (-21),L (-21)
7.0,7.0,2022-10-31,25-227,LAC,HOU,1.0,31.666666666666668,6.0,8.0,0.75,0.0,0.0,,4.0,6.0,0.667,1.0,11.0,12.0,0.0,1.0,4.0,3.0,5.0,16.0,14.8,-2.0,8.0,6.0,0.75,45,20,13,32,48,34,61,32,19,72,57,52,52,45,75,50.0,22.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9,0.9090909090909092,0.9285714285714286,0.9411764705882352,0.9230769230769232,0.576271186440678,0.9384615384615383,0.8888888888888888,0.8636363636363636,0.9230769230769232,0.95,0.9285714285714286,0.7647058823529411,0.9375,0.925925925925926,0.0,19,13,18,17,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2321428571428571,0.2608695652173913,0.0,0.2328767123287671,19,16.0,70.0,3.684210526315789,13.200000000000005,69.7,3.668421052631579,0.0878247799012239,W (+2),W (+2)
8.0,8.0,2022-11-02,25-229,LAC,HOU,1.0,24.75,2.0,5.0,0.4,0.0,0.0,,1.0,2.0,0.5,1.0,5.0,6.0,2.0,1.0,1.0,2.0,5.0,5.0,3.2,3.0,5.0,2.0,0.4,45,20,13,32,48,34,61,32,19,72,57,52,52,45,75,50.0,22.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9,0.9090909090909092,0.9285714285714286,0.9411764705882352,0.9230769230769232,0.576271186440678,0.9384615384615383,0.8888888888888888,0.8636363636363636,0.9230769230769232,0.95,0.9285714285714286,0.7647058823529411,0.9375,0.925925925925926,0.0,19,13,18,17,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2321428571428571,0.2608695652173913,0.0,0.2328767123287671,19,6.0,81.0,4.2631578947368425,2.8,91.0,4.789473684210527,0.0878247799012239,W (+8),W (+8)
9.0,9.0,2022-11-04,25-231,LAC,SAS,1.0,36.083333333333336,8.0,10.0,0.8,0.0,0.0,,1.0,2.0,0.5,1.0,14.0,15.0,2.0,1.0,4.0,4.0,4.0,17.0,17.3,15.0,10.0,8.0,0.8,45,20,13,32,48,34,61,32,19,72,57,52,52,45,75,50.0,22.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9,0.9090909090909092,0.9285714285714286,0.9411764705882352,0.9230769230769232,0.576271186440678,0.9384615384615383,0.8888888888888888,0.8636363636363636,0.9230769230769232,0.95,0.9285714285714286,0.7647058823529411,0.9375,0.925925925925926,0.0,19,13,18,17,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2321428571428571,0.2608695652173913,0.0,0.2328767123287671,19,23.0,80.0,4.2105263157894735,16.899999999999995,88.99999999999999,4.6842105263157885,0.0878247799012239,W (+7),W (+7)
10.0,10.0,2022-11-06,25-233,LAC,UTA,1.0,34.78333333333333,6.0,12.0,0.5,0.0,0.0,,0.0,0.0,,3.0,6.0,9.0,2.0,3.0,1.0,1.0,1.0,12.0,13.6,-1.0,12.0,6.0,0.5,45,20,13,32,48,34,61,32,19,72,57,52,52,45,75,50.0,22.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9,0.9090909090909092,0.9285714285714286,0.9411764705882352,0.9230769230769232,0.576271186440678,0.9384615384615383,0.8888888888888888,0.8636363636363636,0.9230769230769232,0.95,0.9285714285714286,0.7647058823529411,0.9375,0.925925925925926,0.0,19,13,18,17,56.0,69.0,46.0,79.0,73.0,0.240506329113924,0.2321428571428571,0.2608695652173913,0.0,0.2328767123287671,19,14.0,73.0,3.842105263157895,13.6,83.7,4.405263157894737,0.0878247799012239,L (-8),L (-8)
