Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-06,21-346,UTA,LAC,0,14.583333333333334,1.0,5.0,.200,1.0,4.0,.250,2,2.0,1.000,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,2.1,-1,1.0,0.0,0.0,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,0.0,63.0,3.15,1.2999999999999998,71.39999999999999,3.5699999999999994,13.7,0.8,-1.6,-1.1,-0.5,0.0727083333333333,0.508,0.331,0.274,0.2,-0.3,W (+8),W (+8)
12.0,12.0,2022-11-07,21-347,UTA,LAL,0,20.1,6.0,11.0,.545,1.0,3.0,.333,2,3.0,.667,1.0,2.0,3.0,3.0,3.0,0.0,1.0,1.0,15.0,14.3,+19,8.0,5.0,0.625,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,9.0,80.0,4.0,13.499999999999998,93.29999999999998,4.664999999999999,13.7,0.8,-1.6,-1.1,-0.5,0.0727083333333333,0.508,0.331,0.274,0.2,-0.3,W (+23),W (+23)
13.0,13.0,2022-11-09,21-349,UTA,ATL,0,19.28333333333333,3.0,8.0,.375,2.0,4.0,.500,0,0.0,,1.0,2.0,3.0,5.0,0.0,1.0,2.0,2.0,8.0,6.3,+17,4.0,1.0,0.25,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,7.0,39.0,1.95,6.299999999999997,55.899999999999984,2.794999999999999,13.7,0.8,-1.6,-1.1,-0.5,0.0727083333333333,0.508,0.331,0.274,0.2,-0.3,W (+6),W (+6)
14.0,14.0,2022-11-12,21-352,UTA,WAS,0,16.916666666666668,3.0,7.0,.429,1.0,2.0,.500,5,6.0,.833,0.0,3.0,3.0,10.0,0.0,1.0,1.0,1.0,12.0,15.1,+13,5.0,2.0,0.4,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,12.0,40.0,2.0,13.1,53.29999999999998,2.664999999999999,13.7,0.8,-1.6,-1.1,-0.5,0.0727083333333333,0.508,0.331,0.274,0.2,-0.3,L (-9),L (-9)
15.0,15.0,2022-11-13,21-353,UTA,PHI,0,14.433333333333334,3.0,10.0,.300,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,5.0,+10,7.0,2.0,0.2857142857142857,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,3.0,30.0,1.5,5.0,43.1,2.155,13.7,0.8,-1.6,-1.1,-0.5,0.0727083333333333,0.508,0.331,0.274,0.2,-0.3,L (-7),L (-7)
16.0,16.0,2022-11-15,21-355,UTA,NYK,0,14.116666666666667,2.0,5.0,.400,0.0,2.0,.000,6,6.0,1.000,0.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,10.0,6.3,-11,3.0,2.0,0.6666666666666666,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,0.0,56.0,2.8,3.9,64.79999999999998,3.24,13.7,0.8,-1.6,-1.1,-0.5,0.0727083333333333,0.508,0.331,0.274,0.2,-0.3,L (-7),L (-7)
17.0,17.0,2022-11-18,21-358,UTA,PHO,0,15.016666666666667,3.0,6.0,.500,0.0,0.0,,1,3.0,.333,0.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,7.0,3.8,+4,6.0,3.0,0.5,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,1.0,58.0,2.9,3.4000000000000004,65.8,3.29,13.7,0.8,-1.6,-1.1,-0.5,0.0727083333333333,0.508,0.331,0.274,0.2,-0.3,W (+1),W (+1)
18.0,18.0,2022-11-19,21-359,UTA,POR,0,31.53333333333333,4.0,11.0,.364,0.0,2.0,.000,0,0.0,,1.0,4.0,5.0,2.0,1.0,1.0,0.0,2.0,8.0,6.1,+12,9.0,4.0,0.4444444444444444,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,6.0,52.0,2.6,6.099999999999999,60.8,3.04,13.7,0.8,-1.6,-1.1,-0.5,0.0727083333333333,0.508,0.331,0.274,0.2,-0.3,W (+5),W (+5)
19.0,19.0,2022-11-21,21-361,UTA,LAC,0,20.0,5.0,9.0,.556,2.0,4.0,.500,2,3.0,.667,1.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,14.0,9.1,+2,5.0,3.0,0.6,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,6.0,63.0,3.15,8.299999999999997,73.69999999999997,3.684999999999999,13.7,0.8,-1.6,-1.1,-0.5,0.0727083333333333,0.508,0.331,0.274,0.2,-0.3,L (-7),L (-7)
20.0,20.0,2022-11-23,21-363,UTA,DET,0,12.9,1.0,4.0,.250,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,-0.4,+2,2.0,0.0,0.0,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,-1.0,87.0,4.35,-0.3999999999999999,80.2,4.01,13.7,0.8,-1.6,-1.1,-0.5,0.0727083333333333,0.508,0.331,0.274,0.2,-0.3,L (-9),L (-9)
21.0,21.0,2022-11-25,22-000,UTA,GSW,0,12.183333333333334,0.0,5.0,.000,0.0,4.0,.000,0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.6,-17,1.0,0.0,0.0,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,-2.0,92.0,4.6,-2.6,92.20000000000002,4.610000000000001,13.7,0.8,-1.6,-1.1,-0.5,0.0727083333333333,0.508,0.331,0.274,0.2,-0.3,,
22.0,22.0,2022-11-26,22-001,UTA,PHO,0,16.65,4.0,7.0,.571,2.0,4.0,.500,0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,10.0,4.7,0,3.0,2.0,0.6666666666666666,38,39,15,47,54,22,53,13,7,41,5,31,27,47,43,45,30,60,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,36.0,74.0,0.7916666666666666,0.0,0.5,0.0,0.8333333333333334,0.7704918032786885,0.7941176470588235,1.0,0.803030303030303,0.9285714285714286,1.0,0.5061728395061729,0.7142857142857143,0.4626865671641791,0.4576271186440678,0.7966101694915254,0.7678571428571429,0.8653846153846154,0.8333333333333334,0.8108108108108109,17,20,41.0,52.0,67.0,0.4146341463414634,0.3846153846153846,0.0,20,2.0,70.0,3.5,4.7,71.9,3.595,13.7,0.8,-1.6,-1.1,-0.5,0.0727083333333333,0.508,0.331,0.274,0.2,-0.3,L (-11),L (-11)
