Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1,2023-02-23,28-342,UTA,OKC,0,16.716666666666665,5.0,10.0,0.5,1.0,4.0,0.25,0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,11.0,6.8,-11,6.0,4.0,0.6666666666666666,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,4.0,58.0,3.411764705882353,6.8,61.5,3.6176470588235294,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,W (+1),W (+1)
2.0,2,2023-02-25,28-344,UTA,SAS,0,23.35,7.0,13.0,0.538,1.0,3.0,0.333,0,2.0,0.0,3.0,4.0,7.0,8.0,1.0,1.0,0.0,3.0,15.0,17.3,2,10.0,6.0,0.6,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,17.0,84.0,4.941176470588236,17.299999999999997,85.90000000000002,5.05294117647059,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,W (+16),W (+16)
3.0,3,2023-02-28,28-347,UTA,SAS,0,25.95,4.0,7.0,0.571,0.0,0.0,,3,3.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,11.0,10.7,-24,7.0,4.0,0.5714285714285714,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,6.0,62.0,3.647058823529412,9.5,72.50000000000001,4.264705882352942,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,L (-8),L (-8)
4.0,4,2023-03-03,28-350,UTA,OKC,0,23.266666666666666,5.0,10.0,0.5,1.0,3.0,0.333,0,0.0,,0.0,6.0,6.0,6.0,3.0,1.0,2.0,1.0,11.0,13.3,-24,7.0,4.0,0.5714285714285714,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,15.0,69.0,4.0588235294117645,13.3,57.0,3.3529411764705883,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,L (-27),L (-27)
5.0,5,2023-03-05,28-352,UTA,OKC,0,27.116666666666667,7.0,11.0,0.636,3.0,4.0,0.75,0,0.0,,0.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,17.0,12.5,6,7.0,4.0,0.5714285714285714,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,11.0,76.0,4.470588235294118,12.5,59.89999999999999,3.5235294117647054,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,L (-10),L (-10)
6.0,6,2023-03-07,28-354,UTA,DAL,0,23.966666666666665,4.0,8.0,0.5,1.0,2.0,0.5,2,2.0,1.0,0.0,8.0,8.0,5.0,1.0,0.0,2.0,4.0,11.0,10.3,6,6.0,3.0,0.5,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,13.0,62.0,3.647058823529412,9.5,58.99999999999999,3.4705882352941173,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,L (-4),L (-4)
7.0,7,2023-03-09,28-356,UTA,ORL,0,23.03333333333333,5.0,9.0,0.556,0.0,1.0,0.0,2,2.0,1.0,1.0,8.0,9.0,4.0,3.0,1.0,2.0,4.0,12.0,13.7,3,8.0,5.0,0.625,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,16.0,50.0,2.9411764705882355,12.899999999999997,68.80000000000003,4.047058823529413,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,W (+7),W (+7)
8.0,8,2023-03-11,28-358,UTA,CHO,0,15.516666666666667,3.0,8.0,0.375,0.0,2.0,0.0,1,1.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,7.0,6.7,-9,6.0,3.0,0.5,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,6.0,56.0,3.294117647058824,6.299999999999997,53.5,3.147058823529412,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,W (+8),W (+8)
9.0,9,2023-03-13,28-360,UTA,MIA,0,20.75,3.0,5.0,0.6,0.0,0.0,,3,4.0,0.75,0.0,6.0,6.0,8.0,0.0,0.0,2.0,4.0,9.0,10.1,7,5.0,3.0,0.6,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,12.0,46.0,2.7058823529411766,8.900000000000002,41.40000000000002,2.43529411764706,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,L (-4),L (-4)
10.0,10,2023-03-18,29-000,UTA,BOS,0,20.316666666666663,2.0,7.0,0.286,1.0,1.0,1.0,2,2.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,1.0,7.0,6.3,-10,6.0,1.0,0.1666666666666666,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,5.0,83.0,4.882352941176471,5.5,80.8,4.752941176470588,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,W (+1),W (+1)
11.0,11,2023-03-20,29-002,UTA,SAC,0,31.216666666666665,7.0,12.0,0.583,2.0,2.0,1.0,2,2.0,1.0,0.0,2.0,2.0,10.0,1.0,1.0,0.0,5.0,18.0,19.7,11,10.0,5.0,0.5,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,18.0,45.0,2.647058823529412,18.9,53.89999999999999,3.170588235294117,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,W (+8),W (+8)
12.0,12,2023-03-22,29-004,UTA,POR,0,23.08333333333333,5.0,11.0,0.455,0.0,1.0,0.0,5,7.0,0.714,0.0,6.0,6.0,3.0,1.0,0.0,1.0,1.0,15.0,12.0,-9,10.0,5.0,0.5,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,6.0,83.0,4.882352941176471,9.999999999999998,88.7,5.2176470588235295,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,L (-12),L (-12)
13.0,13,2023-03-24,29-006,UTA,MIL,0,27.23333333333333,1.0,8.0,0.125,0.0,3.0,0.0,0,0.0,,0.0,2.0,2.0,6.0,0.0,0.0,1.0,3.0,2.0,-0.6,-2,5.0,1.0,0.2,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,1.0,45.0,2.647058823529412,-0.6000000000000005,61.49999999999999,3.617647058823529,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,L (-28),L (-28)
14.0,14,2023-03-25,29-007,UTA,SAC,0,25.766666666666666,5.0,11.0,0.455,1.0,2.0,0.5,1,3.0,0.333,0.0,4.0,4.0,5.0,0.0,0.0,3.0,1.0,12.0,6.8,2,9.0,4.0,0.4444444444444444,22,20,22,22,22,3,7,22,2,17,12,6,12,12,22,6,19,48.0,1.0,78.0,4.0,18.0,61.0,68.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.4583333333333333,0.0,0.2564102564102564,0.0,0.0,0.360655737704918,0.3235294117647059,0.3333333333333333,0.2142857142857142,1.0,0.2716049382716049,0.2857142857142857,0.2537313432835821,0.2033898305084746,0.1016949152542373,0.2142857142857142,0.2307692307692307,0.3384615384615385,0.1666666666666666,0.2567567567567567,41.0,52.0,67.0,0.0,0.0,0.0,17,4.0,48.0,2.823529411764706,6.4,59.99999999999999,3.529411764705882,19.1,1.9,2.4,0.7,1.7,0.0302083333333333,0.606,0.167,0.245,0.6,1.3,L (-8),L (-8)
