Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,21-085,UTA,DEN,0.0,23.666666666666668,5.0,5.0,1.0,0.0,0.0,,2.0,6.0,0.333,2.0,8.0,10.0,1.0,1.0,0.0,1.0,2.0,12.0,12.6,12.0,5.0,5.0,1.0,44,49,14,58,61,19,62,13,5,52,3,41,33,51,55,47,60,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,0.9166666666666666,0.0,0.6282051282051282,0.0,0.7777777777777778,0.9508196721311476,0.8970588235294118,0.8636363636363636,0.9393939393939394,0.9285714285714286,0.7142857142857143,0.6419753086419753,0.4285714285714285,0.6119402985074627,0.559322033898305,0.864406779661017,0.9821428571428572,0.903846153846154,0.9230769230769232,0.8333333333333334,15,19,41.0,52.0,67.0,0.3658536585365853,0.3653846153846153,0.0,20,12.0,50.0,2.5,11.8,53.2,2.66,21.5,7.1,2.9,1.4,1.5,0.0707291666666666,0.702,0.007,0.384,2.1,4.6,W (+21),W (+21)
2.0,2.0,2022-10-21,21-087,UTA,MIN,0.0,17.7,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,3.0,2.0,5.0,2.0,0.0,4.0,1.0,1.0,6.0,9.8,-3.0,3.0,2.0,0.6666666666666666,44,49,14,58,61,19,62,13,5,52,3,41,33,51,55,47,60,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,0.9166666666666666,0.0,0.6282051282051282,0.0,0.7777777777777778,0.9508196721311476,0.8970588235294118,0.8636363636363636,0.9393939393939394,0.9285714285714286,0.7142857142857143,0.6419753086419753,0.4285714285714285,0.6119402985074627,0.559322033898305,0.864406779661017,0.9821428571428572,0.903846153846154,0.9230769230769232,0.8333333333333334,15,19,41.0,52.0,67.0,0.3658536585365853,0.3653846153846153,0.0,20,10.0,91.0,4.55,8.999999999999998,103.3,5.165,21.5,7.1,2.9,1.4,1.5,0.0707291666666666,0.702,0.007,0.384,2.1,4.6,W (+6),W (+6)
3.0,3.0,2022-10-23,21-089,UTA,NOP,0.0,22.266666666666666,3.0,6.0,0.5,0.0,0.0,,1.0,2.0,0.5,6.0,3.0,9.0,2.0,0.0,2.0,0.0,2.0,7.0,10.7,9.0,6.0,3.0,0.5,44,49,14,58,61,19,62,13,5,52,3,41,33,51,55,47,60,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,0.9166666666666666,0.0,0.6282051282051282,0.0,0.7777777777777778,0.9508196721311476,0.8970588235294118,0.8636363636363636,0.9393939393939394,0.9285714285714286,0.7142857142857143,0.6419753086419753,0.4285714285714285,0.6119402985074627,0.559322033898305,0.864406779661017,0.9821428571428572,0.903846153846154,0.9230769230769232,0.8333333333333334,15,19,41.0,52.0,67.0,0.3658536585365853,0.3653846153846153,0.0,20,12.0,56.0,2.8,10.299999999999995,77.80000000000001,3.890000000000001,21.5,7.1,2.9,1.4,1.5,0.0707291666666666,0.702,0.007,0.384,2.1,4.6,W (+1),W (+1)
4.0,4.0,2022-10-24,21-090,UTA,HOU,0.0,8.466666666666667,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,-2.3,0.0,1.0,0.0,0.0,44,49,14,58,61,19,62,13,5,52,3,41,33,51,55,47,60,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,0.9166666666666666,0.0,0.6282051282051282,0.0,0.7777777777777778,0.9508196721311476,0.8970588235294118,0.8636363636363636,0.9393939393939394,0.9285714285714286,0.7142857142857143,0.6419753086419753,0.4285714285714285,0.6119402985074627,0.559322033898305,0.864406779661017,0.9821428571428572,0.903846153846154,0.9230769230769232,0.8333333333333334,15,19,41.0,52.0,67.0,0.3658536585365853,0.3653846153846153,0.0,20,0.0,84.0,4.2,-2.3,76.6,3.83,21.5,7.1,2.9,1.4,1.5,0.0707291666666666,0.702,0.007,0.384,2.1,4.6,L (-6),L (-6)
5.0,5.0,2022-10-26,21-092,UTA,HOU,0.0,11.05,0.0,1.0,0.0,0.0,0.0,,4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,3.2,-4.0,1.0,0.0,0.0,44,49,14,58,61,19,62,13,5,52,3,41,33,51,55,47,60,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,0.9166666666666666,0.0,0.6282051282051282,0.0,0.7777777777777778,0.9508196721311476,0.8970588235294118,0.8636363636363636,0.9393939393939394,0.9285714285714286,0.7142857142857143,0.6419753086419753,0.4285714285714285,0.6119402985074627,0.559322033898305,0.864406779661017,0.9821428571428572,0.903846153846154,0.9230769230769232,0.8333333333333334,15,19,41.0,52.0,67.0,0.3658536585365853,0.3653846153846153,0.0,20,1.0,86.0,4.3,1.5999999999999996,71.79999999999998,3.589999999999999,21.5,7.1,2.9,1.4,1.5,0.0707291666666666,0.702,0.007,0.384,2.1,4.6,W (+8),W (+8)
6.0,,2022-10-28,21-094,UTA,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,49,14,58,61,19,62,13,5,52,3,41,33,51,55,47,60,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,0.9166666666666666,0.0,0.6282051282051282,0.0,0.7777777777777778,0.9508196721311476,0.8970588235294118,0.8636363636363636,0.9393939393939394,0.9285714285714286,0.7142857142857143,0.6419753086419753,0.4285714285714285,0.6119402985074627,0.559322033898305,0.864406779661017,0.9821428571428572,0.903846153846154,0.9230769230769232,0.8333333333333334,15,19,41.0,52.0,67.0,0.3658536585365853,0.3653846153846153,0.0,20,,75.0,3.75,0.0,68.1,3.405,21.5,7.1,2.9,1.4,1.5,0.0707291666666666,0.702,0.007,0.384,2.1,4.6,L (-16),L (-16)
7.0,,2022-10-29,21-095,UTA,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,49,14,58,61,19,62,13,5,52,3,41,33,51,55,47,60,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,0.9166666666666666,0.0,0.6282051282051282,0.0,0.7777777777777778,0.9508196721311476,0.8970588235294118,0.8636363636363636,0.9393939393939394,0.9285714285714286,0.7142857142857143,0.6419753086419753,0.4285714285714285,0.6119402985074627,0.559322033898305,0.864406779661017,0.9821428571428572,0.903846153846154,0.9230769230769232,0.8333333333333334,15,19,41.0,52.0,67.0,0.3658536585365853,0.3653846153846153,0.0,20,,66.0,3.3,0.0,81.70000000000002,4.085000000000001,21.5,7.1,2.9,1.4,1.5,0.0707291666666666,0.702,0.007,0.384,2.1,4.6,W (+1),W (+1)
8.0,,2022-10-31,21-097,UTA,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,44,49,14,58,61,19,62,13,5,52,3,41,33,51,55,47,60,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,0.9166666666666666,0.0,0.6282051282051282,0.0,0.7777777777777778,0.9508196721311476,0.8970588235294118,0.8636363636363636,0.9393939393939394,0.9285714285714286,0.7142857142857143,0.6419753086419753,0.4285714285714285,0.6119402985074627,0.559322033898305,0.864406779661017,0.9821428571428572,0.903846153846154,0.9230769230769232,0.8333333333333334,15,19,41.0,52.0,67.0,0.3658536585365853,0.3653846153846153,0.0,20,,62.0,3.1,0.0,61.6,3.08,21.5,7.1,2.9,1.4,1.5,0.0707291666666666,0.702,0.007,0.384,2.1,4.6,W (+16),W (+16)
9.0,6.0,2022-11-02,21-099,UTA,DAL,0.0,4.033333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-2.0,0.0,0.0,,44,49,14,58,61,19,62,13,5,52,3,41,33,51,55,47,60,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,0.9166666666666666,0.0,0.6282051282051282,0.0,0.7777777777777778,0.9508196721311476,0.8970588235294118,0.8636363636363636,0.9393939393939394,0.9285714285714286,0.7142857142857143,0.6419753086419753,0.4285714285714285,0.6119402985074627,0.559322033898305,0.864406779661017,0.9821428571428572,0.903846153846154,0.9230769230769232,0.8333333333333334,15,19,41.0,52.0,67.0,0.3658536585365853,0.3653846153846153,0.0,20,0.0,58.0,2.9,-0.4,50.90000000000003,2.5450000000000013,21.5,7.1,2.9,1.4,1.5,0.0707291666666666,0.702,0.007,0.384,2.1,4.6,L (-3),L (-3)
10.0,7.0,2022-11-04,21-101,UTA,LAL,0.0,10.6,4.0,5.0,0.8,0.0,0.0,,0.0,0.0,,3.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,8.0,9.9,0.0,5.0,4.0,0.8,44,49,14,58,61,19,62,13,5,52,3,41,33,51,55,47,60,30,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,0.9166666666666666,0.0,0.6282051282051282,0.0,0.7777777777777778,0.9508196721311476,0.8970588235294118,0.8636363636363636,0.9393939393939394,0.9285714285714286,0.7142857142857143,0.6419753086419753,0.4285714285714285,0.6119402985074627,0.559322033898305,0.864406779661017,0.9821428571428572,0.903846153846154,0.9230769230769232,0.8333333333333334,15,19,41.0,52.0,67.0,0.3658536585365853,0.3653846153846153,0.0,20,9.0,79.0,3.95,9.9,79.59999999999998,3.979999999999999,21.5,7.1,2.9,1.4,1.5,0.0707291666666666,0.702,0.007,0.384,2.1,4.6,W (+14),W (+14)
