Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Rudy Gay,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Rudy Gay,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Rudy Gay,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,25-150,UTA,DEN,1.0,33.05,6.0,12.0,0.5,3.0,7.0,0.429,2.0,2.0,1.0,0.0,4.0,4.0,4.0,2.0,0.0,1.0,3.0,17.0,14.8,4.0,5.0,3.0,0.6,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,12.0,50.0,2.5,14.0,51.0,2.55,22.1,8.2,3.8,4.9,-1.0,0.1761458333333333,0.64,0.446,0.348,3.3,6.3,W (+21),W (+21)
2.0,2.0,2022-10-21,25-152,UTA,MIN,1.0,39.13333333333333,10.0,23.0,0.435,2.0,10.0,0.2,2.0,2.0,1.0,5.0,8.0,13.0,5.0,0.0,1.0,1.0,1.0,24.0,20.6,7.0,13.0,8.0,0.6153846153846154,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,17.0,84.0,4.2,19.800000000000004,92.5,4.625,22.1,8.2,3.8,4.9,-1.0,0.1761458333333333,0.64,0.446,0.348,3.3,6.3,W (+6),W (+6)
3.0,3.0,2022-10-23,25-154,UTA,NOP,1.0,39.266666666666666,9.0,17.0,0.529,2.0,6.0,0.333,11.0,11.0,1.0,3.0,9.0,12.0,2.0,2.0,1.0,2.0,3.0,31.0,28.4,6.0,11.0,7.0,0.6363636363636364,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,18.0,50.0,2.5,24.00000000000001,64.10000000000001,3.2050000000000005,22.1,8.2,3.8,4.9,-1.0,0.1761458333333333,0.64,0.446,0.348,3.3,6.3,W (+1),W (+1)
4.0,4.0,2022-10-24,25-155,UTA,HOU,1.0,30.9,7.0,19.0,0.368,0.0,6.0,0.0,0.0,3.0,0.0,3.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0,14.0,5.0,1.0,13.0,7.0,0.5384615384615384,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,-2.0,86.0,4.3,4.999999999999997,69.3,3.465,22.1,8.2,3.8,4.9,-1.0,0.1761458333333333,0.64,0.446,0.348,3.3,6.3,L (-6),L (-6)
5.0,5.0,2022-10-26,25-157,UTA,HOU,1.0,34.0,10.0,15.0,0.667,1.0,4.0,0.25,3.0,4.0,0.75,1.0,8.0,9.0,3.0,0.0,1.0,4.0,1.0,24.0,18.6,10.0,11.0,9.0,0.8181818181818182,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,14.0,73.0,3.65,17.4,55.99999999999999,2.8,22.1,8.2,3.8,4.9,-1.0,0.1761458333333333,0.64,0.446,0.348,3.3,6.3,W (+8),W (+8)
6.0,6.0,2022-10-28,25-159,UTA,DEN,1.0,25.933333333333334,7.0,14.0,0.5,3.0,6.0,0.5,0.0,0.0,,2.0,8.0,10.0,1.0,0.0,0.0,3.0,3.0,17.0,10.3,-10.0,8.0,4.0,0.5,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,11.0,64.0,3.2,10.299999999999995,57.8,2.89,22.1,8.2,3.8,4.9,-1.0,0.1761458333333333,0.64,0.446,0.348,3.3,6.3,L (-16),L (-16)
7.0,7.0,2022-10-29,25-160,UTA,MEM,1.0,37.93333333333333,9.0,21.0,0.429,2.0,9.0,0.222,3.0,3.0,1.0,2.0,7.0,9.0,5.0,1.0,1.0,2.0,1.0,23.0,18.2,9.0,12.0,7.0,0.5833333333333334,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,13.0,53.0,2.65,17.000000000000007,64.7,3.2350000000000003,22.1,8.2,3.8,4.9,-1.0,0.1761458333333333,0.64,0.446,0.348,3.3,6.3,W (+1),W (+1)
8.0,8.0,2022-10-31,25-162,UTA,MEM,1.0,31.566666666666663,11.0,15.0,0.733,4.0,6.0,0.667,5.0,6.0,0.833,4.0,7.0,11.0,2.0,1.0,4.0,2.0,2.0,31.0,31.8,15.0,9.0,7.0,0.7777777777777778,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,26.0,36.0,1.8,29.8,31.8,1.59,22.1,8.2,3.8,4.9,-1.0,0.1761458333333333,0.64,0.446,0.348,3.3,6.3,W (+16),W (+16)
9.0,9.0,2022-11-02,25-164,UTA,DAL,1.0,33.53333333333333,6.0,10.0,0.6,0.0,4.0,0.0,2.0,3.0,0.667,0.0,7.0,7.0,0.0,0.0,0.0,2.0,3.0,14.0,7.9,3.0,6.0,6.0,1.0,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,6.0,52.0,2.6,7.100000000000001,43.40000000000003,2.1700000000000013,22.1,8.2,3.8,4.9,-1.0,0.1761458333333333,0.64,0.446,0.348,3.3,6.3,L (-3),L (-3)
10.0,10.0,2022-11-04,25-166,UTA,LAL,1.0,32.7,9.0,17.0,0.529,3.0,9.0,0.333,6.0,6.0,1.0,3.0,10.0,13.0,4.0,1.0,1.0,1.0,1.0,27.0,26.9,4.0,8.0,6.0,0.75,44,47,9,55,56,22,13,7,50,3,40,31,43,50,39,53,27,62,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,14.0,7,81.0,7.0,67.0,59.0,59.0,56.0,52.0,65.0,36.0,74.0,0.9166666666666666,0.0,0.6025641025641025,0.0,0.5,0.9016393442622952,0.8235294117647058,1.0,0.9285714285714286,1.0,0.6172839506172839,0.4285714285714285,0.5970149253731343,0.5254237288135594,0.7288135593220338,0.8928571428571429,0.75,0.8153846153846154,0.75,0.8378378378378378,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,22.0,66.0,3.3,24.500000000000007,64.99999999999999,3.249999999999999,22.1,8.2,3.8,4.9,-1.0,0.1761458333333333,0.64,0.446,0.348,3.3,6.3,W (+14),W (+14)
