Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-09,27-338,MIL,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,,82.0,4.315789473684211,0.0,95.3,5.015789473684211,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+4),W (+4)
12.0,,2022-11-11,27-340,MIL,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,,40.0,2.1052631578947367,0.0,54.7,2.878947368421053,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-18),L (-18)
13.0,10.0,2022-11-14,27-343,MIL,ATL,1.0,30.916666666666668,8.0,21.0,0.381,0.0,3.0,0.0,11.0,18.0,0.611,1.0,7.0,8.0,4.0,1.0,0.0,8.0,6.0,27.0,8.9,-13.0,18.0,8.0,0.4444444444444444,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,-7.0,38.0,2.0,4.499999999999998,51.6,2.7157894736842105,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-15),L (-15)
14.0,11.0,2022-11-16,27-345,MIL,CLE,1.0,31.53333333333333,6.0,18.0,0.333,0.0,2.0,0.0,4.0,11.0,0.364,2.0,10.0,12.0,8.0,0.0,0.0,2.0,1.0,16.0,10.6,10.0,16.0,6.0,0.375,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,5.0,60.0,3.1578947368421053,8.999999999999998,58.6,3.0842105263157897,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+15),W (+15)
15.0,12.0,2022-11-18,27-347,MIL,PHI,1.0,34.266666666666666,10.0,22.0,0.455,1.0,5.0,0.2,4.0,15.0,0.267,0.0,14.0,14.0,4.0,1.0,1.0,5.0,4.0,25.0,11.3,-12.0,17.0,9.0,0.5294117647058824,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,3.0,51.0,2.6842105263157894,9.700000000000005,52.6,2.768421052631579,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-8),L (-8)
16.0,13.0,2022-11-21,27-350,MIL,POR,1.0,35.083333333333336,16.0,24.0,0.667,0.0,1.0,0.0,5.0,12.0,0.417,2.0,5.0,7.0,6.0,2.0,0.0,1.0,3.0,37.0,30.7,19.0,23.0,16.0,0.6956521739130435,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,15.0,62.0,3.263157894736842,28.700000000000003,65.49999999999999,3.447368421052631,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+8),W (+8)
17.0,14.0,2022-11-23,27-352,MIL,CHI,1.0,34.0,15.0,27.0,0.556,0.0,2.0,0.0,6.0,9.0,0.667,3.0,8.0,11.0,7.0,0.0,0.0,8.0,5.0,36.0,21.3,5.0,25.0,15.0,0.6,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,10.0,65.0,3.421052631578948,18.9,49.99999999999999,2.631578947368421,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-5),L (-5)
18.0,15.0,2022-11-25,27-354,MIL,CLE,1.0,30.966666666666665,13.0,20.0,0.65,2.0,3.0,0.667,10.0,14.0,0.714,3.0,6.0,9.0,6.0,0.0,2.0,3.0,3.0,38.0,32.9,15.0,17.0,11.0,0.6470588235294118,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,18.0,59.0,3.1052631578947367,28.899999999999995,55.4,2.9157894736842103,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+15),W (+15)
19.0,16.0,2022-11-27,27-356,MIL,DAL,1.0,29.4,11.0,19.0,0.579,0.0,2.0,0.0,8.0,10.0,0.8,3.0,8.0,11.0,4.0,1.0,0.0,3.0,5.0,30.0,23.6,16.0,17.0,11.0,0.6470588235294118,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,14.0,62.0,3.263157894736842,20.4,70.3,3.7,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+9),W (+9)
20.0,17.0,2022-11-30,27-359,MIL,NYK,1.0,36.61666666666667,13.0,25.0,0.52,2.0,8.0,0.25,9.0,12.0,0.75,4.0,9.0,13.0,7.0,0.0,1.0,3.0,6.0,37.0,29.2,-5.0,17.0,11.0,0.6470588235294118,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,18.0,55.0,2.894736842105264,25.6,59.89999999999999,3.152631578947368,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+6),W (+6)
21.0,18.0,2022-12-02,27-361,MIL,LAL,1.0,35.1,16.0,23.0,0.696,0.0,3.0,0.0,8.0,11.0,0.727,3.0,4.0,7.0,5.0,0.0,1.0,3.0,2.0,40.0,32.8,2.0,20.0,16.0,0.8,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,16.0,67.0,3.526315789473684,29.600000000000016,72.99999999999999,3.842105263157894,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,,
22.0,,2022-12-03,27-362,MIL,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,,61.0,3.210526315789474,0.0,61.3,3.226315789473684,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-4),L (-4)
23.0,19.0,2022-12-05,27-364,MIL,ORL,1.0,33.2,12.0,21.0,0.571,2.0,4.0,0.5,8.0,11.0,0.727,1.0,12.0,13.0,5.0,1.0,2.0,4.0,4.0,34.0,27.5,-4.0,17.0,10.0,0.5882352941176471,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,19.0,36.0,1.894736842105263,24.3,41.29999999999999,2.173684210526315,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+9),W (+9)
