Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Giannis Antetokounmpo,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Brook Lopez,George Hill,Giannis Antetokounmpo,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Giannis Antetokounmpo,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-20,27-252,MIL,PHI,0,22.7,5.0,10.0,.500,1.0,4.0,.250,0,0.0,,1.0,9.0,10.0,0.0,0.0,0.0,1.0,1.0,11.0,8.0,-2,6.0,4.0,0.6666666666666666,32,67,34,52,61,69,36,34,56,24,46,9,51,19,16,32,40,35.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.8589743589743589,0.7391304347826086,0.8253968253968254,0.8472222222222222,0.8518518518518519,0.782608695652174,0.5483870967741935,0.835820895522388,0.7272727272727273,0.0,0.8846153846153846,1.0,0.8360655737704918,0.4418604651162791,1.0,0.8648648648648649,0.7692307692307693,6,15,58.0,18.0,16.0,0.1034482758620689,0.8333333333333334,0.0,19,10.0,59.0,3.1052631578947367,7.999999999999998,64.79999999999998,3.4105263157894727,0.1029304411304619,W (+2),W (+2)
2.0,2.0,2022-10-22,27-254,MIL,HOU,0,22.5,6.0,10.0,.600,1.0,1.0,1.000,0,0.0,,3.0,5.0,8.0,1.0,1.0,1.0,2.0,2.0,13.0,11.6,+8,9.0,5.0,0.5555555555555556,32,67,34,52,61,69,36,34,56,24,46,9,51,19,16,32,40,35.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.8589743589743589,0.7391304347826086,0.8253968253968254,0.8472222222222222,0.8518518518518519,0.782608695652174,0.5483870967741935,0.835820895522388,0.7272727272727273,0.0,0.8846153846153846,1.0,0.8360655737704918,0.4418604651162791,1.0,0.8648648648648649,0.7692307692307693,6,15,58.0,18.0,16.0,0.1034482758620689,0.8333333333333334,0.0,19,12.0,69.0,3.631578947368421,11.599999999999998,77.60000000000001,4.08421052631579,0.1029304411304619,W (+20),W (+20)
3.0,3.0,2022-10-26,27-258,MIL,BRK,0,26.15,8.0,14.0,.571,3.0,6.0,.500,1,2.0,.500,3.0,8.0,11.0,0.0,2.0,2.0,0.0,0.0,20.0,20.9,-4,8.0,5.0,0.625,32,67,34,52,61,69,36,34,56,24,46,9,51,19,16,32,40,35.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.8589743589743589,0.7391304347826086,0.8253968253968254,0.8472222222222222,0.8518518518518519,0.782608695652174,0.5483870967741935,0.835820895522388,0.7272727272727273,0.0,0.8846153846153846,1.0,0.8360655737704918,0.4418604651162791,1.0,0.8648648648648649,0.7692307692307693,6,15,58.0,18.0,16.0,0.1034482758620689,0.8333333333333334,0.0,19,19.0,42.0,2.210526315789474,20.5,50.29999999999998,2.6473684210526307,0.1029304411304619,W (+11),W (+11)
4.0,4.0,2022-10-28,27-260,MIL,NYK,0,25.25,4.0,13.0,.308,0.0,2.0,.000,4,4.0,1.000,8.0,4.0,12.0,1.0,0.0,0.0,0.0,4.0,12.0,10.4,-4,11.0,4.0,0.3636363636363636,32,67,34,52,61,69,36,34,56,24,46,9,51,19,16,32,40,35.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.8589743589743589,0.7391304347826086,0.8253968253968254,0.8472222222222222,0.8518518518518519,0.782608695652174,0.5483870967741935,0.835820895522388,0.7272727272727273,0.0,0.8846153846153846,1.0,0.8360655737704918,0.4418604651162791,1.0,0.8648648648648649,0.7692307692307693,6,15,58.0,18.0,16.0,0.1034482758620689,0.8333333333333334,0.0,19,8.0,66.0,3.473684210526316,8.799999999999999,80.19999999999999,4.221052631578947,0.1029304411304619,W (+11),W (+11)
5.0,5.0,2022-10-29,27-261,MIL,ATL,0,24.23333333333333,4.0,12.0,.333,1.0,5.0,.200,0,0.0,,1.0,9.0,10.0,4.0,0.0,0.0,0.0,1.0,9.0,8.0,+15,7.0,3.0,0.4285714285714285,32,67,34,52,61,69,36,34,56,24,46,9,51,19,16,32,40,35.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.8589743589743589,0.7391304347826086,0.8253968253968254,0.8472222222222222,0.8518518518518519,0.782608695652174,0.5483870967741935,0.835820895522388,0.7272727272727273,0.0,0.8846153846153846,1.0,0.8360655737704918,0.4418604651162791,1.0,0.8648648648648649,0.7692307692307693,6,15,58.0,18.0,16.0,0.1034482758620689,0.8333333333333334,0.0,19,11.0,70.0,3.684210526315789,7.999999999999998,89.60000000000001,4.715789473684211,0.1029304411304619,W (+8),W (+8)
6.0,6.0,2022-10-31,27-263,MIL,DET,0,27.766666666666666,6.0,11.0,.545,2.0,4.0,.500,1,3.0,.333,3.0,9.0,12.0,2.0,0.0,0.0,1.0,1.0,15.0,13.7,-1,7.0,4.0,0.5714285714285714,32,67,34,52,61,69,36,34,56,24,46,9,51,19,16,32,40,35.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.8589743589743589,0.7391304347826086,0.8253968253968254,0.8472222222222222,0.8518518518518519,0.782608695652174,0.5483870967741935,0.835820895522388,0.7272727272727273,0.0,0.8846153846153846,1.0,0.8360655737704918,0.4418604651162791,1.0,0.8648648648648649,0.7692307692307693,6,15,58.0,18.0,16.0,0.1034482758620689,0.8333333333333334,0.0,19,14.0,52.0,2.736842105263158,13.3,67.3,3.5421052631578944,0.1029304411304619,W (+2),W (+2)
7.0,7.0,2022-11-02,27-265,MIL,DET,0,24.03333333333333,5.0,9.0,.556,0.0,3.0,.000,0,0.0,,3.0,6.0,9.0,3.0,0.0,0.0,2.0,2.0,10.0,8.9,+6,6.0,5.0,0.8333333333333334,32,67,34,52,61,69,36,34,56,24,46,9,51,19,16,32,40,35.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.8589743589743589,0.7391304347826086,0.8253968253968254,0.8472222222222222,0.8518518518518519,0.782608695652174,0.5483870967741935,0.835820895522388,0.7272727272727273,0.0,0.8846153846153846,1.0,0.8360655737704918,0.4418604651162791,1.0,0.8648648648648649,0.7692307692307693,6,15,58.0,18.0,16.0,0.1034482758620689,0.8333333333333334,0.0,19,11.0,59.0,3.1052631578947367,8.899999999999999,71.0,3.736842105263158,0.1029304411304619,W (+25),W (+25)
8.0,8.0,2022-11-04,27-267,MIL,MIN,0,30.433333333333334,7.0,14.0,.500,2.0,6.0,.333,2,2.0,1.000,0.0,8.0,8.0,5.0,0.0,0.0,1.0,1.0,18.0,15.5,+8,8.0,5.0,0.625,32,67,34,52,61,69,36,34,56,24,46,9,51,19,16,32,40,35.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.8589743589743589,0.7391304347826086,0.8253968253968254,0.8472222222222222,0.8518518518518519,0.782608695652174,0.5483870967741935,0.835820895522388,0.7272727272727273,0.0,0.8846153846153846,1.0,0.8360655737704918,0.4418604651162791,1.0,0.8648648648648649,0.7692307692307693,6,15,58.0,18.0,16.0,0.1034482758620689,0.8333333333333334,0.0,19,14.0,70.0,3.684210526315789,14.699999999999998,82.29999999999998,4.3315789473684205,0.1029304411304619,W (+13),W (+13)
9.0,9.0,2022-11-05,27-268,MIL,OKC,1,29.266666666666666,5.0,15.0,.333,2.0,5.0,.400,0,0.0,,4.0,17.0,21.0,2.0,0.0,0.0,1.0,0.0,12.0,11.8,+12,10.0,3.0,0.3,32,67,34,52,61,69,36,34,56,24,46,9,51,19,16,32,40,35.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.8589743589743589,0.7391304347826086,0.8253968253968254,0.8472222222222222,0.8518518518518519,0.782608695652174,0.5483870967741935,0.835820895522388,0.7272727272727273,0.0,0.8846153846153846,1.0,0.8360655737704918,0.4418604651162791,1.0,0.8648648648648649,0.7692307692307693,6,15,58.0,18.0,16.0,0.1034482758620689,0.8333333333333334,0.0,19,19.0,53.0,2.789473684210526,11.799999999999995,67.9,3.573684210526316,0.1029304411304619,W (+14),W (+14)
10.0,10.0,2022-11-07,27-270,MIL,ATL,0,23.03333333333333,4.0,8.0,.500,2.0,5.0,.400,1,2.0,.500,1.0,9.0,10.0,2.0,0.0,0.0,1.0,0.0,11.0,10.4,-4,3.0,2.0,0.6666666666666666,32,67,34,52,61,69,36,34,56,24,46,9,51,19,16,32,40,35.0,78.0,46.0,63.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.9142857142857144,0.8589743589743589,0.7391304347826086,0.8253968253968254,0.8472222222222222,0.8518518518518519,0.782608695652174,0.5483870967741935,0.835820895522388,0.7272727272727273,0.0,0.8846153846153846,1.0,0.8360655737704918,0.4418604651162791,1.0,0.8648648648648649,0.7692307692307693,6,15,58.0,18.0,16.0,0.1034482758620689,0.8333333333333334,0.0,19,12.0,34.0,1.7894736842105263,9.999999999999998,45.5,2.394736842105264,0.1029304411304619,L (-19),L (-19)
