Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Shared Games with George Hill,Shared Games with Jordan Nwora,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,29-306,IND,WAS,1.0,31.55,6.0,16.0,0.375,4.0,11.0,0.364,0.0,0.0,,4.0,6.0,10.0,3.0,0.0,0.0,1.0,2.0,16.0,12.1,0.0,5.0,2.0,0.4,71,73,76,46,7,21,61,66,17,6,62,63,73,26,7,56,73.0,75.0,78.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9726027397260274,0.9733333333333334,0.9743589743589745,1.0,1.0,0.0,0.5526315789473685,0.9682539682539684,0.9705882352941176,0.9444444444444444,1.0,1.0,0.9692307692307692,0.9733333333333334,0.8387096774193549,1.0,1.0,11,22,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3548387096774194,0.0,18,12.0,51.0,2.833333333333333,12.1,52.29999999999999,2.905555555555555,15.4,4.4,1.9,2.5,-0.6,0.1409543786051389,0.614,0.652,0.124,2.4,2.7,L (-7),L (-7)
2.0,2.0,2022-10-21,29-308,IND,SAS,1.0,24.48333333333333,5.0,9.0,0.556,3.0,6.0,0.5,0.0,0.0,,2.0,3.0,5.0,2.0,2.0,1.0,3.0,5.0,13.0,10.1,-8.0,3.0,2.0,0.6666666666666666,71,73,76,46,7,21,61,66,17,6,62,63,73,26,7,56,73.0,75.0,78.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9726027397260274,0.9733333333333334,0.9743589743589745,1.0,1.0,0.0,0.5526315789473685,0.9682539682539684,0.9705882352941176,0.9444444444444444,1.0,1.0,0.9692307692307692,0.9733333333333334,0.8387096774193549,1.0,1.0,11,22,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3548387096774194,0.0,18,11.0,101.0,5.611111111111111,10.099999999999994,89.6,4.977777777777778,15.4,4.4,1.9,2.5,-0.6,0.1409543786051389,0.614,0.652,0.124,2.4,2.7,L (-3),L (-3)
3.0,3.0,2022-10-22,29-309,IND,DET,1.0,15.533333333333331,2.0,8.0,0.25,2.0,6.0,0.333,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,6.0,1.2,0.0,2.0,0.0,0.0,71,73,76,46,7,21,61,66,17,6,62,63,73,26,7,56,73.0,75.0,78.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9726027397260274,0.9733333333333334,0.9743589743589745,1.0,1.0,0.0,0.5526315789473685,0.9682539682539684,0.9705882352941176,0.9444444444444444,1.0,1.0,0.9692307692307692,0.9733333333333334,0.8387096774193549,1.0,1.0,11,22,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3548387096774194,0.0,18,0.0,100.0,5.555555555555555,1.1999999999999995,95.20000000000002,5.28888888888889,15.4,4.4,1.9,2.5,-0.6,0.1409543786051389,0.614,0.652,0.124,2.4,2.7,W (+9),W (+9)
4.0,4.0,2022-10-24,29-311,IND,PHI,1.0,27.766666666666666,6.0,14.0,0.429,3.0,10.0,0.3,3.0,3.0,1.0,0.0,6.0,6.0,6.0,0.0,0.0,1.0,3.0,18.0,14.4,-4.0,4.0,3.0,0.75,71,73,76,46,7,21,61,66,17,6,62,63,73,26,7,56,73.0,75.0,78.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9726027397260274,0.9733333333333334,0.9743589743589745,1.0,1.0,0.0,0.5526315789473685,0.9682539682539684,0.9705882352941176,0.9444444444444444,1.0,1.0,0.9692307692307692,0.9733333333333334,0.8387096774193549,1.0,1.0,11,22,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3548387096774194,0.0,18,12.0,71.0,3.9444444444444446,13.200000000000005,58.29999999999999,3.2388888888888885,15.4,4.4,1.9,2.5,-0.6,0.1409543786051389,0.614,0.652,0.124,2.4,2.7,L (-14),L (-14)
5.0,5.0,2022-10-26,29-313,IND,CHI,1.0,32.083333333333336,8.0,16.0,0.5,7.0,12.0,0.583,2.0,3.0,0.667,1.0,2.0,3.0,4.0,0.0,0.0,2.0,0.0,25.0,18.7,-3.0,4.0,1.0,0.25,71,73,76,46,7,21,61,66,17,6,62,63,73,26,7,56,73.0,75.0,78.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9726027397260274,0.9733333333333334,0.9743589743589745,1.0,1.0,0.0,0.5526315789473685,0.9682539682539684,0.9705882352941176,0.9444444444444444,1.0,1.0,0.9692307692307692,0.9733333333333334,0.8387096774193549,1.0,1.0,11,22,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3548387096774194,0.0,18,11.0,79.0,4.388888888888889,17.9,68.1,3.783333333333333,15.4,4.4,1.9,2.5,-0.6,0.1409543786051389,0.614,0.652,0.124,2.4,2.7,L (-15),L (-15)
6.0,6.0,2022-10-28,29-315,IND,WAS,1.0,33.36666666666667,10.0,17.0,0.588,5.0,9.0,0.556,0.0,0.0,,0.0,5.0,5.0,2.0,0.0,0.0,1.0,1.0,25.0,18.6,10.0,8.0,5.0,0.625,71,73,76,46,7,21,61,66,17,6,62,63,73,26,7,56,73.0,75.0,78.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9726027397260274,0.9733333333333334,0.9743589743589745,1.0,1.0,0.0,0.5526315789473685,0.9682539682539684,0.9705882352941176,0.9444444444444444,1.0,1.0,0.9692307692307692,0.9733333333333334,0.8387096774193549,1.0,1.0,11,22,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3548387096774194,0.0,18,14.0,66.0,3.6666666666666665,18.6,76.69999999999999,4.26111111111111,15.4,4.4,1.9,2.5,-0.6,0.1409543786051389,0.614,0.652,0.124,2.4,2.7,W (+10),W (+10)
7.0,7.0,2022-10-29,29-316,IND,BRK,1.0,38.15,6.0,14.0,0.429,5.0,11.0,0.455,0.0,0.0,,1.0,8.0,9.0,8.0,1.0,0.0,1.0,3.0,17.0,17.1,7.0,3.0,1.0,0.3333333333333333,71,73,76,46,7,21,61,66,17,6,62,63,73,26,7,56,73.0,75.0,78.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9726027397260274,0.9733333333333334,0.9743589743589745,1.0,1.0,0.0,0.5526315789473685,0.9682539682539684,0.9705882352941176,0.9444444444444444,1.0,1.0,0.9692307692307692,0.9733333333333334,0.8387096774193549,1.0,1.0,11,22,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3548387096774194,0.0,18,20.0,89.0,4.944444444444445,17.099999999999998,86.8,4.822222222222222,15.4,4.4,1.9,2.5,-0.6,0.1409543786051389,0.614,0.652,0.124,2.4,2.7,W (+9),W (+9)
8.0,8.0,2022-10-31,29-318,IND,BRK,1.0,35.65,8.0,16.0,0.5,3.0,10.0,0.3,3.0,3.0,1.0,1.0,2.0,3.0,7.0,2.0,0.0,3.0,2.0,22.0,18.4,-4.0,6.0,5.0,0.8333333333333334,71,73,76,46,7,21,61,66,17,6,62,63,73,26,7,56,73.0,75.0,78.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9726027397260274,0.9733333333333334,0.9743589743589745,1.0,1.0,0.0,0.5526315789473685,0.9682539682539684,0.9705882352941176,0.9444444444444444,1.0,1.0,0.9692307692307692,0.9733333333333334,0.8387096774193549,1.0,1.0,11,22,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3548387096774194,0.0,18,12.0,48.0,2.6666666666666665,17.2,46.7,2.594444444444445,15.4,4.4,1.9,2.5,-0.6,0.1409543786051389,0.614,0.652,0.124,2.4,2.7,L (-7),L (-7)
9.0,9.0,2022-11-04,29-322,IND,MIA,1.0,40.28333333333333,10.0,18.0,0.556,5.0,12.0,0.417,0.0,0.0,,1.0,8.0,9.0,0.0,2.0,0.0,5.0,1.0,25.0,16.1,5.0,6.0,5.0,0.8333333333333334,71,73,76,46,7,21,61,66,17,6,62,63,73,26,7,56,73.0,75.0,78.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9726027397260274,0.9733333333333334,0.9743589743589745,1.0,1.0,0.0,0.5526315789473685,0.9682539682539684,0.9705882352941176,0.9444444444444444,1.0,1.0,0.9692307692307692,0.9733333333333334,0.8387096774193549,1.0,1.0,11,22,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3548387096774194,0.0,18,13.0,67.0,3.7222222222222223,16.1,58.6,3.2555555555555555,15.4,4.4,1.9,2.5,-0.6,0.1409543786051389,0.614,0.652,0.124,2.4,2.7,W (+2),W (+2)
10.0,10.0,2022-11-07,29-325,IND,NOP,1.0,36.2,6.0,16.0,0.375,5.0,13.0,0.385,3.0,3.0,1.0,2.0,3.0,5.0,3.0,2.0,2.0,0.0,3.0,20.0,17.8,9.0,3.0,1.0,0.3333333333333333,71,73,76,46,7,21,61,66,17,6,62,63,73,26,7,56,73.0,75.0,78.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,31.0,7.0,56.0,0.9726027397260274,0.9733333333333334,0.9743589743589745,1.0,1.0,0.0,0.5526315789473685,0.9682539682539684,0.9705882352941176,0.9444444444444444,1.0,1.0,0.9692307692307692,0.9733333333333334,0.8387096774193549,1.0,1.0,11,22,46.0,71.0,62.0,16.0,0.2391304347826087,0.0,0.3548387096774194,0.0,18,13.0,93.0,5.166666666666667,16.599999999999998,89.6,4.977777777777778,15.4,4.4,1.9,2.5,-0.6,0.1409543786051389,0.614,0.652,0.124,2.4,2.7,W (+7),W (+7)
