Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Jusuf Nurkić,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Jusuf Nurkić,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Jusuf Nurkić,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,21-048,POR,@,SAC,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,100.0,6.25,0.0,90.2,5.6375
1,2,,2022-10-21,21-050,POR,,PHO,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,79.0,4.9375,0.0,87.99999999999999,5.499999999999999
2,3,,2022-10-23,21-052,POR,@,LAL,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,101.0,6.3125,0.0,91.3,5.70625
3,4,1,2022-10-24,21-053,POR,,DEN,W (+25),0,4:07,2.0,2.0,1.000,0.0,0.0,,0,1.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,+3,2.0,2.0,1.0,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,1.0,108.0,6.75,3.0,115.29999999999998,7.206249999999999
4,5,2,2022-10-26,21-055,POR,,MIA,L (-21),0,7:48,1.0,2.0,.500,0.0,0.0,,0,2.0,.000,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.9,0,2.0,1.0,0.5,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,-1.0,57.0,3.5625,0.8999999999999997,66.5,4.15625
5,6,3,2022-10-28,21-057,POR,,HOU,W (+14),0,0:58,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,0,1.0,1.0,1.0,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,1.0,117.0,7.3125,1.7,112.70000000000002,7.043750000000001
6,7,,2022-11-02,21-062,POR,,MEM,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,62.0,3.875,0.0,64.0,4.0
7,8,,2022-11-04,21-064,POR,@,PHO,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,88.0,5.5,0.0,72.80000000000001,4.550000000000001
8,9,4,2022-11-05,21-065,POR,@,PHO,L (-20),0,8:57,1.0,2.0,.500,0.0,0.0,,0,2.0,.000,0.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,+8,2.0,1.0,0.5,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,1.0,39.0,2.4375,0.9999999999999992,31.9,1.99375
9,10,,2022-11-07,21-067,POR,@,MIA,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,15,12,15,6,16,2,15,14,1,8,15,12,8,16,3,13,62.0,1,58.0,78.0,22.0,56.0,5,63.0,19.0,76.0,4,29.0,52.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.2419354838709677,0.0,0.2068965517241379,0.1923076923076923,0.2727272727272727,0.2857142857142857,0.4,0.238095238095238,0.0,0.1842105263157894,0.25,0.2758620689655172,0.2884615384615384,0.3,0.1481481481481481,0.0,0.2,0.0,0.5,0.2096774193548387,40.0,74.0,63.0,71.0,20.0,0.0,0.0,0.0,0.0,0.0,16,,67.0,4.1875,0.0,71.0,4.4375
