Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-18,27-204,BOS,,PHI,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,11,23,23,20,22,4,22,20,16,2,14,22,7,23,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.2857142857142857,0.2682926829268293,,0.2804878048780488,0.2911392405063291,0.2985074626865671,0.2972972972972973,0.3333333333333333,0.3188405797101449,0.2985074626865671,0.2622950819672131,0.5,0.6086956521739131,0.4583333333333333,0.2,0.2875,1,72.0,5.0,63.0,0.0,0.2,0.0,16,,78.0,4.875,0.0,96.5,6.03125
1,2,,2022-10-21,27-207,BOS,@,MIA,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,11,23,23,20,22,4,22,20,16,2,14,22,7,23,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.2857142857142857,0.2682926829268293,,0.2804878048780488,0.2911392405063291,0.2985074626865671,0.2972972972972973,0.3333333333333333,0.3188405797101449,0.2985074626865671,0.2622950819672131,0.5,0.6086956521739131,0.4583333333333333,0.2,0.2875,1,72.0,5.0,63.0,0.0,0.2,0.0,16,,86.0,5.375,0.0,93.1,5.81875
2,3,,2022-10-22,27-208,BOS,@,ORL,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,11,23,23,20,22,4,22,20,16,2,14,22,7,23,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.2857142857142857,0.2682926829268293,,0.2804878048780488,0.2911392405063291,0.2985074626865671,0.2972972972972973,0.3333333333333333,0.3188405797101449,0.2985074626865671,0.2622950819672131,0.5,0.6086956521739131,0.4583333333333333,0.2,0.2875,1,72.0,5.0,63.0,0.0,0.2,0.0,16,,94.0,5.875,0.0,113.6,7.1
3,4,1,2022-10-24,27-210,BOS,@,CHI,L (-18),0,5:27,2.0,3.0,.667,2.0,2.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.7,+3,1.0,0.0,0.0,18,11,23,23,20,22,4,22,20,16,2,14,22,7,23,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.2857142857142857,0.2682926829268293,,0.2804878048780488,0.2911392405063291,0.2985074626865671,0.2972972972972973,0.3333333333333333,0.3188405797101449,0.2985074626865671,0.2622950819672131,0.5,0.6086956521739131,0.4583333333333333,0.2,0.2875,1,72.0,5.0,63.0,0.0,0.2,0.0,16,3.0,76.0,4.75,4.7,77.3,4.83125
4,5,,2022-10-28,27-214,BOS,,CLE,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,11,23,23,20,22,4,22,20,16,2,14,22,7,23,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.2857142857142857,0.2682926829268293,,0.2804878048780488,0.2911392405063291,0.2985074626865671,0.2972972972972973,0.3333333333333333,0.3188405797101449,0.2985074626865671,0.2622950819672131,0.5,0.6086956521739131,0.4583333333333333,0.2,0.2875,1,72.0,5.0,63.0,0.0,0.2,0.0,16,,67.0,4.1875,0.0,91.29999999999998,5.706249999999999
5,6,2,2022-10-30,27-216,BOS,,WAS,W (+18),0,3:41,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-6,0.0,0.0,,18,11,23,23,20,22,4,22,20,16,2,14,22,7,23,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.2857142857142857,0.2682926829268293,,0.2804878048780488,0.2911392405063291,0.2985074626865671,0.2972972972972973,0.3333333333333333,0.3188405797101449,0.2985074626865671,0.2622950819672131,0.5,0.6086956521739131,0.4583333333333333,0.2,0.2875,1,72.0,5.0,63.0,0.0,0.2,0.0,16,-1.0,85.0,5.3125,-1.1,88.00000000000001,5.500000000000001
6,7,,2022-11-02,27-219,BOS,@,CLE,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,11,23,23,20,22,4,22,20,16,2,14,22,7,23,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.2857142857142857,0.2682926829268293,,0.2804878048780488,0.2911392405063291,0.2985074626865671,0.2972972972972973,0.3333333333333333,0.3188405797101449,0.2985074626865671,0.2622950819672131,0.5,0.6086956521739131,0.4583333333333333,0.2,0.2875,1,72.0,5.0,63.0,0.0,0.2,0.0,16,,77.0,4.8125,0.0,81.79999999999998,5.112499999999999
7,8,,2022-11-04,27-221,BOS,,CHI,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,11,23,23,20,22,4,22,20,16,2,14,22,7,23,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.2857142857142857,0.2682926829268293,,0.2804878048780488,0.2911392405063291,0.2985074626865671,0.2972972972972973,0.3333333333333333,0.3188405797101449,0.2985074626865671,0.2622950819672131,0.5,0.6086956521739131,0.4583333333333333,0.2,0.2875,1,72.0,5.0,63.0,0.0,0.2,0.0,16,,65.0,4.0625,0.0,85.4,5.3375
8,9,,2022-11-05,27-222,BOS,@,NYK,W (+15),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,11,23,23,20,22,4,22,20,16,2,14,22,7,23,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.2857142857142857,0.2682926829268293,,0.2804878048780488,0.2911392405063291,0.2985074626865671,0.2972972972972973,0.3333333333333333,0.3188405797101449,0.2985074626865671,0.2622950819672131,0.5,0.6086956521739131,0.4583333333333333,0.2,0.2875,1,72.0,5.0,63.0,0.0,0.2,0.0,16,,93.0,5.8125,0.0,110.5,6.90625
9,10,,2022-11-07,27-224,BOS,@,MEM,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,18,11,23,23,20,22,4,22,20,16,2,14,22,7,23,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.2857142857142857,0.2682926829268293,,0.2804878048780488,0.2911392405063291,0.2985074626865671,0.2972972972972973,0.3333333333333333,0.3188405797101449,0.2985074626865671,0.2622950819672131,0.5,0.6086956521739131,0.4583333333333333,0.2,0.2875,1,72.0,5.0,63.0,0.0,0.2,0.0,16,,88.0,5.5,0.0,104.6,6.5375
