Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,22-105,NOP,BRK,1.0,30.05,11.0,22.0,0.5,0.0,0.0,,3.0,4.0,0.75,3.0,6.0,9.0,3.0,4.0,0.0,2.0,3.0,25.0,20.4,13.0,22.0,11.0,0.5,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,13.0,87.0,5.8,19.2,89.89999999999999,5.993333333333333,25.2,3.6,5.8,4.8,1.0,0.0804009383663894,0.652,0.041,0.529,1.9,2.3,W (+22),W (+22)
2.0,2.0,2022-10-21,22-107,NOP,CHO,1.0,30.716666666666665,7.0,19.0,0.368,0.0,0.0,,2.0,4.0,0.5,2.0,3.0,5.0,3.0,1.0,0.0,3.0,0.0,16.0,7.1,13.0,19.0,7.0,0.3684210526315789,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,-1.0,93.0,6.2,6.299999999999997,86.90000000000002,5.793333333333335,25.2,3.6,5.8,4.8,1.0,0.0804009383663894,0.652,0.041,0.529,1.9,2.3,W (+12),W (+12)
3.0,3.0,2022-10-23,22-109,NOP,UTA,1.0,29.883333333333333,10.0,16.0,0.625,0.0,0.0,,5.0,6.0,0.833,2.0,4.0,6.0,1.0,1.0,2.0,4.0,3.0,25.0,17.9,-7.0,16.0,10.0,0.625,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,9.0,60.0,4.0,15.899999999999997,66.6,4.44,25.2,3.6,5.8,4.8,1.0,0.0804009383663894,0.652,0.041,0.529,1.9,2.3,L (-1),L (-1)
4.0,,2022-10-25,22-111,NOP,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,,78.0,5.2,0.0,75.19999999999999,5.013333333333333,25.2,3.6,5.8,4.8,1.0,0.0804009383663894,0.652,0.041,0.529,1.9,2.3,W (+2),W (+2)
5.0,,2022-10-28,22-114,NOP,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,,81.0,5.4,0.0,68.5,4.566666666666666,25.2,3.6,5.8,4.8,1.0,0.0804009383663894,0.652,0.041,0.529,1.9,2.3,L (-13),L (-13)
6.0,4.0,2022-10-30,22-116,NOP,LAC,1.0,30.53333333333333,9.0,17.0,0.529,0.0,0.0,,3.0,4.0,0.75,3.0,9.0,12.0,7.0,1.0,0.0,1.0,1.0,21.0,21.6,19.0,17.0,9.0,0.5294117647058824,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,19.0,77.0,5.133333333333334,20.40000000000001,65.2,4.346666666666667,25.2,3.6,5.8,4.8,1.0,0.0804009383663894,0.652,0.041,0.529,1.9,2.3,W (+21),W (+21)
7.0,5.0,2022-11-02,22-119,NOP,LAL,1.0,36.6,11.0,21.0,0.524,0.0,1.0,0.0,5.0,8.0,0.625,2.0,3.0,5.0,7.0,0.0,0.0,3.0,5.0,27.0,17.7,-13.0,20.0,11.0,0.55,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,7.0,88.0,5.866666666666666,15.699999999999996,75.99999999999999,5.0666666666666655,25.2,3.6,5.8,4.8,1.0,0.0804009383663894,0.652,0.041,0.529,1.9,2.3,L (-3),L (-3)
8.0,6.0,2022-11-04,22-121,NOP,GSW,1.0,27.916666666666668,7.0,11.0,0.636,0.0,0.0,,2.0,4.0,0.5,0.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,16.0,10.1,9.0,11.0,7.0,0.6363636363636364,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,4.0,65.0,4.333333333333333,9.3,70.3,4.6866666666666665,25.2,3.6,5.8,4.8,1.0,0.0804009383663894,0.652,0.041,0.529,1.9,2.3,W (+9),W (+9)
9.0,7.0,2022-11-05,22-122,NOP,ATL,1.0,37.266666666666666,11.0,20.0,0.55,0.0,1.0,0.0,7.0,10.0,0.7,2.0,6.0,8.0,4.0,0.0,0.0,7.0,2.0,29.0,16.4,-4.0,19.0,11.0,0.5789473684210527,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,4.0,56.0,3.733333333333333,13.59999999999999,69.19999999999999,4.613333333333332,25.2,3.6,5.8,4.8,1.0,0.0804009383663894,0.652,0.041,0.529,1.9,2.3,L (-3),L (-3)
10.0,8.0,2022-11-07,22-124,NOP,IND,1.0,33.983333333333334,10.0,15.0,0.667,2.0,3.0,0.667,4.0,6.0,0.667,3.0,4.0,7.0,7.0,2.0,1.0,1.0,4.0,26.0,27.0,-9.0,12.0,8.0,0.6666666666666666,12,25,1,29,22,9,20,12,29,28,1,23,27,27,14,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,0.2666666666666666,0.3333333333333333,0.2,0.3972602739726027,0.3728813559322034,0.36,0.303030303030303,0.2553191489361702,0.3670886075949367,0.4590163934426229,0.04,0.3538461538461538,0.3506493506493506,0.3417721518987341,0.3684210526315789,63.0,65.0,0.0,0.0,15,21.0,79.0,5.266666666666667,25.40000000000001,64.9,4.326666666666667,25.2,3.6,5.8,4.8,1.0,0.0804009383663894,0.652,0.041,0.529,1.9,2.3,L (-7),L (-7)
