Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,36-164,NOP,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,100.0,6.25,0.0,105.9,6.61875,10.5,0.3,-1.0,-2.5,1.6,0.0053316272126252,0.535,0.578,0.089,0.0,0.1,W (+22),W (+22)
2.0,,2022-10-21,36-166,NOP,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,92.0,5.75,0.0,110.40000000000002,6.900000000000001,10.5,0.3,-1.0,-2.5,1.6,0.0053316272126252,0.535,0.578,0.089,0.0,0.1,W (+12),W (+12)
3.0,,2022-10-23,36-168,NOP,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,69.0,4.3125,0.0,89.99999999999999,5.624999999999999,10.5,0.3,-1.0,-2.5,1.6,0.0053316272126252,0.535,0.578,0.089,0.0,0.1,L (-1),L (-1)
4.0,,2022-10-25,36-170,NOP,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,78.0,4.875,0.0,83.1,5.19375,10.5,0.3,-1.0,-2.5,1.6,0.0053316272126252,0.535,0.578,0.089,0.0,0.1,W (+2),W (+2)
5.0,1.0,2022-10-28,36-173,NOP,PHO,0,17.066666666666666,2.0,3.0,.667,2.0,3.0,.667,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,6.3,-17,0.0,0.0,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,6.0,75.0,4.6875,6.299999999999999,79.0,4.9375,10.5,0.3,-1.0,-2.5,1.6,0.0053316272126252,0.535,0.578,0.089,0.0,0.1,L (-13),L (-13)
6.0,2.0,2022-10-30,36-175,NOP,LAC,0,3.5666666666666664,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-3,0.0,0.0,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,-1.0,97.0,6.0625,-1.1,96.8,6.05,10.5,0.3,-1.0,-2.5,1.6,0.0053316272126252,0.535,0.578,0.089,0.0,0.1,W (+21),W (+21)
7.0,,2022-11-02,36-178,NOP,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,95.0,5.9375,0.0,91.7,5.73125,10.5,0.3,-1.0,-2.5,1.6,0.0053316272126252,0.535,0.578,0.089,0.0,0.1,L (-3),L (-3)
8.0,,2022-11-04,36-180,NOP,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,69.0,4.3125,0.0,83.3,5.20625,10.5,0.3,-1.0,-2.5,1.6,0.0053316272126252,0.535,0.578,0.089,0.0,0.1,W (+9),W (+9)
9.0,,2022-11-05,36-181,NOP,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,60.0,3.75,0.0,79.99999999999999,4.999999999999999,10.5,0.3,-1.0,-2.5,1.6,0.0053316272126252,0.535,0.578,0.089,0.0,0.1,L (-3),L (-3)
10.0,,2022-11-07,36-183,NOP,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10,20,3,17,20,19,21,24,19,13,22,22,22,20,9,45.0,75.0,5.0,73.0,59.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.2222222222222222,0.2666666666666666,0.6,0.2328767123287671,0.3389830508474576,0.2878787878787879,0.4468085106382978,0.3037974683544304,0.3114754098360656,0.52,0.3384615384615385,0.2857142857142857,0.2784810126582278,0.5263157894736842,0.3103448275862069,8,63.0,65.0,0.0,0.123076923076923,16,,100.0,6.25,0.0,93.4,5.8375,10.5,0.3,-1.0,-2.5,1.6,0.0053316272126252,0.535,0.578,0.089,0.0,0.1,L (-7),L (-7)
