Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Lawson,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,Shared Games with Wendell Moore Jr.,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,Wendell Moore Jr.,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,co_inf with Wendell Moore Jr.,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,22-020,MIN,OKC,1,35.583333333333336,5.0,10.0,.500,0.0,3.0,.000,9,10.0,.900,4.0,2.0,6.0,3.0,3.0,2.0,1.0,1.0,19.0,22.1,+14,7.0,5.0,0.7142857142857143,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,12.0,61.0,3.210526315789474,18.5,66.60000000000002,3.505263157894738,0.1003791868548557,W (+7),W (+7)
2.0,2.0,2022-10-21,22-022,MIN,UTA,1,38.75,4.0,7.0,.571,0.0,1.0,.000,2,2.0,1.000,1.0,3.0,4.0,0.0,0.0,1.0,0.0,3.0,10.0,7.8,-19,6.0,4.0,0.6666666666666666,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,6.0,60.0,3.1578947368421053,6.999999999999999,70.0,3.684210526315789,0.1003791868548557,L (-6),L (-6)
3.0,3.0,2022-10-23,22-024,MIN,OKC,1,27.3,5.0,9.0,.556,0.0,2.0,.000,1,2.0,.500,1.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,11.0,9.5,+5,7.0,5.0,0.7142857142857143,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,5.0,76.0,4.0,9.099999999999998,81.29999999999998,4.278947368421052,0.1003791868548557,W (+10),W (+10)
4.0,4.0,2022-10-24,22-025,MIN,SAS,1,23.98333333333333,1.0,4.0,.250,0.0,1.0,.000,2,2.0,1.000,2.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,4.0,1.8,-9,3.0,1.0,0.3333333333333333,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,1.0,64.0,3.3684210526315788,1.0000000000000009,66.89999999999998,3.521052631578946,0.1003791868548557,L (-9),L (-9)
5.0,5.0,2022-10-26,22-027,MIN,SAS,1,34.81666666666667,8.0,9.0,.889,4.0,5.0,.800,0,0.0,,0.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,20.0,20.4,-2,4.0,4.0,1.0,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,19.0,83.0,4.368421052631579,20.4,93.6,4.926315789473684,0.1003791868548557,W (+12),W (+12)
6.0,6.0,2022-10-28,22-029,MIN,LAL,1,29.08333333333333,2.0,7.0,.286,2.0,6.0,.333,0,0.0,,0.0,1.0,1.0,2.0,0.0,4.0,2.0,6.0,6.0,2.0,+17,1.0,0.0,0.0,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,4.0,80.0,4.2105263157894735,2.000000000000001,98.4,5.178947368421053,0.1003791868548557,W (+9),W (+9)
7.0,7.0,2022-10-30,22-031,MIN,SAS,1,35.4,3.0,7.0,.429,0.0,2.0,.000,1,2.0,.500,1.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,7.0,5.4,-8,5.0,3.0,0.6,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,4.0,60.0,3.1578947368421053,4.999999999999996,73.9,3.889473684210527,0.1003791868548557,L (-9),L (-9)
8.0,8.0,2022-11-01,22-033,MIN,PHO,1,17.033333333333335,2.0,5.0,.400,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,3.0,5.0,4.0,-1.4,-18,4.0,2.0,0.5,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,0.0,71.0,3.736842105263158,-1.4000000000000004,85.30000000000001,4.489473684210527,0.1003791868548557,L (-9),L (-9)
9.0,9.0,2022-11-04,22-036,MIN,MIL,1,18.466666666666665,4.0,5.0,.800,1.0,1.0,1.000,0,0.0,,1.0,1.0,2.0,1.0,0.0,1.0,4.0,2.0,9.0,4.7,-18,4.0,3.0,0.75,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,4.0,61.0,3.210526315789474,4.6999999999999975,66.70000000000002,3.5105263157894746,0.1003791868548557,L (-13),L (-13)
10.0,10.0,2022-11-05,22-037,MIN,HOU,1,34.53333333333333,6.0,9.0,.667,1.0,2.0,.500,0,0.0,,1.0,4.0,5.0,3.0,0.0,1.0,2.0,4.0,13.0,10.2,+9,7.0,5.0,0.7142857142857143,1,76,49,22,51,62,43,14,27,66,28,36,65,67,54,26,15.0,79.0,52.0,25.0,71.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,29.0,0.0666666666666666,0.9620253164556962,0.9423076923076924,0.88,0.7183098591549296,0.953846153846154,1.0,0.9333333333333332,0.9310344827586208,0.9565217391304348,1.0,0.9473684210526316,0.9558823529411764,0.9571428571428572,1.0,0.896551724137931,22,24,23,34.0,67.0,59.0,29.0,0.6470588235294118,0.3582089552238806,0.3898305084745763,0.0,19,11.0,88.0,4.631578947368421,10.199999999999998,101.9,5.363157894736842,0.1003791868548557,W (+12),W (+12)
